"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3118","0","10","40","0","2020","A","","Lubbock, TX MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",8427,140364,6686087980,1121209814,12804698,916,47634,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",148,1.8,-4313,-3.0,160513780,2.5,-35225949,-3.0,-2081821,-14.0,49,5.7,2530,5.6
"C3118","1","10","41","0","2020","A","","Lubbock, TX MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",60,1479,102248414,0,0,1329,69118,"",1.22,0.50,0.54,0.00,0.00,1.09,1.09,"",1,1.7,118,8.7,8247529,8.8,0,0.0,0,0.0,1,0.1,42,0.1
"C3118","2","10","41","0","2020","A","","Lubbock, TX MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",47,11385,798404559,0,0,1349,70130,"",0.83,2.46,3.52,0.00,0.00,1.43,1.43,"",1,2.2,-102,-0.9,32147541,4.2,0,0.0,0,0.0,66,5.1,3422,5.1
"C3118","3","10","41","0","2020","A","","Lubbock, TX MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",100,17655,863167354,3951178,62942,940,48892,"",0.73,1.28,1.48,0.25,0.85,1.15,1.16,"",0,0.0,-179,-1.0,36384690,4.4,71913,1.9,59079,1529.4,48,5.4,2531,5.5
"C3118","5","10","41","0","2020","A","","Lubbock, TX MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8221,109845,4922267653,1117258636,12741756,862,44811,"",1.00,0.92,0.87,1.02,1.00,0.94,0.94,"",147,1.8,-4151,-3.6,83734020,1.7,-35297862,-3.1,-2140900,-14.4,46,5.6,2366,5.6
"C3118","5","101","42","0","2020","A","","Lubbock, TX MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1539,14671,771311964,172621324,2493871,1011,52573,"",1.42,0.69,0.69,0.74,0.71,1.00,1.01,"",34,2.3,-126,-0.9,10703129,1.4,-940216,-0.5,-541993,-17.9,22,2.2,1170,2.3
"C3118","5","1011","43","0","2020","A","","Lubbock, TX MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",439,1961,98999269,25118247,509234,971,50473,"",3.89,1.09,1.21,1.18,1.52,1.11,1.11,"",-3,-0.7,-234,-10.7,-15378892,-13.4,-3544023,-12.4,-228441,-31.0,-31,-3.1,-1639,-3.1
"C3118","5","1012","43","0","2020","A","N","Lubbock, TX MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",839,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,"N",30,3.7,0,0,0,0,0,0,0,0,0,0,0,0
"C3118","5","1013","43","0","2020","A","N","Lubbock, TX MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",261,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,"N",7,2.8,0,0,0,0,0,0,0,0,0,0,0,0
"C3118","5","102","42","0","2020","A","","Lubbock, TX MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",6682,95174,4150955689,944637312,10247885,839,43614,"",0.94,0.97,0.91,1.09,1.11,0.93,0.93,"",113,1.7,-4025,-4.1,73030891,1.8,-34357646,-3.5,-1598907,-13.5,48,6.1,2506,6.1
"C3118","5","1021","43","0","2020","A","","Lubbock, TX MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1748,29211,1283351681,297741564,3344556,845,43934,"",1.12,1.09,1.23,1.16,1.38,1.13,1.13,"",50,2.9,-635,-2.1,20058257,1.6,-3240947,-1.1,-654647,-16.4,31,3.8,1606,3.8
"C3118","5","1022","43","0","2020","A","","Lubbock, TX MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",87,2528,178931377,20343373,485509,1361,70775,"",0.54,0.92,0.65,0.65,1.17,0.70,0.70,"",4,4.8,-113,-4.3,14154354,8.6,-2924889,-12.6,-81795,-14.4,161,13.4,8375,13.4
"C3118","5","1023","43","0","2020","A","","Lubbock, TX MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1030,7424,500362356,74930922,939354,1296,67395,"",1.36,0.90,0.76,0.89,1.05,0.85,0.85,"",20,2.0,-26,-0.3,27915662,5.9,-3898079,-4.9,-56144,-5.6,76,6.2,3976,6.3
"C3118","5","1024","43","0","2020","A","","Lubbock, TX MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1253,11465,565954507,140922888,1606606,949,49366,"",0.79,0.56,0.44,0.64,0.56,0.78,0.79,"",24,2.0,-821,-6.7,23664730,4.4,-5916025,-4.0,-273005,-14.5,100,11.8,5227,11.8
"C3118","5","1025","43","0","2020","A","","Lubbock, TX MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1019,21541,1114278328,184450466,1943206,995,51728,"",0.67,0.96,1.20,1.42,1.57,1.26,1.26,"",23,2.3,-22,-0.1,20336107,1.9,1493284,0.8,-150205,-7.2,19,1.9,995,2.0
"C3118","5","1026","43","0","2020","A","","Lubbock, TX MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",825,18471,340144272,178962582,1480585,354,18415,"",1.16,1.43,1.37,1.68,1.46,0.96,0.96,"",7,0.9,-2057,-10.0,-30929712,-8.3,-16564972,-8.5,-271494,-15.5,6,1.7,338,1.9
"C3118","5","1027","43","0","2020","A","","Lubbock, TX MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",673,4491,166195281,46652384,431021,712,37005,"",1.02,1.13,1.27,1.38,1.24,1.13,1.13,"",-15,-2.2,-289,-6.0,-208987,-0.1,-2624098,-5.3,-101563,-19.1,43,6.4,2195,6.3
