"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3890","0","10","40","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",95744,1126683,76498944463,33229799253,514455003,1306,67898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3386,3.7,-81242,-6.7,1420587881,1.9,-110736607,-0.3,-78765205,-13.3,111,9.3,5743,9.2
"C3890","1","10","41","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",242,18805,1704451138,0,0,1743,90637,"",0.43,0.79,0.79,0.00,0.00,1.00,1.00,"",-4,-1.6,405,2.2,84741448,5.2,0,0.0,0,0.0,50,3.0,2609,3.0
"C3890","2","10","41","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",237,12005,784798465,0,0,1257,65374,"",0.37,0.32,0.30,0.00,0.00,0.94,0.94,"",2,0.9,202,1.7,47442708,6.4,0,0.0,0,0.0,56,4.7,2904,4.6
"C3890","3","10","41","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1193,109425,7567891217,100745017,715630,1330,69160,"",0.76,0.99,1.14,0.22,0.24,1.15,1.15,"",3,0.3,-6575,-5.7,167128570,2.3,1846974,1.9,8359,1.2,103,8.4,5360,8.4
"C3890","5","10","41","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",94072,986447,66441803643,33129054236,513739373,1295,67355,"",1.01,1.03,1.02,1.02,1.01,0.99,0.99,"",3385,3.7,-75275,-7.1,1121275155,1.7,-112583581,-0.3,-78773564,-13.3,112,9.5,5832,9.5
"C3890","5","101","42","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",13330,207518,16306262656,8673647052,151573188,1511,78578,"",1.08,1.22,1.28,1.25,1.07,1.05,1.05,"",79,0.6,-10549,-4.8,-78837668,-0.5,-71685921,-0.8,-23985789,-13.7,66,4.6,3440,4.6
"C3890","5","1011","43","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",1123,14649,616863161,497688935,6835908,810,42111,"",0.87,1.02,0.66,0.79,0.51,0.65,0.65,"",14,1.3,-97,-0.7,26364686,4.5,18683927,3.9,-772319,-10.2,40,5.2,2065,5.2
"C3890","5","1012","43","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",8386,72235,5263869198,3202897207,63646840,1401,72872,"",1.08,1.24,1.26,1.26,0.94,1.02,1.02,"",69,0.8,-2172,-2.9,126493912,2.5,48125433,1.5,-5548554,-8.0,73,5.5,3828,5.5
"C3890","5","1013","43","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",3821,120634,10425530297,4973060910,81090440,1662,86423,"",1.17,1.23,1.37,1.32,1.35,1.11,1.11,"",-4,-0.1,-8280,-6.4,-231696266,-2.2,-138495281,-2.7,-17664916,-17.9,72,4.5,3754,4.5
"C3890","5","102","42","0","2020","A","","Portland-Vancouver-Hillsboro, OR-WA MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",80742,778930,50135540987,24455407184,362166185,1238,64365,"",1.00,0.99,0.96,0.95,0.98,0.96,0.96,"",3305,4.3,-64725,-7.7,1200112823,2.5,-40897660,-0.2,-54787775,-13.1,123,11.0,6361,11.0
