"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3966","0","10","40","0","2020","A","","Rapid City, SD MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",6072,65071,3078144020,774501073,4323146,910,47304,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",233,4.0,-2242,-3.3,172099182,5.9,-11740945,-1.5,-247577,-5.4,80,9.6,4132,9.6
"C3966","1","10","41","0","2020","A","","Rapid City, SD MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",89,3148,217945878,0,0,1331,69235,"",2.51,2.30,2.52,0.00,0.00,1.10,1.10,"",-1,-1.1,45,1.5,9284280,4.4,0,0.0,0,0.0,38,2.9,1999,3.0
"C3966","2","10","41","0","2020","A","","Rapid City, SD MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",92,1481,79059112,0,0,1026,53367,"",2.27,0.69,0.76,0.00,0.00,1.10,1.10,"",1,1.1,-67,-4.3,1558452,2.0,0,0.0,0,0.0,63,6.5,3288,6.6
"C3966","3","10","41","0","2020","A","","Rapid City, SD MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",50,6118,259379763,5563279,6217,815,42400,"",0.50,0.96,0.97,0.51,0.25,1.01,1.01,"",2,4.2,-391,-6.0,3467085,1.4,-161701,-2.8,-5356,-46.3,59,7.8,3081,7.8
"C3966","5","10","41","0","2020","A","","Rapid City, SD MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5840,54325,2521759267,768937794,4316929,893,46420,"",0.99,0.98,0.96,1.01,1.01,0.98,0.98,"",229,4.1,-1829,-3.3,157789365,6.7,-11579244,-1.5,-242221,-5.3,83,10.2,4322,10.3
"C3966","5","101","42","0","2020","A","","Rapid City, SD MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",962,8087,412388163,144939918,1923284,981,50991,"",1.23,0.82,0.81,0.90,1.62,0.98,0.98,"",22,2.3,165,2.1,35868926,9.5,6007575,4.3,146232,8.2,67,7.3,3463,7.3
"C3966","5","1011","43","0","2020","A","","Rapid City, SD MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",63,294,13265940,5176190,47755,868,45148,"",0.77,0.35,0.35,0.35,0.42,1.00,1.00,"",4,6.8,14,5.0,1367763,11.5,360463,7.5,15328,47.3,51,6.2,2642,6.2
"C3966","5","1012","43","0","2020","A","","Rapid City, SD MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",724,4976,255513651,91388565,1647428,987,51348,"",1.48,1.48,1.52,1.54,2.89,1.03,1.03,"",14,2.0,173,3.6,29304979,13.0,5449217,6.3,137622,9.1,81,8.9,4247,9.0
"C3966","5","1013","43","0","2020","A","","Rapid City, SD MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",175,2818,143608572,48375163,228101,980,50970,"",0.84,0.50,0.47,0.55,0.45,0.94,0.94,"",4,2.3,-21,-0.7,5196184,3.8,197895,0.4,-6718,-2.9,43,4.6,2223,4.6
"C3966","5","102","42","0","2020","A","","Rapid City, SD MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",4879,46237,2109371104,623997876,2393645,877,45621,"",0.95,1.02,1.00,1.04,0.77,0.98,0.98,"",208,4.5,-1995,-4.1,121920439,6.1,-17586819,-2.7,-388453,-14.0,85,10.7,4415,10.7
