"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01095","0","10","70","0","2021","A","","Marshall County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2214,38005,1620196486,332737871,4764570,820,42631,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",89,4.2,753,2.0,122424134,8.2,11552752,3.6,1780174,59.6,47,6.1,2424,6.0
"01095","1","10","71","0","2021","A","","Marshall County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,259,19239775,0,0,1428,74237,"",1.61,0.34,0.45,0.00,0.00,1.32,1.32,"",0,0.0,-11,-4.1,449908,2.4,0,0.0,0,0.0,89,6.6,4602,6.6
"01095","1","102","72","0","2021","A","","Marshall County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,259,19239775,0,0,1428,74237,"",1.61,0.35,0.46,0.00,0.00,1.32,1.32,"",0,0.0,-11,-4.1,449908,2.4,0,0.0,0,0.0,89,6.6,4602,6.6
"01095","1","1021","73","0","2021","A","","Marshall County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,178,12226913,0,0,1322,68755,"",1.79,1.00,1.64,0.00,0.00,1.63,1.64,"",0,0.0,1,0.6,495921,4.2,0,0.0,0,0.0,50,3.9,2603,3.9
"01095","1","1024","73","0","2021","A","","Marshall County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,562481,0,0,1273,66174,"",3.38,0.49,0.52,0.00,0.00,1.12,1.12,"",0,0.0,1,12.5,48370,9.4,0,0.0,0,0.0,-17,-1.3,-884,-1.3
"01095","1","1028","73","0","2021","A","","Marshall County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,73,6450381,0,0,1703,88564,"",1.55,0.17,0.24,0.00,0.00,1.41,1.41,"",0,0.0,-12,-14.1,-94383,-1.4,0,0.0,0,0.0,219,14.8,11416,14.8
"01095","1","22","74","0","2021","A","","Marshall County, Alabama","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",3,32,3873132,0,0,2358,122632,"",90.69,10.48,14.50,0.00,0.00,1.40,1.40,"",0,0.0,2,6.7,235011,6.5,0,0.0,0,0.0,58,2.5,3023,2.5
"01095","1","221","75","0","2021","A","","Marshall County, Alabama","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,32,3873132,0,0,2358,122632,"",90.69,10.48,14.50,0.00,0.00,1.40,1.40,"",0,0.0,2,6.7,235011,6.5,0,0.0,0,0.0,58,2.5,3023,2.5
"01095","1","2211","76","0","2021","A","","Marshall County, Alabama","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,32,3873132,0,0,2358,122632,"",94.15,11.23,15.23,0.00,0.00,1.37,1.37,"",0,0.0,2,6.7,235011,6.5,0,0.0,0,0.0,58,2.5,3023,2.5
"01095","1","22111","77","0","2021","A","","Marshall County, Alabama","Federal Government","NAICS 22111 Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,3684191,0,0,2368,123148,"",66.59,14.13,19.77,0.00,0.00,1.40,1.40,"",0,0.0,2,7.1,470009,14.6,0,0.0,0,0.0,174,7.9,9035,7.9
