"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02164","0","10","70","0","2021","A","","Lake and Peninsula Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",120,821,36822313,22270685,519376,863,44851,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.6,64,8.5,5502763,17.6,4088962,22.5,240359,86.1,67,8.4,3478,8.4
"02164","1","10","71","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,41,2199601,0,0,1021,53109,"",16.34,2.49,2.26,0.00,0.00,0.90,0.90,"",0,0.0,2,5.1,189073,9.4,0,0.0,0,0.0,38,3.9,1994,3.9
"02164","1","102","72","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,41,2199601,0,0,1021,53109,"",16.37,2.54,2.30,0.00,0.00,0.90,0.90,"",0,0.0,2,5.1,189073,9.4,0,0.0,0,0.0,38,3.9,1994,3.9
"02164","1","1021","73","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,13,514884,0,0,747,38859,"",27.03,3.38,3.03,0.00,0.00,0.88,0.88,"",0,0.0,-1,-7.1,10353,2.1,0,0.0,0,0.0,50,7.2,2605,7.2
"02164","1","1026","73","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,28,1684717,0,0,1150,59812,"",60.01,109.49,183.82,0.00,0.00,1.67,1.67,"",0,0.0,4,16.7,220717,15.1,0,0.0,0,0.0,-27,-2.3,-1401,-2.3
"02164","1","1028","73","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.58,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-41997,-100.0,0,0.0,0,0.0,-538,-100.0,-27998,-100.0
"02164","1","48-49","74","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,13,514884,0,0,747,38859,"",27.81,3.68,3.25,0.00,0.00,0.87,0.87,"",0,0.0,-1,-7.1,10353,2.1,0,0.0,0,0.0,50,7.2,2605,7.2
"02164","1","491","75","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,13,514884,0,0,747,38859,"",27.98,3.76,3.39,0.00,0.00,0.88,0.88,"",0,0.0,-1,-7.1,10353,2.1,0,0.0,0,0.0,50,7.2,2605,7.2
"02164","1","4911","76","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,13,514884,0,0,747,38859,"",27.98,3.76,3.39,0.00,0.00,0.88,0.88,"",0,0.0,-1,-7.1,10353,2.1,0,0.0,0,0.0,50,7.2,2605,7.2
"02164","1","49111","77","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,13,514884,0,0,747,38859,"",27.98,3.76,3.39,0.00,0.00,0.88,0.88,"",0,0.0,-1,-7.1,10353,2.1,0,0.0,0,0.0,50,7.2,2605,7.2
"02164","1","491110","78","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,13,514884,0,0,747,38859,"",27.98,3.76,3.39,0.00,0.00,0.88,0.88,"",0,0.0,-1,-7.1,10353,2.1,0,0.0,0,0.0,50,7.2,2605,7.2
"02164","1","71","74","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,28,1684717,0,0,1150,59812,"",81.83,132.42,202.22,0.00,0.00,1.52,1.52,"",0,0.0,4,16.7,220717,15.1,0,0.0,0,0.0,-27,-2.3,-1401,-2.3
"02164","1","712","75","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,28,1684717,0,0,1150,59812,"",165.29,218.51,259.48,0.00,0.00,1.18,1.18,"",0,0.0,4,16.7,220717,15.1,0,0.0,0,0.0,-27,-2.3,-1401,-2.3
"02164","1","7121","76","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,28,1684717,0,0,1150,59812,"",165.29,218.51,259.48,0.00,0.00,1.18,1.18,"",0,0.0,4,16.7,220717,15.1,0,0.0,0,0.0,-27,-2.3,-1401,-2.3
"02164","1","71219","77","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,28,1684717,0,0,1150,59812,"",185.15,308.25,396.72,0.00,0.00,1.28,1.28,"",0,0.0,4,16.7,220717,15.1,0,0.0,0,0.0,-27,-2.3,-1401,-2.3
"02164","1","712190","78","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,28,1684717,0,0,1150,59812,"",185.15,308.25,396.72,0.00,0.00,1.28,1.28,"",0,0.0,4,16.7,220717,15.1,0,0.0,0,0.0,-27,-2.3,-1401,-2.3
"02164","1","92","74","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.58,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-41997,-100.0,0,0.0,0,0.0,-538,-100.0,-27998,-100.0
"02164","1","926","75","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",8.96,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-41997,-100.0,0,0.0,0,0.0,-538,-100.0,-27998,-100.0
"02164","1","9261","76","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",8.96,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-41997,-100.0,0,0.0,0,0.0,-538,-100.0,-27998,-100.0
"02164","1","92611","77","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",19.66,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-41997,-100.0,0,0.0,0,0.0,-538,-100.0,-27998,-100.0
"02164","1","926110","78","0","2021","A","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",19.66,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-41997,-100.0,0,0.0,0,0.0,-538,-100.0,-27998,-100.0
"02164","2","10","71","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",10.34,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","102","72","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",10.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","1028","73","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",14.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92","74","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",14.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","922","75","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",19.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9221","76","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",19.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92219","77","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92219 Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",362.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","922190","78","0","2021","A","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 922190 Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",362.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
