"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05091","0","10","70","0","2021","A","","Miller County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",896,12208,547876588,129776072,1281063,863,44878,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,124,1.0,27630321,5.3,31652765,32.3,241644,23.2,35,4.2,1824,4.2
"05091","1","10","71","0","2021","A","","Miller County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,67,4493340,0,0,1282,66650,"",2.98,0.27,0.31,0.00,0.00,1.13,1.13,"",0,0.0,-10,-13.0,-63616,-1.4,0,0.0,0,0.0,148,13.1,7660,13.0
"05091","1","102","72","0","2021","A","","Miller County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,67,4493340,0,0,1282,66650,"",2.99,0.28,0.32,0.00,0.00,1.13,1.13,"",0,0.0,-10,-13.0,-63616,-1.4,0,0.0,0,0.0,148,13.1,7660,13.0
"05091","1","1021","73","0","2021","A","","Miller County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,605573,0,0,817,42496,"",1.61,0.25,0.24,0.00,0.00,0.96,0.96,"",0,0.0,-2,-12.5,29991,5.2,0,0.0,0,0.0,107,15.1,5560,15.1
"05091","1","1028","73","0","2021","A","","Miller County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,53,3887767,0,0,1406,73124,"",5.28,0.39,0.44,0.00,0.00,1.11,1.11,"",0,0.0,-9,-14.5,-93607,-2.4,0,0.0,0,0.0,164,13.2,8561,13.3
"05091","1","48-49","74","0","2021","A","","Miller County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,605573,0,0,817,42496,"",1.66,0.27,0.26,0.00,0.00,0.95,0.95,"",0,0.0,-2,-12.5,29991,5.2,0,0.0,0,0.0,107,15.1,5560,15.1
"05091","1","491","75","0","2021","A","","Miller County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,605573,0,0,817,42496,"",1.67,0.27,0.27,0.00,0.00,0.97,0.97,"",0,0.0,-2,-12.5,29991,5.2,0,0.0,0,0.0,107,15.1,5560,15.1
"05091","1","4911","76","0","2021","A","","Miller County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,605573,0,0,817,42496,"",1.67,0.27,0.27,0.00,0.00,0.97,0.97,"",0,0.0,-2,-12.5,29991,5.2,0,0.0,0,0.0,107,15.1,5560,15.1
"05091","1","49111","77","0","2021","A","","Miller County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,14,605573,0,0,817,42496,"",1.67,0.27,0.27,0.00,0.00,0.97,0.97,"",0,0.0,-2,-12.5,29991,5.2,0,0.0,0,0.0,107,15.1,5560,15.1
"05091","1","491110","78","0","2021","A","","Miller County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,605573,0,0,817,42496,"",1.67,0.27,0.27,0.00,0.00,0.97,0.97,"",0,0.0,-2,-12.5,29991,5.2,0,0.0,0,0.0,107,15.1,5560,15.1
