"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05145","0","10","70","0","2021","A","","White County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1816,24527,1037495226,210296066,2438662,813,42301,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.3,875,3.7,79365312,8.3,62798790,42.6,711845,41.2,34,4.4,1792,4.4
"05145","1","10","71","0","2021","A","","White County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,164,9333250,0,0,1093,56852,"",2.55,0.33,0.34,0.00,0.00,1.02,1.02,"",0,0.0,-10,-5.7,31775,0.3,0,0.0,0,0.0,67,6.5,3523,6.6
"05145","1","102","72","0","2021","A","","White County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,164,9333250,0,0,1093,56852,"",2.56,0.34,0.35,0.00,0.00,1.02,1.02,"",0,0.0,-10,-5.7,31775,0.3,0,0.0,0,0.0,67,6.5,3523,6.6
"05145","1","1021","73","0","2021","A","","White County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,117,6318588,0,0,1035,53813,"",3.57,1.02,1.32,0.00,0.00,1.29,1.29,"",0,0.0,-5,-4.1,173727,2.8,0,0.0,0,0.0,70,7.3,3617,7.2
"05145","1","1028","73","0","2021","A","","White County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,47,3014662,0,0,1240,64485,"",1.89,0.17,0.18,0.00,0.00,1.04,1.04,"",0,0.0,-5,-9.6,-141952,-4.5,0,0.0,0,0.0,73,6.3,3781,6.2
"05145","1","48-49","74","0","2021","A","","White County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,117,6318588,0,0,1035,53813,"",3.68,1.11,1.42,0.00,0.00,1.27,1.27,"",0,0.0,-5,-4.1,173727,2.8,0,0.0,0,0.0,70,7.3,3617,7.2
"05145","1","491","75","0","2021","A","","White County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,117,6318588,0,0,1035,53813,"",3.70,1.13,1.48,0.00,0.00,1.30,1.30,"",0,0.0,-5,-4.1,173727,2.8,0,0.0,0,0.0,70,7.3,3617,7.2
"05145","1","4911","76","0","2021","A","","White County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,117,6318588,0,0,1035,53813,"",3.70,1.13,1.48,0.00,0.00,1.30,1.30,"",0,0.0,-5,-4.1,173727,2.8,0,0.0,0,0.0,70,7.3,3617,7.2
"05145","1","49111","77","0","2021","A","","White County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,117,6318588,0,0,1035,53813,"",3.70,1.13,1.48,0.00,0.00,1.30,1.30,"",0,0.0,-5,-4.1,173727,2.8,0,0.0,0,0.0,70,7.3,3617,7.2
"05145","1","491110","78","0","2021","A","","White County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,117,6318588,0,0,1035,53813,"",3.70,1.13,1.48,0.00,0.00,1.30,1.30,"",0,0.0,-5,-4.1,173727,2.8,0,0.0,0,0.0,70,7.3,3617,7.2
"05145","1","92","74","0","2021","A","","White County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,47,3014662,0,0,1240,64485,"",1.89,0.17,0.18,0.00,0.00,1.04,1.04,"",0,0.0,-5,-9.6,-141952,-4.5,0,0.0,0,0.0,73,6.3,3781,6.2
"05145","1","923","75","0","2021","A","","White County, Arkansas","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,1150926,0,0,1660,86319,"",2.32,0.37,0.50,0.00,0.00,1.34,1.34,"",0,0.0,-1,-7.1,25786,2.3,0,0.0,0,0.0,86,5.5,4491,5.5
"05145","1","9231","76","0","2021","A","","White County, Arkansas","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,1150926,0,0,1660,86319,"",2.32,0.37,0.50,0.00,0.00,1.34,1.34,"",0,0.0,-1,-7.1,25786,2.3,0,0.0,0,0.0,86,5.5,4491,5.5
"05145","1","92313","77","0","2021","A","","White County, Arkansas","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,1150926,0,0,1660,86319,"",3.89,1.11,1.69,0.00,0.00,1.49,1.49,"",0,0.0,-1,-7.1,25786,2.3,0,0.0,0,0.0,86,5.5,4491,5.5
"05145","1","923130","78","0","2021","A","","White County, Arkansas","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,1150926,0,0,1660,86319,"",3.89,1.11,1.69,0.00,0.00,1.49,1.49,"",0,0.0,-1,-7.1,25786,2.3,0,0.0,0,0.0,86,5.5,4491,5.5
"05145","1","924","75","0","2021","A","","White County, Arkansas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,16,977005,0,0,1162,60433,"",3.45,0.99,1.05,0.00,0.00,1.06,1.06,"",0,0.0,1,6.7,-44613,-4.4,0,0.0,0,0.0,-148,-11.3,-7675,-11.3
"05145","1","9241","76","0","2021","A","","White County, Arkansas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,16,977005,0,0,1162,60433,"",3.45,0.99,1.05,0.00,0.00,1.06,1.06,"",0,0.0,1,6.7,-44613,-4.4,0,0.0,0,0.0,-148,-11.3,-7675,-11.3
"05145","1","92412","77","0","2021","A","","White County, Arkansas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,16,977005,0,0,1162,60433,"",3.64,1.20,1.38,0.00,0.00,1.14,1.14,"",0,0.0,1,6.7,-44613,-4.4,0,0.0,0,0.0,-148,-11.3,-7675,-11.3
"05145","1","924120","78","0","2021","A","","White County, Arkansas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,16,977005,0,0,1162,60433,"",3.64,1.20,1.38,0.00,0.00,1.14,1.14,"",0,0.0,1,6.7,-44613,-4.4,0,0.0,0,0.0,-148,-11.3,-7675,-11.3
"05145","1","926","75","0","2021","A","","White County, Arkansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,247649,0,0,1039,54033,"",1.78,0.12,0.09,0.00,0.00,0.85,0.85,"",0,0.0,-7,-58.3,-169320,-40.6,0,0.0,0,0.0,361,53.2,18796,53.3
"05145","1","9261","76","0","2021","A","","White County, Arkansas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,5,247649,0,0,1039,54033,"",1.78,0.12,0.09,0.00,0.00,0.85,0.85,"",0,0.0,-7,-58.3,-169320,-40.6,0,0.0,0,0.0,361,53.2,18796,53.3
