"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06051","0","10","70","0","2021","A","","Mono County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",692,7275,337099775,63424097,2991851,891,46340,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,3.1,949,15.0,54049468,19.1,10646406,20.2,540153,22.0,31,3.6,1597,3.6
"06051","1","10","71","0","2021","A","","Mono County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,207,15509751,0,0,1439,74806,"",3.86,1.42,1.74,0.00,0.00,1.22,1.22,"",-1,-6.2,-10,-4.6,-310586,-2.0,0,0.0,0,0.0,35,2.5,1789,2.5
"06051","1","102","72","0","2021","A","","Mono County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,207,15509751,0,0,1439,74806,"",3.87,1.45,1.77,0.00,0.00,1.22,1.22,"",-1,-6.2,-10,-4.6,-310586,-2.0,0,0.0,0,0.0,35,2.5,1789,2.5
"06051","1","1021","73","0","2021","A","","Mono County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,11,678706,0,0,1152,59886,"",2.60,0.32,0.44,0.00,0.00,1.31,1.31,"",0,0.0,-1,-8.3,20414,3.1,0,0.0,0,0.0,59,5.4,3055,5.4
"06051","1","1024","73","0","2021","A","","Mono County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,192579,0,0,1852,96290,"",10.81,0.57,0.85,0.00,0.00,1.50,1.49,"",0,0.0,0,0.0,10133,5.6,0,0.0,0,0.0,98,5.6,5067,5.6
"06051","1","1025","73","0","2021","A","","Mono County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,42716,0,0,821,42716,"",11.29,0.05,0.03,0.00,0.00,0.70,0.70,"",0,0.0,0,0.0,1931,4.7,0,0.0,0,0.0,37,4.7,1931,4.7
"06051","1","1028","73","0","2021","A","","Mono County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,193,14595750,0,0,1454,75626,"",4.97,2.40,2.66,0.00,0.00,1.11,1.11,"",0,0.0,-7,-3.5,-268437,-1.8,0,0.0,0,0.0,27,1.9,1398,1.9
"06051","1","48-49","74","0","2021","A","","Mono County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,11,678706,0,0,1152,59886,"",2.68,0.35,0.47,0.00,0.00,1.29,1.29,"",0,0.0,-1,-8.3,20414,3.1,0,0.0,0,0.0,59,5.4,3055,5.4
"06051","1","491","75","0","2021","A","","Mono County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,678706,0,0,1152,59886,"",2.70,0.36,0.49,0.00,0.00,1.32,1.32,"",0,0.0,-1,-8.3,20414,3.1,0,0.0,0,0.0,59,5.4,3055,5.4
"06051","1","4911","76","0","2021","A","","Mono County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,11,678706,0,0,1152,59886,"",2.70,0.36,0.49,0.00,0.00,1.32,1.32,"",0,0.0,-1,-8.3,20414,3.1,0,0.0,0,0.0,59,5.4,3055,5.4
"06051","1","49111","77","0","2021","A","","Mono County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,11,678706,0,0,1152,59886,"",2.70,0.36,0.49,0.00,0.00,1.32,1.32,"",0,0.0,-1,-8.3,20414,3.1,0,0.0,0,0.0,59,5.4,3055,5.4
"06051","1","491110","78","0","2021","A","","Mono County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,11,678706,0,0,1152,59886,"",2.70,0.36,0.49,0.00,0.00,1.32,1.32,"",0,0.0,-1,-8.3,20414,3.1,0,0.0,0,0.0,59,5.4,3055,5.4
"06051","1","54","74","0","2021","A","","Mono County, California","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,192579,0,0,1852,96290,"",12.09,0.58,0.86,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,10133,5.6,0,0.0,0,0.0,98,5.6,5067,5.6
"06051","1","541","75","0","2021","A","","Mono County, California","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,192579,0,0,1852,96290,"",12.09,0.58,0.86,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,10133,5.6,0,0.0,0,0.0,98,5.6,5067,5.6
"06051","1","5413","76","0","2021","A","","Mono County, California","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,192579,0,0,1852,96290,"",19.96,0.73,1.13,0.00,0.00,1.54,1.54,"",0,0.0,0,0.0,10133,5.6,0,0.0,0,0.0,98,5.6,5067,5.6
"06051","1","54133","77","0","2021","A","","Mono County, California","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,192579,0,0,1852,96290,"",20.06,0.77,1.18,0.00,0.00,1.53,1.53,"",0,0.0,0,0.0,10133,5.6,0,0.0,0,0.0,98,5.6,5067,5.6
"06051","1","541330","78","0","2021","A","","Mono County, California","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,192579,0,0,1852,96290,"",20.06,0.77,1.18,0.00,0.00,1.53,1.53,"",0,0.0,0,0.0,10133,5.6,0,0.0,0,0.0,98,5.6,5067,5.6
