"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"09011","0","10","70","0","2021","A","","New London County, Connecticut","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8115,111012,7289172726,1349483127,38442822,1263,65661,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",246,3.1,3382,3.1,459145491,6.7,59535460,4.6,190830,0.5,43,3.5,2203,3.5
"09011","1","10","71","0","2021","A","","New London County, Connecticut","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",70,2853,217105552,0,0,1464,76111,"",1.54,1.28,1.13,0.00,0.00,0.88,0.88,"",3,4.5,-75,-2.6,6056063,2.9,0,0.0,0,0.0,78,5.6,4035,5.6
"09011","1","101","72","0","2021","A","","New London County, Connecticut","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,371,40626845,0,0,2106,109531,"",21.51,8.91,11.35,0.00,0.00,1.27,1.27,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09011","1","1013","73","0","2021","A","","New London County, Connecticut","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,371,40626845,0,0,2106,109531,"",53.77,9.56,12.09,0.00,0.00,1.26,1.26,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09011","1","102","72","0","2021","A","","New London County, Connecticut","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",68,2482,176478707,0,0,1368,71115,"",1.50,1.14,0.93,0.00,0.00,0.82,0.82,"",3,4.6,-98,-3.8,2871192,1.7,0,0.0,0,0.0,74,5.7,3817,5.7
"09011","1","1021","73","0","2021","A","","New London County, Connecticut","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,686,35418342,0,0,993,51630,"",1.78,1.32,1.05,0.00,0.00,0.80,0.80,"",3,8.1,-13,-1.9,1270176,3.7,0,0.0,0,0.0,54,5.8,2777,5.7
"09011","1","1023","73","0","2021","A","","New London County, Connecticut","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,18,909414,0,0,985,51235,"",3.51,1.88,0.77,0.00,0.00,0.42,0.42,"",0,0.0,1,5.9,20805,2.3,0,0.0,0,0.0,-6,-0.6,-279,-0.5
"09011","1","1024","73","0","2021","A","","New London County, Connecticut","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,213,17465879,0,0,1580,82160,"",0.92,3.97,3.57,0.00,0.00,0.90,0.90,"",0,0.0,-8,-3.6,-686782,-3.8,0,0.0,0,0.0,2,0.1,114,0.1
"09011","1","1025","73","0","2021","A","","New London County, Connecticut","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,474,45740814,0,0,1854,96415,"",2.89,1.43,1.59,0.00,0.00,1.11,1.11,"",0,0.0,-5,-1.0,1289221,2.9,0,0.0,0,0.0,68,3.8,3550,3.8
"09011","1","1026","73","0","2021","A","","New London County, Connecticut","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,267,7011130,0,0,506,26292,"",1.77,7.72,3.86,0.00,0.00,0.50,0.50,"",0,0.0,-5,-1.8,296731,4.4,0,0.0,0,0.0,32,6.8,1644,6.7
