"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12019","0","10","70","0","2021","A","","Clay County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5006,51529,2378158486,400116617,2239204,888,46152,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",257,5.4,152,0.3,156815294,7.1,14319950,3.7,470944,26.6,57,6.9,2916,6.7
"12019","1","10","71","0","2021","A","","Clay County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,363,22509112,0,0,1191,61937,"",0.39,0.35,0.36,0.00,0.00,1.02,1.02,"",0,0.0,-50,-12.1,-112212,-0.5,0,0.0,0,0.0,137,13.0,7120,13.0
"12019","1","102","72","0","2021","A","","Clay County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,363,22509112,0,0,1191,61937,"",0.39,0.36,0.36,0.00,0.00,1.02,1.02,"",0,0.0,-50,-12.1,-112212,-0.5,0,0.0,0,0.0,137,13.0,7120,13.0
"12019","1","1021","73","0","2021","A","","Clay County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,152,10166701,0,0,1291,67107,"",0.50,0.63,0.93,0.00,0.00,1.47,1.47,"",0,0.0,-3,-1.9,373114,3.8,0,0.0,0,0.0,75,6.2,3855,6.1
"12019","1","1028","73","0","2021","A","","Clay County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,212,12342411,0,0,1120,58242,"",0.34,0.37,0.32,0.00,0.00,0.86,0.86,"",0,0.0,-46,-17.8,-485326,-3.8,0,0.0,0,0.0,163,17.0,8490,17.1
"12019","1","48-49","74","0","2021","A","","Clay County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,152,10166701,0,0,1291,67107,"",0.52,0.69,0.99,0.00,0.00,1.45,1.46,"",0,0.0,-3,-1.9,373114,3.8,0,0.0,0,0.0,75,6.2,3855,6.1
"12019","1","491","75","0","2021","A","","Clay County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,152,10166701,0,0,1291,67107,"",0.52,0.70,1.04,0.00,0.00,1.48,1.49,"",0,0.0,-3,-1.9,373114,3.8,0,0.0,0,0.0,75,6.2,3855,6.1
"12019","1","4911","76","0","2021","A","","Clay County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,152,10166701,0,0,1291,67107,"",0.52,0.70,1.04,0.00,0.00,1.48,1.49,"",0,0.0,-3,-1.9,373114,3.8,0,0.0,0,0.0,75,6.2,3855,6.1
"12019","1","49111","77","0","2021","A","","Clay County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,152,10166701,0,0,1291,67107,"",0.52,0.70,1.04,0.00,0.00,1.48,1.49,"",0,0.0,-3,-1.9,373114,3.8,0,0.0,0,0.0,75,6.2,3855,6.1
"12019","1","491110","78","0","2021","A","","Clay County, Florida","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,152,10166701,0,0,1291,67107,"",0.52,0.70,1.04,0.00,0.00,1.48,1.49,"",0,0.0,-3,-1.9,373114,3.8,0,0.0,0,0.0,75,6.2,3855,6.1
"12019","1","92","74","0","2021","A","","Clay County, Florida","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,212,12342411,0,0,1120,58242,"",0.34,0.37,0.32,0.00,0.00,0.86,0.86,"",0,0.0,-46,-17.8,-485326,-3.8,0,0.0,0,0.0,163,17.0,8490,17.1
