"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13013","0","10","70","0","2021","A","","Barrow County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1419,21112,1014099642,210001473,2131919,924,48034,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",95,7.2,721,3.5,117779242,13.1,14843461,7.6,201858,10.5,79,9.3,4077,9.3
"13013","1","10","71","0","2021","A","","Barrow County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,168,11439354,0,0,1311,68159,"",1.13,0.40,0.43,0.00,0.00,1.08,1.08,"",0,0.0,-10,-5.6,154768,1.4,0,0.0,0,0.0,94,7.7,4881,7.7
"13013","1","102","72","0","2021","A","","Barrow County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,168,11439354,0,0,1311,68159,"",1.13,0.40,0.43,0.00,0.00,1.07,1.08,"",0,0.0,-10,-5.6,154768,1.4,0,0.0,0,0.0,94,7.7,4881,7.7
"13013","1","1021","73","0","2021","A","","Barrow County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,84,4665923,0,0,1063,55273,"",1.02,0.85,1.00,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,225254,5.1,0,0.0,0,0.0,47,4.6,2460,4.7
"13013","1","1028","73","0","2021","A","","Barrow County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,83,6773431,0,0,1562,81200,"",1.51,0.36,0.41,0.00,0.00,1.15,1.15,"",0,0.0,-11,-11.7,-70486,-1.0,0,0.0,0,0.0,166,11.9,8585,11.8
"13013","1","48-49","74","0","2021","A","","Barrow County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,84,4665923,0,0,1063,55273,"",1.05,0.92,1.07,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,225254,5.1,0,0.0,0,0.0,47,4.6,2460,4.7
"13013","1","491","75","0","2021","A","","Barrow County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,84,4665923,0,0,1063,55273,"",1.05,0.94,1.12,0.00,0.00,1.17,1.18,"",0,0.0,0,0.0,225254,5.1,0,0.0,0,0.0,47,4.6,2460,4.7
"13013","1","4911","76","0","2021","A","","Barrow County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,84,4665923,0,0,1063,55273,"",1.05,0.94,1.12,0.00,0.00,1.17,1.18,"",0,0.0,0,0.0,225254,5.1,0,0.0,0,0.0,47,4.6,2460,4.7
"13013","1","49111","77","0","2021","A","","Barrow County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,84,4665923,0,0,1063,55273,"",1.05,0.94,1.12,0.00,0.00,1.17,1.18,"",0,0.0,0,0.0,225254,5.1,0,0.0,0,0.0,47,4.6,2460,4.7
"13013","1","491110","78","0","2021","A","","Barrow County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,84,4665923,0,0,1063,55273,"",1.05,0.94,1.12,0.00,0.00,1.17,1.18,"",0,0.0,0,0.0,225254,5.1,0,0.0,0,0.0,47,4.6,2460,4.7
