"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13045","0","10","70","0","2021","A","","Carroll County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2488,41394,2048030870,418421338,3506550,951,49477,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",175,7.6,890,2.2,146596858,7.7,24866131,6.3,-146746,-4.0,48,5.3,2533,5.4
"13045","1","10","71","0","2021","A","","Carroll County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,232,12518071,0,0,1038,53977,"",0.86,0.28,0.23,0.00,0.00,0.83,0.83,"",0,0.0,-22,-8.7,59435,0.5,0,0.0,0,0.0,95,10.1,4927,10.0
"13045","1","102","72","0","2021","A","","Carroll County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,232,12518071,0,0,1038,53977,"",0.86,0.28,0.24,0.00,0.00,0.83,0.83,"",0,0.0,-22,-8.7,59435,0.5,0,0.0,0,0.0,95,10.1,4927,10.0
"13045","1","1021","73","0","2021","A","","Carroll County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,195,9890113,0,0,977,50827,"",1.16,1.01,1.05,0.00,0.00,1.04,1.04,"",0,0.0,1,0.5,364030,3.8,0,0.0,0,0.0,34,3.6,1787,3.6
"13045","1","1028","73","0","2021","A","","Carroll County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,37,2627958,0,0,1354,70392,"",0.69,0.08,0.08,0.00,0.00,0.97,0.97,"",0,0.0,-23,-38.3,-304595,-10.4,0,0.0,0,0.0,410,43.4,21312,43.4
"13045","1","48-49","74","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,195,9890113,0,0,977,50827,"",1.19,1.09,1.12,0.00,0.00,1.03,1.03,"",0,0.0,1,0.5,364030,3.8,0,0.0,0,0.0,34,3.6,1787,3.6
"13045","1","491","75","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,195,9890113,0,0,977,50827,"",1.20,1.12,1.17,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,364030,3.8,0,0.0,0,0.0,34,3.6,1787,3.6
"13045","1","4911","76","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,195,9890113,0,0,977,50827,"",1.20,1.12,1.17,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,364030,3.8,0,0.0,0,0.0,34,3.6,1787,3.6
"13045","1","49111","77","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,195,9890113,0,0,977,50827,"",1.20,1.12,1.17,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,364030,3.8,0,0.0,0,0.0,34,3.6,1787,3.6
"13045","1","491110","78","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,195,9890113,0,0,977,50827,"",1.20,1.12,1.17,0.00,0.00,1.05,1.05,"",0,0.0,1,0.5,364030,3.8,0,0.0,0,0.0,34,3.6,1787,3.6
"13045","1","92","74","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,37,2627958,0,0,1354,70392,"",0.69,0.08,0.08,0.00,0.00,0.97,0.97,"",0,0.0,-23,-38.3,-304595,-10.4,0,0.0,0,0.0,410,43.4,21312,43.4
"13045","1","923","75","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,2233906,0,0,1490,77477,"",1.69,0.48,0.49,0.00,0.00,1.03,1.03,"",0,0.0,1,3.6,84088,3.9,0,0.0,0,0.0,9,0.6,469,0.6
"13045","1","9231","76","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,2233906,0,0,1490,77477,"",1.69,0.48,0.49,0.00,0.00,1.03,1.03,"",0,0.0,1,3.6,84088,3.9,0,0.0,0,0.0,9,0.6,469,0.6
"13045","1","92313","77","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,2233906,0,0,1490,77477,"",2.84,1.47,1.67,0.00,0.00,1.14,1.14,"",0,0.0,1,3.6,84088,3.9,0,0.0,0,0.0,9,0.6,469,0.6
"13045","1","923130","78","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,29,2233906,0,0,1490,77477,"",2.84,1.47,1.67,0.00,0.00,1.14,1.14,"",0,0.0,1,3.6,84088,3.9,0,0.0,0,0.0,9,0.6,469,0.6
"13045","1","924","75","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,386146,0,0,891,46338,"",1.68,0.29,0.21,0.00,0.00,0.69,0.69,"",0,0.0,-2,-20.0,2826,0.7,0,0.0,0,0.0,122,15.9,6339,15.8
"13045","1","9241","76","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,386146,0,0,891,46338,"",1.68,0.29,0.21,0.00,0.00,0.69,0.69,"",0,0.0,-2,-20.0,2826,0.7,0,0.0,0,0.0,122,15.9,6339,15.8
"13045","1","92412","77","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,386146,0,0,891,46338,"",1.77,0.35,0.28,0.00,0.00,0.75,0.75,"",0,0.0,-2,-20.0,2826,0.7,0,0.0,0,0.0,122,15.9,6339,15.8
"13045","1","924120","78","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,386146,0,0,891,46338,"",1.77,0.35,0.28,0.00,0.00,0.75,0.75,"",0,0.0,-2,-20.0,2826,0.7,0,0.0,0,0.0,122,15.9,6339,15.8
"13045","1","926","75","0","2021","A","","Carroll County, Georgia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,7906,0,0,912,47436,"",0.43,0.00,0.00,0.00,0.00,0.64,0.64,"",0,0.0,-22,-100.0,-391509,-98.0,0,0.0,0,0.0,567,164.3,29485,164.3
