"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13065","0","10","70","0","2021","A","","Clinch County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",187,2379,97745671,22219349,265013,790,41085,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,5.1,35,1.5,6374125,7.0,653008,3.0,15957,6.4,40,5.3,2100,5.4
"13065","1","10","71","0","2021","A","","Clinch County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,14,587005,0,0,821,42691,"",3.81,0.29,0.23,0.00,0.00,0.79,0.79,"",0,0.0,-1,-6.7,-13243,-2.2,0,0.0,0,0.0,56,7.3,2896,7.3
"13065","1","102","72","0","2021","A","","Clinch County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,14,587005,0,0,821,42691,"",3.82,0.30,0.23,0.00,0.00,0.79,0.79,"",0,0.0,-1,-6.7,-13243,-2.2,0,0.0,0,0.0,56,7.3,2896,7.3
"13065","1","1021","73","0","2021","A","","Clinch County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,14,587005,0,0,821,42691,"",5.78,1.26,1.30,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,726,0.1,0,0.0,0,0.0,6,0.7,309,0.7
"13065","1","1028","73","0","2021","A","","Clinch County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",2.30,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-13969,-100.0,0,0.0,0,0.0,-215,-100.0,-11175,-100.0
"13065","1","48-49","74","0","2021","A","","Clinch County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,14,587005,0,0,821,42691,"",5.95,1.37,1.40,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,726,0.1,0,0.0,0,0.0,6,0.7,309,0.7
"13065","1","491","75","0","2021","A","","Clinch County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,14,587005,0,0,821,42691,"",5.98,1.40,1.46,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,726,0.1,0,0.0,0,0.0,6,0.7,309,0.7
"13065","1","4911","76","0","2021","A","","Clinch County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,14,587005,0,0,821,42691,"",5.98,1.40,1.46,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,726,0.1,0,0.0,0,0.0,6,0.7,309,0.7
"13065","1","49111","77","0","2021","A","","Clinch County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,14,587005,0,0,821,42691,"",5.98,1.40,1.46,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,726,0.1,0,0.0,0,0.0,6,0.7,309,0.7
"13065","1","491110","78","0","2021","A","","Clinch County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,14,587005,0,0,821,42691,"",5.98,1.40,1.46,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,726,0.1,0,0.0,0,0.0,6,0.7,309,0.7
