"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13071","0","10","70","0","2021","A","","Colquitt County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1056,14924,610679662,135600220,1533996,787,40919,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,3.0,195,1.3,40419212,7.1,4318926,3.3,219824,16.7,42,5.6,2201,5.7
"13071","1","10","71","0","2021","A","","Colquitt County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,115,7021459,0,0,1172,60968,"",2.19,0.38,0.43,0.00,0.00,1.13,1.13,"",1,8.3,-2,-1.7,177292,2.6,0,0.0,0,0.0,46,4.1,2429,4.1
"13071","1","102","72","0","2021","A","","Colquitt County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,115,7021459,0,0,1172,60968,"",2.20,0.39,0.44,0.00,0.00,1.13,1.13,"",1,8.3,-2,-1.7,177292,2.6,0,0.0,0,0.0,46,4.1,2429,4.1
"13071","1","1021","73","0","2021","A","","Colquitt County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,67,3618813,0,0,1034,53745,"",2.39,0.96,1.28,0.00,0.00,1.33,1.33,"",1,16.7,1,1.5,70957,2.0,0,0.0,0,0.0,-4,-0.4,-215,-0.4
"13071","1","1028","73","0","2021","A","","Colquitt County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,48,3402646,0,0,1368,71135,"",2.44,0.29,0.34,0.00,0.00,1.18,1.18,"",0,0.0,-3,-5.9,106335,3.2,0,0.0,0,0.0,129,10.4,6712,10.4
"13071","1","48-49","74","0","2021","A","","Colquitt County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,67,3618813,0,0,1034,53745,"",2.46,1.04,1.38,0.00,0.00,1.31,1.31,"",1,16.7,1,1.5,70957,2.0,0,0.0,0,0.0,-4,-0.4,-215,-0.4
"13071","1","491","75","0","2021","A","","Colquitt County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,67,3618813,0,0,1034,53745,"",2.47,1.07,1.44,0.00,0.00,1.34,1.34,"",1,16.7,1,1.5,70957,2.0,0,0.0,0,0.0,-4,-0.4,-215,-0.4
"13071","1","4911","76","0","2021","A","","Colquitt County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,67,3618813,0,0,1034,53745,"",2.47,1.07,1.44,0.00,0.00,1.34,1.34,"",1,16.7,1,1.5,70957,2.0,0,0.0,0,0.0,-4,-0.4,-215,-0.4
"13071","1","49111","77","0","2021","A","","Colquitt County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,67,3618813,0,0,1034,53745,"",2.47,1.07,1.44,0.00,0.00,1.34,1.34,"",1,16.7,1,1.5,70957,2.0,0,0.0,0,0.0,-4,-0.4,-215,-0.4
"13071","1","491110","78","0","2021","A","","Colquitt County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,67,3618813,0,0,1034,53745,"",2.47,1.07,1.44,0.00,0.00,1.34,1.34,"",1,16.7,1,1.5,70957,2.0,0,0.0,0,0.0,-4,-0.4,-215,-0.4
