"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13095","0","10","70","0","2021","A","","Dougherty County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2453,45899,2251208573,402367820,4321095,943,49047,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",98,4.2,119,0.3,151330337,7.2,19586523,5.1,-34505,-0.8,61,6.9,3178,6.9
"13095","1","10","71","0","2021","A","","Dougherty County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,2466,180761500,0,0,1409,73292,"",1.74,2.68,3.03,0.00,0.00,1.13,1.13,"",0,0.0,-138,-5.3,-4422465,-2.4,0,0.0,0,0.0,42,3.1,2188,3.1
"13095","1","102","72","0","2021","A","","Dougherty County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,2466,180761500,0,0,1409,73292,"",1.75,2.73,3.09,0.00,0.00,1.13,1.13,"",0,0.0,-138,-5.3,-4422465,-2.4,0,0.0,0,0.0,42,3.1,2188,3.1
"13095","1","1021","73","0","2021","A","","Dougherty County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,147,9315198,0,0,1221,63477,"",0.59,0.68,0.90,0.00,0.00,1.31,1.31,"",0,0.0,2,1.4,60141,0.6,0,0.0,0,0.0,-4,-0.3,-241,-0.4
"13095","1","1023","73","0","2021","A","","Dougherty County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,22,2381515,0,0,2043,106239,"",5.80,5.57,6.55,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,-39555,-1.6,0,0.0,0,0.0,-65,-3.1,-3394,-3.1
"13095","1","1024","73","0","2021","A","","Dougherty County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,1160283,0,0,1727,89828,"",3.05,0.59,0.77,0.00,0.00,1.32,1.32,"",0,0.0,0,0.0,19153,1.7,0,0.0,0,0.0,39,2.3,2049,2.3
"13095","1","1025","73","0","2021","A","","Dougherty County, Georgia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,16,684497,0,0,823,42781,"",3.19,0.12,0.08,0.00,0.00,0.66,0.66,"",0,0.0,-1,-5.9,-34117,-4.7,0,0.0,0,0.0,-15,-1.8,-771,-1.8
"13095","1","1028","73","0","2021","A","","Dougherty County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,2268,167220007,0,0,1418,73722,"",2.98,4.47,4.57,0.00,0.00,1.02,1.02,"",0,0.0,-140,-5.8,-4428087,-2.6,0,0.0,0,0.0,47,3.4,2427,3.4
"13095","1","44-45","74","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,30,1100081,0,0,709,36874,"",6.53,2.23,3.32,0.00,0.00,1.49,1.49,"",0,0.0,-1,-3.2,-193780,-15.0,0,0.0,0,0.0,-85,-10.7,-4419,-10.7
"13095","1","445","75","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,30,1100081,0,0,709,36874,"",22.35,8.95,10.11,0.00,0.00,1.14,1.14,"",0,0.0,-1,-3.2,-193780,-15.0,0,0.0,0,0.0,-85,-10.7,-4419,-10.7
"13095","1","4451","76","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,30,1100081,0,0,709,36874,"",22.35,8.95,10.11,0.00,0.00,1.14,1.14,"",0,0.0,-1,-3.2,-193780,-15.0,0,0.0,0,0.0,-85,-10.7,-4419,-10.7
"13095","1","44511","77","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 44511 Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,1100081,0,0,709,36874,"",25.56,9.51,10.52,0.00,0.00,1.11,1.11,"",0,0.0,-1,-3.2,-193780,-15.0,0,0.0,0,0.0,-85,-10.7,-4419,-10.7
"13095","1","445110","78","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 445110 Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,30,1100081,0,0,709,36874,"",25.56,9.51,10.52,0.00,0.00,1.11,1.11,"",0,0.0,-1,-3.2,-193780,-15.0,0,0.0,0,0.0,-85,-10.7,-4419,-10.7
"13095","1","48-49","74","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,117,8215117,0,0,1351,70265,"",0.45,0.59,0.85,0.00,0.00,1.43,1.43,"",0,0.0,3,2.6,253921,3.2,0,0.0,0,0.0,7,0.5,379,0.5
"13095","1","488","75","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,669978,0,0,1957,101769,"",28.15,1.92,1.75,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-63805,-8.7,0,0.0,0,0.0,-59,-2.9,-3057,-2.9
"13095","1","4881","76","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,669978,0,0,1957,101769,"",28.15,1.92,1.75,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-63805,-8.7,0,0.0,0,0.0,-59,-2.9,-3057,-2.9
"13095","1","48811","77","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,669978,0,0,1957,101769,"",28.15,1.92,1.75,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-63805,-8.7,0,0.0,0,0.0,-59,-2.9,-3057,-2.9
"13095","1","488111","78","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,669978,0,0,1957,101769,"",28.33,1.93,1.75,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-63805,-8.7,0,0.0,0,0.0,-59,-2.9,-3057,-2.9
"13095","1","491","75","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,110,7545139,0,0,1315,68385,"",0.30,0.57,0.81,0.00,0.00,1.42,1.42,"",0,0.0,3,2.8,317726,4.4,0,0.0,0,0.0,15,1.2,786,1.2
"13095","1","4911","76","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,110,7545139,0,0,1315,68385,"",0.30,0.57,0.81,0.00,0.00,1.42,1.42,"",0,0.0,3,2.8,317726,4.4,0,0.0,0,0.0,15,1.2,786,1.2
"13095","1","49111","77","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,110,7545139,0,0,1315,68385,"",0.30,0.57,0.81,0.00,0.00,1.42,1.42,"",0,0.0,3,2.8,317726,4.4,0,0.0,0,0.0,15,1.2,786,1.2
"13095","1","491110","78","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,110,7545139,0,0,1315,68385,"",0.30,0.57,0.81,0.00,0.00,1.42,1.42,"",0,0.0,3,2.8,317726,4.4,0,0.0,0,0.0,15,1.2,786,1.2
"13095","1","52","74","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,2381515,0,0,2043,106239,"",5.85,5.58,6.56,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,-39555,-1.6,0,0.0,0,0.0,-65,-3.1,-3394,-3.1
"13095","1","524","75","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,2381515,0,0,2043,106239,"",34.47,10.73,10.58,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-39555,-1.6,0,0.0,0,0.0,-65,-3.1,-3394,-3.1
"13095","1","5241","76","0","2021","A","","Dougherty County, Georgia","Federal Government","NAICS 5241 Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,2381515,0,0,2043,106239,"",43.60,11.29,10.94,0.00,0.00,0.95,0.95,"",0,0.0,0,0.0,-39555,-1.6,0,0.0,0,0.0,-65,-3.1,-3394,-3.1
