"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13201","0","10","70","0","2021","A","","Miller County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",166,1732,80866344,10129383,95987,898,46681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.5,60,3.6,9922459,14.0,1091549,12.1,14103,17.2,82,10.0,4259,10.0
"13201","1","10","71","0","2021","A","","Miller County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,18,885713,0,0,960,49899,"",3.22,0.52,0.41,0.00,0.00,0.81,0.81,"",0,0.0,-2,-10.0,-21752,-2.4,0,0.0,0,0.0,102,11.9,5270,11.8
"13201","1","102","72","0","2021","A","","Miller County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,18,885713,0,0,960,49899,"",3.23,0.53,0.42,0.00,0.00,0.81,0.81,"",0,0.0,-2,-10.0,-21752,-2.4,0,0.0,0,0.0,102,11.9,5270,11.8
"13201","1","1021","73","0","2021","A","","Miller County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,642221,0,0,1022,53149,"",2.17,1.48,1.72,0.00,0.00,1.15,1.15,"",0,0.0,-1,-7.7,40142,6.7,0,0.0,0,0.0,114,12.6,5927,12.6
"13201","1","1028","73","0","2021","A","","Miller County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,243492,0,0,826,42969,"",5.18,0.31,0.19,0.00,0.00,0.63,0.63,"",0,0.0,-2,-25.0,-61894,-20.3,0,0.0,0,0.0,52,6.7,2698,6.7
"13201","1","48-49","74","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,642221,0,0,1022,53149,"",2.23,1.61,1.85,0.00,0.00,1.14,1.14,"",0,0.0,-1,-7.7,40142,6.7,0,0.0,0,0.0,114,12.6,5927,12.6
"13201","1","491","75","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,642221,0,0,1022,53149,"",2.25,1.64,1.93,0.00,0.00,1.16,1.16,"",0,0.0,-1,-7.7,40142,6.7,0,0.0,0,0.0,114,12.6,5927,12.6
"13201","1","4911","76","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,642221,0,0,1022,53149,"",2.25,1.64,1.93,0.00,0.00,1.16,1.16,"",0,0.0,-1,-7.7,40142,6.7,0,0.0,0,0.0,114,12.6,5927,12.6
"13201","1","49111","77","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,642221,0,0,1022,53149,"",2.25,1.64,1.93,0.00,0.00,1.16,1.16,"",0,0.0,-1,-7.7,40142,6.7,0,0.0,0,0.0,114,12.6,5927,12.6
"13201","1","491110","78","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,642221,0,0,1022,53149,"",2.25,1.64,1.93,0.00,0.00,1.16,1.16,"",0,0.0,-1,-7.7,40142,6.7,0,0.0,0,0.0,114,12.6,5927,12.6
"13201","1","92","74","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,243492,0,0,826,42969,"",5.18,0.31,0.19,0.00,0.00,0.63,0.63,"",0,0.0,-2,-25.0,-61894,-20.3,0,0.0,0,0.0,52,6.7,2698,6.7
"13201","1","924","75","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,243492,0,0,826,42969,"",12.58,5.23,3.37,0.00,0.00,0.68,0.68,"",0,0.0,0,0.0,-23359,-8.8,0,0.0,0,0.0,-54,-6.1,-2777,-6.1
"13201","1","9241","76","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,243492,0,0,826,42969,"",12.58,5.23,3.37,0.00,0.00,0.68,0.68,"",0,0.0,0,0.0,-23359,-8.8,0,0.0,0,0.0,-54,-6.1,-2777,-6.1
"13201","1","92412","77","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,243492,0,0,826,42969,"",13.28,6.36,4.41,0.00,0.00,0.73,0.73,"",0,0.0,0,0.0,-23359,-8.8,0,0.0,0,0.0,-54,-6.1,-2777,-6.1
"13201","1","924120","78","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,243492,0,0,826,42969,"",13.28,6.36,4.41,0.00,0.00,0.73,0.73,"",0,0.0,0,0.0,-23359,-8.8,0,0.0,0,0.0,-54,-6.1,-2777,-6.1
"13201","1","926","75","0","2021","A","","Miller County, Georgia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",6.48,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-38535,-100.0,0,0.0,0,0.0,-423,-100.0,-22020,-100.0
