"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13297","0","10","70","0","2021","A","","Walton County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1977,24095,1197028460,267326489,2672461,955,49680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",115,6.2,1236,5.4,116614636,10.8,30929979,13.1,-35337,-1.3,46,5.1,2416,5.1
"13297","1","10","71","0","2021","A","","Walton County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,145,8805206,0,0,1166,60656,"",0.90,0.30,0.28,0.00,0.00,0.93,0.93,"",0,0.0,-16,-9.9,70724,0.8,0,0.0,0,0.0,121,11.6,6292,11.6
"13297","1","102","72","0","2021","A","","Walton County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,145,8805206,0,0,1166,60656,"",0.90,0.31,0.28,0.00,0.00,0.92,0.93,"",0,0.0,-16,-9.9,70724,0.8,0,0.0,0,0.0,121,11.6,6292,11.6
"13297","1","1021","73","0","2021","A","","Walton County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,133,7850383,0,0,1132,58878,"",1.09,1.18,1.42,0.00,0.00,1.20,1.20,"",0,0.0,-9,-6.3,139053,1.8,0,0.0,0,0.0,91,8.7,4732,8.7
"13297","1","1023","73","0","2021","A","","Walton County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,773479,0,0,1638,85154,"",7.19,4.34,4.00,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,22926,3.1,0,0.0,0,0.0,34,2.1,1759,2.1
"13297","1","1028","73","0","2021","A","","Walton County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,181344,0,0,1268,65943,"",0.65,0.01,0.01,0.00,0.00,0.90,0.90,"",0,0.0,-6,-66.7,-91255,-33.5,0,0.0,0,0.0,701,123.6,36473,123.8
"13297","1","48-49","74","0","2021","A","","Walton County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,133,7850383,0,0,1132,58878,"",1.13,1.28,1.52,0.00,0.00,1.19,1.19,"",0,0.0,-9,-6.3,139053,1.8,0,0.0,0,0.0,91,8.7,4732,8.7
"13297","1","491","75","0","2021","A","","Walton County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,133,7850383,0,0,1132,58878,"",1.13,1.31,1.59,0.00,0.00,1.21,1.21,"",0,0.0,-9,-6.3,139053,1.8,0,0.0,0,0.0,91,8.7,4732,8.7
"13297","1","4911","76","0","2021","A","","Walton County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,133,7850383,0,0,1132,58878,"",1.13,1.31,1.59,0.00,0.00,1.21,1.21,"",0,0.0,-9,-6.3,139053,1.8,0,0.0,0,0.0,91,8.7,4732,8.7
"13297","1","49111","77","0","2021","A","","Walton County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,133,7850383,0,0,1132,58878,"",1.13,1.31,1.59,0.00,0.00,1.21,1.21,"",0,0.0,-9,-6.3,139053,1.8,0,0.0,0,0.0,91,8.7,4732,8.7
