"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18009","0","10","70","0","2021","A","","Blackford County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",226,2812,117584765,21862832,292597,804,41815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.2,15,0.5,8068249,7.4,-212777,-1.0,-26556,-8.3,51,6.8,2657,6.8
"18009","1","10","71","0","2021","A","","Blackford County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,22,1260607,0,0,1081,56235,"",2.37,0.39,0.41,0.00,0.00,1.02,1.02,"",0,0.0,-2,-8.3,-42964,-3.3,0,0.0,0,0.0,25,2.4,1348,2.5
"18009","1","102","72","0","2021","A","","Blackford County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,22,1260607,0,0,1081,56235,"",2.37,0.40,0.41,0.00,0.00,1.02,1.02,"",0,0.0,-2,-8.3,-42964,-3.3,0,0.0,0,0.0,25,2.4,1348,2.5
"18009","1","1021","73","0","2021","A","","Blackford County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,22,1260607,0,0,1081,56235,"",3.19,1.67,2.32,0.00,0.00,1.36,1.36,"",0,0.0,1,4.8,9031,0.7,0,0.0,0,0.0,-43,-3.8,-2204,-3.8
"18009","1","1028","73","0","2021","A","","Blackford County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",1.90,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-51995,-100.0,0,0.0,0,0.0,-429,-100.0,-22284,-100.0
"18009","1","48-49","74","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,1260607,0,0,1081,56235,"",3.28,1.82,2.49,0.00,0.00,1.35,1.35,"",0,0.0,1,4.8,9031,0.7,0,0.0,0,0.0,-43,-3.8,-2204,-3.8
"18009","1","491","75","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,22,1260607,0,0,1081,56235,"",3.30,1.86,2.60,0.00,0.00,1.37,1.37,"",0,0.0,1,4.8,9031,0.7,0,0.0,0,0.0,-43,-3.8,-2204,-3.8
"18009","1","4911","76","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,22,1260607,0,0,1081,56235,"",3.30,1.86,2.60,0.00,0.00,1.37,1.37,"",0,0.0,1,4.8,9031,0.7,0,0.0,0,0.0,-43,-3.8,-2204,-3.8
"18009","1","49111","77","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,22,1260607,0,0,1081,56235,"",3.30,1.86,2.60,0.00,0.00,1.37,1.37,"",0,0.0,1,4.8,9031,0.7,0,0.0,0,0.0,-43,-3.8,-2204,-3.8
"18009","1","491110","78","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,22,1260607,0,0,1081,56235,"",3.30,1.86,2.60,0.00,0.00,1.37,1.37,"",0,0.0,1,4.8,9031,0.7,0,0.0,0,0.0,-43,-3.8,-2204,-3.8
"18009","1","92","74","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",1.90,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-51995,-100.0,0,0.0,0,0.0,-429,-100.0,-22284,-100.0
"18009","1","926","75","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.76,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-51995,-100.0,0,0.0,0,0.0,-429,-100.0,-22284,-100.0
"18009","1","9261","76","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.76,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-51995,-100.0,0,0.0,0,0.0,-429,-100.0,-22284,-100.0
"18009","1","92611","77","0","2021","A","","Blackford County, Indiana","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",10.44,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-51995,-100.0,0,0.0,0,0.0,-429,-100.0,-22284,-100.0
