"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18173","0","10","70","0","2021","A","","Warrick County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1246,16464,846115817,172341322,2598326,988,51392,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,2.3,107,0.7,19342815,2.3,16414351,10.5,385027,17.4,16,1.6,846,1.7
"18173","1","10","71","0","2021","A","","Warrick County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,111,6506183,0,0,1126,58526,"",1.29,0.34,0.29,0.00,0.00,0.86,0.86,"",0,0.0,-11,-9.0,-192150,-2.9,0,0.0,0,0.0,68,6.4,3509,6.4
"18173","1","102","72","0","2021","A","","Warrick County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,111,6506183,0,0,1126,58526,"",1.29,0.34,0.30,0.00,0.00,0.86,0.86,"",0,0.0,-11,-9.0,-192150,-2.9,0,0.0,0,0.0,68,6.4,3509,6.4
"18173","1","1021","73","0","2021","A","","Warrick County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,83,4626473,0,0,1072,55741,"",1.74,1.08,1.19,0.00,0.00,1.10,1.10,"",0,0.0,2,2.5,63250,1.4,0,0.0,0,0.0,-8,-0.7,-422,-0.8
"18173","1","1024","73","0","2021","A","","Warrick County, Indiana","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,1576067,0,0,1362,70834,"",6.00,2.77,2.77,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,94547,6.4,0,0.0,0,0.0,52,4.0,2718,4.0
"18173","1","1028","73","0","2021","A","","Warrick County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,303643,0,0,987,51320,"",0.69,0.03,0.02,0.00,0.00,0.68,0.68,"",0,0.0,-13,-68.4,-349947,-53.5,0,0.0,0,0.0,317,47.3,16462,47.2
"18173","1","48-49","74","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,83,4626473,0,0,1072,55741,"",1.79,1.17,1.27,0.00,0.00,1.09,1.09,"",0,0.0,2,2.5,63250,1.4,0,0.0,0,0.0,-8,-0.7,-422,-0.8
"18173","1","491","75","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,83,4626473,0,0,1072,55741,"",1.80,1.20,1.33,0.00,0.00,1.11,1.11,"",0,0.0,2,2.5,63250,1.4,0,0.0,0,0.0,-8,-0.7,-422,-0.8
"18173","1","4911","76","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,83,4626473,0,0,1072,55741,"",1.80,1.20,1.33,0.00,0.00,1.11,1.11,"",0,0.0,2,2.5,63250,1.4,0,0.0,0,0.0,-8,-0.7,-422,-0.8
"18173","1","49111","77","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,83,4626473,0,0,1072,55741,"",1.80,1.20,1.33,0.00,0.00,1.11,1.11,"",0,0.0,2,2.5,63250,1.4,0,0.0,0,0.0,-8,-0.7,-422,-0.8
"18173","1","491110","78","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,83,4626473,0,0,1072,55741,"",1.80,1.20,1.33,0.00,0.00,1.11,1.11,"",0,0.0,2,2.5,63250,1.4,0,0.0,0,0.0,-8,-0.7,-422,-0.8
"18173","1","54","74","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,1576067,0,0,1362,70834,"",6.71,2.83,2.80,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,94547,6.4,0,0.0,0,0.0,52,4.0,2718,4.0
"18173","1","541","75","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,1576067,0,0,1362,70834,"",6.71,2.83,2.80,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,94547,6.4,0,0.0,0,0.0,52,4.0,2718,4.0
"18173","1","5413","76","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,1576067,0,0,1362,70834,"",11.08,3.56,3.67,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,94547,6.4,0,0.0,0,0.0,52,4.0,2718,4.0
"18173","1","54133","77","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,1576067,0,0,1362,70834,"",11.14,3.74,3.84,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,94547,6.4,0,0.0,0,0.0,52,4.0,2718,4.0
"18173","1","541330","78","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,1576067,0,0,1362,70834,"",11.14,3.74,3.84,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,94547,6.4,0,0.0,0,0.0,52,4.0,2718,4.0
"18173","1","92","74","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,303643,0,0,987,51320,"",0.69,0.03,0.02,0.00,0.00,0.68,0.68,"",0,0.0,-13,-68.4,-349947,-53.5,0,0.0,0,0.0,317,47.3,16462,47.2
"18173","1","926","75","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,303643,0,0,987,51320,"",1.73,0.22,0.14,0.00,0.00,0.67,0.67,"",0,0.0,-13,-68.4,-349947,-53.5,0,0.0,0,0.0,317,47.3,16462,47.2
"18173","1","9261","76","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,303643,0,0,987,51320,"",1.73,0.22,0.14,0.00,0.00,0.67,0.67,"",0,0.0,-13,-68.4,-349947,-53.5,0,0.0,0,0.0,317,47.3,16462,47.2
"18173","1","92611","77","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,12053,0,0,199,10331,"",1.89,0.17,0.03,0.00,0.00,0.14,0.14,"",0,0.0,-13,-92.9,-281407,-95.9,0,0.0,0,0.0,-216,-52.0,-11273,-52.2
"18173","1","926110","78","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,12053,0,0,199,10331,"",1.89,0.17,0.03,0.00,0.00,0.14,0.14,"",0,0.0,-13,-92.9,-281407,-95.9,0,0.0,0,0.0,-216,-52.0,-11273,-52.2
"18173","1","92614","77","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,291590,0,0,1181,61387,"",2.77,0.98,0.87,0.00,0.00,0.94,0.93,"",0,0.0,0,0.0,-68540,-19.0,0,0.0,0,0.0,-159,-11.9,-8316,-11.9
"18173","1","926140","78","0","2021","A","","Warrick County, Indiana","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,291590,0,0,1181,61387,"",2.77,0.98,0.87,0.00,0.00,0.94,0.93,"",0,0.0,0,0.0,-68540,-19.0,0,0.0,0,0.0,-159,-11.9,-8316,-11.9
"18173","2","10","71","0","2021","A","","Warrick County, Indiana","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,68,3193843,0,0,910,47316,"",1.37,0.13,0.12,0.00,0.00,0.90,0.90,"",0,0.0,1,1.5,115949,3.8,0,0.0,0,0.0,29,3.3,1491,3.3
"18173","2","102","72","0","2021","A","","Warrick County, Indiana","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,68,3193843,0,0,910,47316,"",1.41,0.13,0.12,0.00,0.00,0.90,0.90,"",0,0.0,1,1.5,115949,3.8,0,0.0,0,0.0,29,3.3,1491,3.3
"18173","2","1028","73","0","2021","A","","Warrick County, Indiana","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,68,3193843,0,0,910,47316,"",1.92,0.33,0.30,0.00,0.00,0.91,0.91,"",0,0.0,1,1.5,115949,3.8,0,0.0,0,0.0,29,3.3,1491,3.3
"18173","2","92","74","0","2021","A","","Warrick County, Indiana","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,68,3193843,0,0,910,47316,"",1.92,0.33,0.30,0.00,0.00,0.91,0.91,"",0,0.0,1,1.5,115949,3.8,0,0.0,0,0.0,29,3.3,1491,3.3
"18173","2","921","75","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","9211","76","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","92113","77","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",7.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","921130","78","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",7.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","922","75","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","9221","76","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","92212","77","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"18173","2","922120","78","0","2021","A","N","Warrick County, Indiana","State Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
