"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20017","0","10","70","0","2021","A","","Chase County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",84,831,32167825,15252875,173697,745,38725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-4.5,-37,-4.3,1171816,3.8,-46274,-0.3,28670,19.8,58,8.4,3008,8.4
"20017","1","10","71","0","2021","A","","Chase County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,16,831622,0,0,974,50657,"",12.73,0.96,0.98,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-53502,-6.0,0,0.0,0,0.0,-118,-10.8,-6142,-10.8
"20017","1","102","72","0","2021","A","","Chase County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,16,831622,0,0,974,50657,"",12.76,0.98,1.00,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-53502,-6.0,0,0.0,0,0.0,-118,-10.8,-6142,-10.8
"20017","1","1021","73","0","2021","A","","Chase County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,4,125058,0,0,614,31930,"",17.16,1.03,0.84,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,-53178,-29.8,0,0.0,0,0.0,-225,-26.8,-11720,-26.8
"20017","1","1026","73","0","2021","A","","Chase County, Kansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,706564,0,0,1087,56525,"",85.72,50.22,88.25,0.00,0.00,1.83,1.83,"",0,0.0,3,30.0,37549,5.6,0,0.0,0,0.0,-158,-12.7,-8218,-12.7
"20017","1","1028","73","0","2021","A","","Chase County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.12,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-37873,-100.0,0,0.0,0,0.0,-624,-100.0,-32463,-100.0
"20017","1","48-49","74","0","2021","A","","Chase County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,4,125058,0,0,614,31930,"",17.66,1.12,0.90,0.00,0.00,0.82,0.83,"",0,0.0,0,0.0,-53178,-29.8,0,0.0,0,0.0,-225,-26.8,-11720,-26.8
"20017","1","491","75","0","2021","A","","Chase County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,4,125058,0,0,614,31930,"",17.76,1.14,0.94,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,-53178,-29.8,0,0.0,0,0.0,-225,-26.8,-11720,-26.8
"20017","1","4911","76","0","2021","A","","Chase County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,4,125058,0,0,614,31930,"",17.76,1.14,0.94,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,-53178,-29.8,0,0.0,0,0.0,-225,-26.8,-11720,-26.8
"20017","1","49111","77","0","2021","A","","Chase County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,4,125058,0,0,614,31930,"",17.76,1.14,0.94,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,-53178,-29.8,0,0.0,0,0.0,-225,-26.8,-11720,-26.8
