"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20025","0","10","70","0","2021","A","","Clark County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",90,767,34235779,21886898,85533,858,44626,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-2.2,-24,-3.0,539078,1.6,452722,2.1,19424,29.4,38,4.6,2008,4.7
"20025","1","10","71","0","2021","A","","Clark County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,10,393746,0,0,739,38414,"",9.90,0.65,0.43,0.00,0.00,0.65,0.65,"",0,0.0,-2,-16.7,20665,5.5,0,0.0,0,0.0,115,18.4,5972,18.4
"20025","1","102","72","0","2021","A","","Clark County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,10,393746,0,0,739,38414,"",9.92,0.66,0.44,0.00,0.00,0.65,0.65,"",0,0.0,-2,-16.7,20665,5.5,0,0.0,0,0.0,115,18.4,5972,18.4
"20025","1","1021","73","0","2021","A","","Clark County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,291377,0,0,1004,52187,"",12.02,1.67,1.84,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,17691,6.5,0,0.0,0,0.0,127,14.5,6573,14.4
"20025","1","1028","73","0","2021","A","","Clark County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,102369,0,0,422,21936,"",9.55,0.59,0.18,0.00,0.00,0.33,0.33,"",0,0.0,-1,-16.7,2974,3.0,0,0.0,0,0.0,74,21.3,3864,21.4
"20025","1","48-49","74","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,291377,0,0,1004,52187,"",12.36,1.82,1.98,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,17691,6.5,0,0.0,0,0.0,127,14.5,6573,14.4
"20025","1","491","75","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,291377,0,0,1004,52187,"",12.44,1.86,2.06,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,17691,6.5,0,0.0,0,0.0,127,14.5,6573,14.4
"20025","1","4911","76","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,291377,0,0,1004,52187,"",12.44,1.86,2.06,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,17691,6.5,0,0.0,0,0.0,127,14.5,6573,14.4
"20025","1","49111","77","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,291377,0,0,1004,52187,"",12.44,1.86,2.06,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,17691,6.5,0,0.0,0,0.0,127,14.5,6573,14.4
"20025","1","491110","78","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,291377,0,0,1004,52187,"",12.44,1.86,2.06,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,17691,6.5,0,0.0,0,0.0,127,14.5,6573,14.4
"20025","1","92","74","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,102369,0,0,422,21936,"",9.55,0.59,0.18,0.00,0.00,0.33,0.33,"",0,0.0,-1,-16.7,2974,3.0,0,0.0,0,0.0,74,21.3,3864,21.4
"20025","1","926","75","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,102369,0,0,422,21936,"",23.90,3.85,1.18,0.00,0.00,0.33,0.33,"",0,0.0,-1,-16.7,2974,3.0,0,0.0,0,0.0,74,21.3,3864,21.4
"20025","1","9261","76","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,102369,0,0,422,21936,"",23.90,3.85,1.18,0.00,0.00,0.33,0.33,"",0,0.0,-1,-16.7,2974,3.0,0,0.0,0,0.0,74,21.3,3864,21.4
"20025","1","92611","77","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",26.21,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-3844,-100.0,0,0.0,0,0.0,-127,-100.0,-6590,-100.0
"20025","1","926110","78","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",26.21,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-3844,-100.0,0,0.0,0,0.0,-127,-100.0,-6590,-100.0
"20025","1","92614","77","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,102369,0,0,422,21936,"",38.33,20.94,7.52,0.00,0.00,0.38,0.38,"",0,0.0,0,0.0,6818,7.1,0,0.0,0,0.0,48,12.8,2502,12.9
"20025","1","926140","78","0","2021","A","","Clark County, Kansas","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,102369,0,0,422,21936,"",38.33,20.94,7.52,0.00,0.00,0.38,0.38,"",0,0.0,0,0.0,6818,7.1,0,0.0,0,0.0,48,12.8,2502,12.9
"20025","2","10","71","0","2021","A","","Clark County, Kansas","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,9,367111,0,0,784,40790,"",8.62,0.37,0.33,0.00,0.00,0.90,0.90,"",0,0.0,-2,-18.2,-60949,-14.2,0,0.0,0,0.0,52,7.1,2740,7.2
