"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20093","0","10","70","0","2021","A","","Kearny County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",136,1491,63725228,39376200,267485,822,42728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,5.4,38,2.6,3551248,5.9,1857700,5.0,80408,43.0,25,3.1,1305,3.2
"20093","1","10","71","0","2021","A","","Kearny County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,11,560387,0,0,965,50184,"",5.24,0.37,0.33,0.00,0.00,0.89,0.89,"",-1,-20.0,-1,-8.3,-9842,-1.7,0,0.0,0,0.0,11,1.2,599,1.2
"20093","1","102","72","0","2021","A","","Kearny County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,11,560387,0,0,965,50184,"",5.25,0.37,0.34,0.00,0.00,0.89,0.89,"",-1,-20.0,-1,-8.3,-9842,-1.7,0,0.0,0,0.0,11,1.2,599,1.2
"20093","1","1021","73","0","2021","A","","Kearny County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,292026,0,0,1123,58405,"",5.30,0.72,0.99,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,9229,3.3,0,0.0,0,0.0,35,3.2,1846,3.3
"20093","1","1028","73","0","2021","A","","Kearny County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,268361,0,0,837,43518,"",6.32,0.36,0.26,0.00,0.00,0.69,0.69,"",-1,-33.3,-1,-14.3,-19071,-6.6,0,0.0,0,0.0,-13,-1.5,-702,-1.6
"20093","1","48-49","74","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,292026,0,0,1123,58405,"",5.45,0.78,1.07,0.00,0.00,1.37,1.37,"",0,0.0,0,0.0,9229,3.3,0,0.0,0,0.0,35,3.2,1846,3.3
"20093","1","491","75","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,292026,0,0,1123,58405,"",5.49,0.80,1.11,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,9229,3.3,0,0.0,0,0.0,35,3.2,1846,3.3
"20093","1","4911","76","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,292026,0,0,1123,58405,"",5.49,0.80,1.11,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,9229,3.3,0,0.0,0,0.0,35,3.2,1846,3.3
"20093","1","49111","77","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,5,292026,0,0,1123,58405,"",5.49,0.80,1.11,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,9229,3.3,0,0.0,0,0.0,35,3.2,1846,3.3
"20093","1","491110","78","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,5,292026,0,0,1123,58405,"",5.49,0.80,1.11,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,9229,3.3,0,0.0,0,0.0,35,3.2,1846,3.3
"20093","1","92","74","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,268361,0,0,837,43518,"",6.32,0.36,0.26,0.00,0.00,0.69,0.69,"",-1,-33.3,-1,-14.3,-19071,-6.6,0,0.0,0,0.0,-13,-1.5,-702,-1.6
"20093","1","926","75","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,268361,0,0,837,43518,"",15.81,2.38,1.66,0.00,0.00,0.68,0.68,"",0,0.0,0,0.0,-4788,-1.8,0,0.0,0,0.0,-3,-0.4,-186,-0.4
"20093","1","9261","76","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,268361,0,0,837,43518,"",15.81,2.38,1.66,0.00,0.00,0.68,0.68,"",0,0.0,0,0.0,-4788,-1.8,0,0.0,0,0.0,-3,-0.4,-186,-0.4
"20093","1","92611","77","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",17.35,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-1892,-100.0,0,0.0,0,0.0,-218,-100.0,-11352,-100.0
"20093","1","926110","78","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",17.35,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-1892,-100.0,0,0.0,0,0.0,-218,-100.0,-11352,-100.0
"20093","1","92614","77","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,268361,0,0,837,43518,"",25.37,12.93,10.59,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,-2896,-1.1,0,0.0,0,0.0,-21,-2.4,-1072,-2.4
"20093","1","926140","78","0","2021","A","","Kearny County, Kansas","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,268361,0,0,837,43518,"",25.37,12.93,10.59,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,-2896,-1.1,0,0.0,0,0.0,-21,-2.4,-1072,-2.4
"20093","2","10","71","0","2021","A","","Kearny County, Kansas","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,13,582697,0,0,879,45702,"",5.70,0.28,0.28,0.00,0.00,1.05,1.05,"",0,0.0,-1,-7.1,-41044,-6.6,0,0.0,0,0.0,42,5.0,2185,5.0
"20093","2","102","72","0","2021","A","","Kearny County, Kansas","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,13,582697,0,0,879,45702,"",5.86,0.28,0.29,0.00,0.00,1.05,1.05,"",0,0.0,-1,-7.1,-41044,-6.6,0,0.0,0,0.0,42,5.0,2185,5.0
"20093","2","1024","73","0","2021","A","N","Kearny County, Kansas","State Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",71.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","1028","73","0","2021","A","N","Kearny County, Kansas","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",6.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","54","74","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",139.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","541","75","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",139.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","5417","76","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 5417 Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",469.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","54171","77","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 54171 Research and development in the physical, engineering, and life sciences","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",489.11,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","541715","78","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 541715 Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",514.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","92","74","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",6.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"20093","2","922","75","0","2021","A","N","Kearny County, Kansas","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",11.29,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
