"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20135","0","10","70","0","2021","A","","Ness County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",147,1056,45732007,20105948,149920,833,43314,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.7,-30,-2.8,2686343,6.2,-1566667,-7.2,41251,38.0,70,9.2,3662,9.2
"20135","1","10","71","0","2021","A","","Ness County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,24,1021142,0,0,818,42548,"",10.91,1.13,0.84,0.00,0.00,0.74,0.74,"",0,0.0,-2,-7.7,-81966,-7.4,0,0.0,0,0.0,-9,-1.1,-430,-1.0
"20135","1","102","72","0","2021","A","","Ness County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,24,1021142,0,0,818,42548,"",10.94,1.15,0.86,0.00,0.00,0.74,0.74,"",0,0.0,-2,-7.7,-81966,-7.4,0,0.0,0,0.0,-9,-1.1,-430,-1.0
"20135","1","1021","73","0","2021","A","","Ness County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,12,471300,0,0,750,39004,"",12.26,2.43,2.23,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,-1493,-0.3,0,0.0,0,0.0,3,0.4,144,0.4
"20135","1","1028","73","0","2021","A","","Ness County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,12,549842,0,0,887,46141,"",11.70,1.03,0.74,0.00,0.00,0.72,0.72,"",0,0.0,-2,-14.3,-80473,-12.8,0,0.0,0,0.0,-11,-1.2,-549,-1.2
"20135","1","48-49","74","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,12,471300,0,0,750,39004,"",12.61,2.64,2.40,0.00,0.00,0.90,0.90,"",0,0.0,0,0.0,-1493,-0.3,0,0.0,0,0.0,3,0.4,144,0.4
"20135","1","491","75","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,12,471300,0,0,750,39004,"",12.69,2.70,2.50,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,-1493,-0.3,0,0.0,0,0.0,3,0.4,144,0.4
"20135","1","4911","76","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,12,471300,0,0,750,39004,"",12.69,2.70,2.50,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,-1493,-0.3,0,0.0,0,0.0,3,0.4,144,0.4
"20135","1","49111","77","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,12,471300,0,0,750,39004,"",12.69,2.70,2.50,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,-1493,-0.3,0,0.0,0,0.0,3,0.4,144,0.4
"20135","1","491110","78","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,12,471300,0,0,750,39004,"",12.69,2.70,2.50,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,-1493,-0.3,0,0.0,0,0.0,3,0.4,144,0.4
"20135","1","92","74","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,12,549842,0,0,887,46141,"",11.70,1.03,0.74,0.00,0.00,0.72,0.72,"",0,0.0,-2,-14.3,-80473,-12.8,0,0.0,0,0.0,-11,-1.2,-549,-1.2
"20135","1","924","75","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,95472,0,0,881,45827,"",14.21,2.86,2.33,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,-42403,-30.8,0,0.0,0,0.0,-216,-19.7,-11225,-19.7
"20135","1","9241","76","0","2021","A","","Ness County, Kansas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,95472,0,0,881,45827,"",14.21,2.86,2.33,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,-42403,-30.8,0,0.0,0,0.0,-216,-19.7,-11225,-19.7
