"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21047","0","10","70","0","2021","A","","Christian County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1841,30128,1423762311,310263704,5878554,909,47257,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",70,4.0,404,1.4,55284867,4.0,15766833,5.4,104430,1.8,24,2.7,1218,2.6
"21047","1","10","71","0","2021","A","","Christian County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,3203,207010275,0,0,1243,64639,"",3.78,5.30,5.50,0.00,0.00,1.04,1.04,"",-1,-2.5,-141,-4.2,-1194027,-0.6,0,0.0,0,0.0,46,3.8,2374,3.8
"21047","1","102","72","0","2021","A","","Christian County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,3203,207010275,0,0,1243,64639,"",3.78,5.40,5.60,0.00,0.00,1.04,1.04,"",-1,-2.5,-141,-4.2,-1194027,-0.6,0,0.0,0,0.0,46,3.8,2374,3.8
"21047","1","1021","73","0","2021","A","","Christian County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,249,11862623,0,0,915,47593,"",2.15,1.77,1.81,0.00,0.00,1.02,1.02,"",0,0.0,-14,-5.3,-39542,-0.3,0,0.0,0,0.0,44,5.1,2323,5.1
"21047","1","1022","73","0","2021","A","","Christian County, Kentucky","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,10,334277,0,0,632,32880,"",43.89,7.28,4.04,0.00,0.00,0.55,0.55,"",0,0.0,-2,-16.7,-70201,-17.4,0,0.0,0,0.0,-7,-1.1,-365,-1.1
"21047","1","1023","73","0","2021","A","","Christian County, Kentucky","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,490853,0,0,1691,87914,"",7.73,2.31,2.14,0.00,0.00,0.99,0.99,"",0,0.0,-4,-40.0,-415518,-45.8,0,0.0,0,0.0,-112,-6.2,-5849,-6.2
"21047","1","1024","73","0","2021","A","","Christian County, Kentucky","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",4,17,902656,0,0,1006,52328,"",16.26,1.17,0.94,0.00,0.00,0.80,0.80,"",-1,-20.0,-5,-22.7,-292986,-24.5,0,0.0,0,0.0,-43,-4.1,-2226,-4.1
"21047","1","1025","73","0","2021","A","","Christian County, Kentucky","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,1442,91686263,0,0,1223,63597,"",29.71,16.03,16.36,0.00,0.00,1.02,1.02,"",0,0.0,-103,-6.7,-4044173,-4.2,0,0.0,0,0.0,31,2.6,1636,2.6
"21047","1","1026","73","0","2021","A","","Christian County, Kentucky","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",6,172,4526511,0,0,506,26291,"",23.47,18.33,12.77,0.00,0.00,0.70,0.70,"",0,0.0,-31,-15.3,-457937,-9.2,0,0.0,0,0.0,35,7.4,1787,7.3
"21047","1","1028","73","0","2021","A","","Christian County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,1307,97207092,0,0,1431,74403,"",2.10,3.92,4.20,0.00,0.00,1.07,1.07,"",0,0.0,18,1.4,4126330,4.4,0,0.0,0,0.0,42,3.0,2177,3.0
"21047","1","22","74","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,1056209,0,0,2257,117357,"",36.35,3.72,4.50,0.00,0.00,1.21,1.21,"",0,0.0,1,12.5,139729,15.2,0,0.0,0,0.0,77,3.5,3978,3.5
"21047","1","221","75","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,1056209,0,0,2257,117357,"",36.35,3.72,4.50,0.00,0.00,1.21,1.21,"",0,0.0,1,12.5,139729,15.2,0,0.0,0,0.0,77,3.5,3978,3.5
"21047","1","2211","76","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,1056209,0,0,2257,117357,"",37.74,3.99,4.73,0.00,0.00,1.19,1.19,"",0,0.0,1,12.5,139729,15.2,0,0.0,0,0.0,77,3.5,3978,3.5
"21047","1","22112","77","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,1056209,0,0,2257,117357,"",71.39,15.65,17.68,0.00,0.00,1.13,1.13,"",0,0.0,1,12.5,139729,15.2,0,0.0,0,0.0,77,3.5,3978,3.5
"21047","1","221122","78","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 221122 Electric power distribution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,1056209,0,0,2257,117357,"",137.81,58.28,69.68,0.00,0.00,1.20,1.20,"",0,0.0,1,12.5,139729,15.2,0,0.0,0,0.0,77,3.5,3978,3.5
"21047","1","44-45","74","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,142,4854466,0,0,658,34227,"",17.40,16.11,23.13,0.00,0.00,1.44,1.44,"",0,0.0,-15,-9.6,-577984,-10.6,0,0.0,0,0.0,-8,-1.2,-430,-1.2
"21047","1","445","75","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,119,4344786,0,0,704,36588,"",29.78,54.10,63.12,0.00,0.00,1.17,1.17,"",0,0.0,-13,-9.8,-572957,-11.7,0,0.0,0,0.0,-13,-1.8,-715,-1.9
"21047","1","4451","76","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,119,4344786,0,0,704,36588,"",29.78,54.10,63.12,0.00,0.00,1.17,1.17,"",0,0.0,-13,-9.8,-572957,-11.7,0,0.0,0,0.0,-13,-1.8,-715,-1.9
"21047","1","44511","77","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 44511 Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,119,4344786,0,0,704,36588,"",34.06,57.47,65.68,0.00,0.00,1.15,1.15,"",0,0.0,-13,-9.8,-572957,-11.7,0,0.0,0,0.0,-13,-1.8,-715,-1.9
"21047","1","445110","78","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 445110 Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,119,4344786,0,0,704,36588,"",34.06,57.47,65.68,0.00,0.00,1.15,1.15,"",0,0.0,-13,-9.8,-572957,-11.7,0,0.0,0,0.0,-13,-1.8,-715,-1.9
"21047","1","451","75","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 451 Sports, hobby, music instrument, book stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,509680,0,0,425,22080,"",118.51,837.89,1158.61,0.00,0.00,1.38,1.38,"",0,0.0,-2,-8.0,-5027,-1.0,0,0.0,0,0.0,28,7.1,1423,6.9
"21047","1","4511","76","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 4511 Sporting goods and musical instrument stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,509680,0,0,425,22080,"",120.93,844.33,1204.47,0.00,0.00,1.42,1.42,"",0,0.0,-2,-8.0,-5027,-1.0,0,0.0,0,0.0,28,7.1,1423,6.9
"21047","1","45111","77","0","2021","A","","Christian County, Kentucky","Federal Government","NAICS 45111 Sporting goods stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,509680,0,0,425,22080,"",126.08,857.52,1234.84,0.00,0.00,1.44,1.44,"",0,0.0,-2,-8.0,-5027,-1.0,0,0.0,0,0.0,28,7.1,1423,6.9
