"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21155","0","10","70","0","2021","A","","Marion County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",455,8144,367020627,92158574,1693194,867,45067,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,352,4.5,28689957,8.5,2127581,2.4,140843,9.1,32,3.8,1645,3.8
"21155","1","10","71","0","2021","A","","Marion County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,44,2322150,0,0,1017,52876,"",3.53,0.27,0.24,0.00,0.00,0.89,0.89,"",-1,-10.0,-3,-6.4,-65027,-2.7,0,0.0,0,0.0,32,3.2,1631,3.2
"21155","1","102","72","0","2021","A","","Marion County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,44,2322150,0,0,1017,52876,"",3.53,0.27,0.24,0.00,0.00,0.89,0.89,"",-1,-10.0,-3,-6.4,-65027,-2.7,0,0.0,0,0.0,32,3.2,1631,3.2
"21155","1","1021","73","0","2021","A","","Marion County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,31,1654673,0,0,1018,52950,"",3.96,0.81,0.98,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,59449,3.7,0,0.0,0,0.0,18,1.8,932,1.8
"21155","1","1027","73","0","2021","A","","Marion County, Kentucky","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,249710,0,0,1029,53509,"",151.75,18.50,23.71,0.00,0.00,1.37,1.37,"",0,0.0,0,0.0,3166,1.3,0,0.0,0,0.0,31,3.1,1605,3.1
"21155","1","1028","73","0","2021","A","","Marion County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,417767,0,0,1004,52221,"",2.83,0.09,0.07,0.00,0.00,0.79,0.79,"",-1,-25.0,-3,-27.3,-127642,-23.4,0,0.0,0,0.0,65,6.9,3378,6.9
"21155","1","48-49","74","0","2021","A","","Marion County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,31,1654673,0,0,1018,52950,"",4.07,0.88,1.05,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,59449,3.7,0,0.0,0,0.0,18,1.8,932,1.8
"21155","1","491","75","0","2021","A","","Marion County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,31,1654673,0,0,1018,52950,"",4.10,0.90,1.09,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,59449,3.7,0,0.0,0,0.0,18,1.8,932,1.8
"21155","1","4911","76","0","2021","A","","Marion County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,31,1654673,0,0,1018,52950,"",4.10,0.90,1.09,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,59449,3.7,0,0.0,0,0.0,18,1.8,932,1.8
"21155","1","49111","77","0","2021","A","","Marion County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,31,1654673,0,0,1018,52950,"",4.10,0.90,1.09,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,59449,3.7,0,0.0,0,0.0,18,1.8,932,1.8
