"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"23023","0","10","70","0","2021","A","","Sagadahoc County, Maine","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1217,16654,903589759,207977495,3271387,1043,54255,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,4.0,1522,10.1,118100713,15.0,18969210,10.0,541042,19.8,45,4.5,2344,4.5
"23023","1","10","71","0","2021","A","","Sagadahoc County, Maine","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,387,39029018,0,0,1938,100763,"",1.90,1.16,1.63,0.00,0.00,1.41,1.41,"",1,8.3,-18,-4.4,1296772,3.4,0,0.0,0,0.0,145,8.1,7520,8.1
"23023","1","102","72","0","2021","A","","Sagadahoc County, Maine","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,387,39029018,0,0,1938,100763,"",1.91,1.18,1.66,0.00,0.00,1.41,1.41,"",1,8.3,-18,-4.4,1296772,3.4,0,0.0,0,0.0,145,8.1,7520,8.1
"23023","1","1021","73","0","2021","A","","Sagadahoc County, Maine","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,52,3008849,0,0,1122,58330,"",2.37,0.67,0.72,0.00,0.00,1.09,1.09,"",0,0.0,-4,-7.1,-3949,-0.1,0,0.0,0,0.0,90,8.7,4690,8.7
"23023","1","1028","73","0","2021","A","","Sagadahoc County, Maine","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,336,36020169,0,0,2063,107283,"",1.77,1.82,2.45,0.00,0.00,1.35,1.35,"",1,25.0,-13,-3.7,1300721,3.7,0,0.0,0,0.0,147,7.7,7658,7.7
"23023","1","48-49","74","0","2021","A","","Sagadahoc County, Maine","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,52,3008849,0,0,1122,58330,"",2.44,0.73,0.77,0.00,0.00,1.08,1.08,"",0,0.0,-4,-7.1,-3949,-0.1,0,0.0,0,0.0,90,8.7,4690,8.7
"23023","1","491","75","0","2021","A","","Sagadahoc County, Maine","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,52,3008849,0,0,1122,58330,"",2.45,0.74,0.81,0.00,0.00,1.10,1.10,"",0,0.0,-4,-7.1,-3949,-0.1,0,0.0,0,0.0,90,8.7,4690,8.7
"23023","1","4911","76","0","2021","A","","Sagadahoc County, Maine","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,52,3008849,0,0,1122,58330,"",2.45,0.74,0.81,0.00,0.00,1.10,1.10,"",0,0.0,-4,-7.1,-3949,-0.1,0,0.0,0,0.0,90,8.7,4690,8.7
"23023","1","49111","77","0","2021","A","","Sagadahoc County, Maine","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,52,3008849,0,0,1122,58330,"",2.45,0.74,0.81,0.00,0.00,1.10,1.10,"",0,0.0,-4,-7.1,-3949,-0.1,0,0.0,0,0.0,90,8.7,4690,8.7
"23023","1","491110","78","0","2021","A","","Sagadahoc County, Maine","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,52,3008849,0,0,1122,58330,"",2.45,0.74,0.81,0.00,0.00,1.10,1.10,"",0,0.0,-4,-7.1,-3949,-0.1,0,0.0,0,0.0,90,8.7,4690,8.7
