"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24025","0","10","70","0","2021","A","","Harford County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5893,91249,5616815171,707942402,27271502,1184,61555,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-20,-0.3,1933,2.2,254067620,4.7,19150618,2.8,15195240,125.8,29,2.5,1513,2.5
"24025","1","10","71","0","2021","A","","Harford County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,11344,1293650591,0,0,2193,114035,"",1.51,6.20,8.70,0.00,0.00,1.40,1.40,"",2,4.2,2,0.0,28677541,2.3,0,0.0,0,0.0,48,2.2,2507,2.2
"24025","1","102","72","0","2021","A","","Harford County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,11344,1293650591,0,0,2193,114035,"",1.52,6.32,8.87,0.00,0.00,1.40,1.40,"",2,4.2,2,0.0,28677541,2.3,0,0.0,0,0.0,48,2.2,2507,2.2
"24025","1","1021","73","0","2021","A","","Harford County, Maryland","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,370,21308763,0,0,1108,57604,"",1.22,0.87,0.82,0.00,0.00,0.95,0.95,"",1,5.3,-10,-2.6,567275,2.7,0,0.0,0,0.0,58,5.5,3021,5.5
"24025","1","1024","73","0","2021","A","","Harford County, Maryland","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,622,67473855,0,0,2086,108479,"",6.35,14.11,17.88,0.00,0.00,1.27,1.27,"",0,0.0,2,0.3,895499,1.3,0,0.0,0,0.0,21,1.0,1123,1.0
"24025","1","1025","73","0","2021","A","","Harford County, Maryland","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,126,4403622,0,0,674,35065,"",6.63,0.46,0.20,0.00,0.00,0.43,0.43,"",0,0.0,-20,-13.7,-480275,-9.8,0,0.0,0,0.0,32,5.0,1690,5.1
"24025","1","1026","73","0","2021","A","","Harford County, Maryland","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",6,61,2460105,0,0,779,40496,"",7.33,2.15,1.76,0.00,0.00,0.82,0.82,"",1,20.0,-15,-19.7,-217931,-8.1,0,0.0,0,0.0,104,15.4,5374,15.3
"24025","1","1028","73","0","2021","A","","Harford County, Maryland","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,10166,1198004246,0,0,2266,117843,"",1.02,10.08,13.12,0.00,0.00,1.30,1.30,"",0,0.0,47,0.5,27912973,2.4,0,0.0,0,0.0,42,1.9,2215,1.9
"24025","1","44-45","74","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,10826,0,0,312,16239,"",2.72,0.04,0.01,0.00,0.00,0.52,0.52,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"24025","1","451","75","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 451 Sports, hobby, music instrument, book stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,10826,0,0,312,16239,"",37.02,12.03,6.24,0.00,0.00,0.78,0.78,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"24025","1","4511","76","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 4511 Sporting goods and musical instrument stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,10826,0,0,312,16239,"",37.78,12.12,6.49,0.00,0.00,0.80,0.80,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"24025","1","45111","77","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 45111 Sporting goods stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,10826,0,0,312,16239,"",39.39,12.31,6.65,0.00,0.00,0.81,0.81,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"24025","1","451110","78","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 451110 Sporting goods stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,10826,0,0,312,16239,"",39.39,12.31,6.65,0.00,0.00,0.81,0.81,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"24025","1","48-49","74","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",19,369,21297937,0,0,1109,57679,"",1.20,0.94,0.88,0.00,0.00,0.94,0.94,"",0,0.0,-11,-2.9,556449,2.7,0,0.0,0,0.0,59,5.6,3096,5.7
"24025","1","481","75","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 481 Air transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,531028,0,0,492,25592,"",462.80,1181.77,985.44,0.00,0.00,0.84,0.84,"",0,0.0,-2,-8.7,-45053,-7.8,0,0.0,0,0.0,19,4.0,991,4.0
"24025","1","4812","76","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 4812 Nonscheduled air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,531028,0,0,492,25592,"",462.80,1181.77,985.44,0.00,0.00,0.84,0.84,"",0,0.0,-2,-8.7,-45053,-7.8,0,0.0,0,0.0,19,4.0,991,4.0
"24025","1","48121","77","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 48121 Nonscheduled air transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,531028,0,0,492,25592,"",462.80,1181.77,985.44,0.00,0.00,0.84,0.84,"",0,0.0,-2,-8.7,-45053,-7.8,0,0.0,0,0.0,19,4.0,991,4.0
"24025","1","481219","78","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 481219 Other nonscheduled air transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,531028,0,0,492,25592,"",462.80,1181.77,985.44,0.00,0.00,0.84,0.84,"",0,0.0,-2,-8.7,-45053,-7.8,0,0.0,0,0.0,19,4.0,991,4.0
"24025","1","491","75","0","2021","A","","Harford County, Maryland","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,349,20766909,0,0,1146,59589,"",1.14,0.91,0.90,0.00,0.00,0.99,0.99,"",0,0.0,-8,-2.2,601502,3.0,0,0.0,0,0.0,58,5.3,3037,5.4
