"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26003","0","10","70","0","2021","A","","Alger County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",254,2463,114409572,20392066,748557,893,46454,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.0,151,6.5,10247349,9.8,3524611,20.9,144061,23.8,27,3.1,1403,3.1
"26003","1","10","71","0","2021","A","","Alger County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,67,3919618,0,0,1118,58140,"",9.12,1.36,1.29,0.00,0.00,0.95,0.95,"",0,0.0,-8,-10.7,56705,1.5,0,0.0,0,0.0,123,12.4,6405,12.4
"26003","1","102","72","0","2021","A","","Alger County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,67,3919618,0,0,1118,58140,"",9.14,1.38,1.32,0.00,0.00,0.95,0.95,"",0,0.0,-8,-10.7,56705,1.5,0,0.0,0,0.0,123,12.4,6405,12.4
"26003","1","1021","73","0","2021","A","","Alger County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,16,716646,0,0,875,45501,"",12.77,1.39,1.36,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-34005,-4.5,0,0.0,0,0.0,-4,-0.5,-224,-0.5
"26003","1","1026","73","0","2021","A","","Alger County, Michigan","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,29,1785355,0,0,1170,60864,"",56.70,37.80,62.69,0.00,0.00,1.64,1.64,"",0,0.0,1,3.6,175557,10.9,0,0.0,0,0.0,54,4.8,2853,4.9
"26003","1","1028","73","0","2021","A","","Alger County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,22,1417617,0,0,1221,63475,"",3.39,0.81,0.76,0.00,0.00,0.93,0.93,"",0,0.0,-9,-29.0,-84847,-5.6,0,0.0,0,0.0,274,28.9,14214,28.9
"26003","1","48-49","74","0","2021","A","","Alger County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,16,716646,0,0,875,45501,"",13.14,1.51,1.46,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,-34005,-4.5,0,0.0,0,0.0,-4,-0.5,-224,-0.5
"26003","1","491","75","0","2021","A","","Alger County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,16,716646,0,0,875,45501,"",13.22,1.54,1.52,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,-34005,-4.5,0,0.0,0,0.0,-4,-0.5,-224,-0.5
"26003","1","4911","76","0","2021","A","","Alger County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,16,716646,0,0,875,45501,"",13.22,1.54,1.52,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,-34005,-4.5,0,0.0,0,0.0,-4,-0.5,-224,-0.5
"26003","1","49111","77","0","2021","A","","Alger County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,16,716646,0,0,875,45501,"",13.22,1.54,1.52,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,-34005,-4.5,0,0.0,0,0.0,-4,-0.5,-224,-0.5
