"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26151","0","10","70","0","2021","A","","Sanilac County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",872,9960,420484953,88739619,2658255,812,42217,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.8,450,4.7,31601555,8.1,8803262,11.0,140664,5.6,26,3.3,1325,3.2
"26151","1","10","71","0","2021","A","","Sanilac County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,103,4953650,0,0,926,48133,"",3.68,0.52,0.45,0.00,0.00,0.86,0.86,"",0,0.0,-5,-4.6,-27137,-0.5,0,0.0,0,0.0,40,4.5,2086,4.5
"26151","1","102","72","0","2021","A","","Sanilac County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,103,4953650,0,0,926,48133,"",3.69,0.53,0.45,0.00,0.00,0.86,0.86,"",0,0.0,-5,-4.6,-27137,-0.5,0,0.0,0,0.0,40,4.5,2086,4.5
"26151","1","1021","73","0","2021","A","","Sanilac County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,92,4359978,0,0,909,47263,"",6.20,1.97,2.25,0.00,0.00,1.14,1.14,"",0,0.0,-1,-1.1,30365,0.7,0,0.0,0,0.0,10,1.1,541,1.2
"26151","1","1028","73","0","2021","A","","Sanilac County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,593672,0,0,1070,55657,"",1.48,0.10,0.09,0.00,0.00,0.90,0.90,"",0,0.0,-5,-31.2,-57502,-8.8,0,0.0,0,0.0,262,32.4,13646,32.5
"26151","1","48-49","74","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,92,4359978,0,0,909,47263,"",6.38,2.15,2.41,0.00,0.00,1.12,1.12,"",0,0.0,-1,-1.1,30365,0.7,0,0.0,0,0.0,10,1.1,541,1.2
"26151","1","491","75","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,92,4359978,0,0,909,47263,"",6.42,2.19,2.51,0.00,0.00,1.14,1.14,"",0,0.0,-1,-1.1,30365,0.7,0,0.0,0,0.0,10,1.1,541,1.2
"26151","1","4911","76","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,92,4359978,0,0,909,47263,"",6.42,2.19,2.51,0.00,0.00,1.14,1.14,"",0,0.0,-1,-1.1,30365,0.7,0,0.0,0,0.0,10,1.1,541,1.2
"26151","1","49111","77","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,92,4359978,0,0,909,47263,"",6.42,2.19,2.51,0.00,0.00,1.14,1.14,"",0,0.0,-1,-1.1,30365,0.7,0,0.0,0,0.0,10,1.1,541,1.2
"26151","1","491110","78","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,92,4359978,0,0,909,47263,"",6.42,2.19,2.51,0.00,0.00,1.14,1.14,"",0,0.0,-1,-1.1,30365,0.7,0,0.0,0,0.0,10,1.1,541,1.2
"26151","1","92","74","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,593672,0,0,1070,55657,"",1.48,0.10,0.09,0.00,0.00,0.90,0.90,"",0,0.0,-5,-31.2,-57502,-8.8,0,0.0,0,0.0,262,32.4,13646,32.5
"26151","1","926","75","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,593672,0,0,1070,55657,"",3.70,0.65,0.56,0.00,0.00,0.88,0.88,"",0,0.0,-5,-31.2,-57502,-8.8,0,0.0,0,0.0,262,32.4,13646,32.5
"26151","1","9261","76","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,593672,0,0,1070,55657,"",3.70,0.65,0.56,0.00,0.00,0.88,0.88,"",0,0.0,-5,-31.2,-57502,-8.8,0,0.0,0,0.0,262,32.4,13646,32.5
"26151","1","92611","77","0","2021","A","","Sanilac County, Michigan","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,30639,0,0,786,40852,"",2.71,0.29,0.14,0.00,0.00,0.65,0.65,"",0,0.0,-5,-83.3,-69134,-69.3,0,0.0,0,0.0,475,152.7,24673,152.5
