"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27059","0","10","70","0","2021","A","","Isanti County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",878,11101,504120981,211848982,2268727,873,45411,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.0,208,1.9,26217898,5.5,13544700,6.8,175805,8.4,29,3.4,1540,3.5
"27059","1","10","71","0","2021","A","","Isanti County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,78,4583528,0,0,1134,58952,"",2.23,0.35,0.34,0.00,0.00,0.98,0.98,"",0,0.0,-3,-3.7,102849,2.3,0,0.0,0,0.0,72,6.8,3749,6.8
"27059","1","102","72","0","2021","A","","Isanti County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,78,4583528,0,0,1134,58952,"",2.24,0.36,0.35,0.00,0.00,0.98,0.98,"",0,0.0,-3,-3.7,102849,2.3,0,0.0,0,0.0,72,6.8,3749,6.8
"27059","1","1021","73","0","2021","A","","Isanti County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,56,3264740,0,0,1114,57954,"",2.46,1.08,1.40,0.00,0.00,1.29,1.29,"",0,0.0,-1,-1.8,82105,2.6,0,0.0,0,0.0,39,3.6,2037,3.6
"27059","1","1023","73","0","2021","A","","Isanti County, Minnesota","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,557889,0,0,1515,78761,"",16.20,7.33,6.86,0.00,0.00,0.93,0.92,"",0,0.0,0,0.0,15888,2.9,0,0.0,0,0.0,-68,-4.3,-3568,-4.3
"27059","1","1028","73","0","2021","A","","Isanti County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,760899,0,0,1021,53086,"",1.96,0.11,0.09,0.00,0.00,0.80,0.80,"",0,0.0,-4,-22.2,4856,0.6,0,0.0,0,0.0,198,24.1,10291,24.0
"27059","1","48-49","74","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,56,3264740,0,0,1114,57954,"",2.53,1.17,1.51,0.00,0.00,1.28,1.28,"",0,0.0,-1,-1.8,82105,2.6,0,0.0,0,0.0,39,3.6,2037,3.6
"27059","1","491","75","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,56,3264740,0,0,1114,57954,"",2.55,1.20,1.57,0.00,0.00,1.30,1.30,"",0,0.0,-1,-1.8,82105,2.6,0,0.0,0,0.0,39,3.6,2037,3.6
"27059","1","4911","76","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,56,3264740,0,0,1114,57954,"",2.55,1.20,1.57,0.00,0.00,1.30,1.30,"",0,0.0,-1,-1.8,82105,2.6,0,0.0,0,0.0,39,3.6,2037,3.6
"27059","1","49111","77","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,56,3264740,0,0,1114,57954,"",2.55,1.20,1.57,0.00,0.00,1.30,1.30,"",0,0.0,-1,-1.8,82105,2.6,0,0.0,0,0.0,39,3.6,2037,3.6
"27059","1","491110","78","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,56,3264740,0,0,1114,57954,"",2.55,1.20,1.57,0.00,0.00,1.30,1.30,"",0,0.0,-1,-1.8,82105,2.6,0,0.0,0,0.0,39,3.6,2037,3.6
"27059","1","52","74","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,557889,0,0,1515,78761,"",16.35,7.34,6.86,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,15888,2.9,0,0.0,0,0.0,-68,-4.3,-3568,-4.3
"27059","1","522","75","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,557889,0,0,1515,78761,"",19.85,15.36,18.07,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,15888,2.9,0,0.0,0,0.0,-68,-4.3,-3568,-4.3
"27059","1","5222","76","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,557889,0,0,1515,78761,"",19.88,15.36,18.07,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,15888,2.9,0,0.0,0,0.0,-68,-4.3,-3568,-4.3
"27059","1","52229","77","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,557889,0,0,1515,78761,"",19.88,15.36,18.07,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,15888,2.9,0,0.0,0,0.0,-68,-4.3,-3568,-4.3
"27059","1","522298","78","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,557889,0,0,1515,78761,"",43.90,38.98,38.27,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,15888,2.9,0,0.0,0,0.0,-68,-4.3,-3568,-4.3
"27059","1","92","74","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,760899,0,0,1021,53086,"",1.96,0.11,0.09,0.00,0.00,0.80,0.80,"",0,0.0,-4,-22.2,4856,0.6,0,0.0,0,0.0,198,24.1,10291,24.0
"27059","1","924","75","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,180000,0,0,1731,90000,"",2.38,0.27,0.40,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,51700,40.3,0,0.0,0,0.0,86,5.2,4467,5.2
"27059","1","9241","76","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,180000,0,0,1731,90000,"",2.38,0.27,0.40,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,51700,40.3,0,0.0,0,0.0,86,5.2,4467,5.2
"27059","1","92412","77","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,180000,0,0,1731,90000,"",2.51,0.33,0.52,0.00,0.00,1.58,1.58,"",0,0.0,0,0.0,51700,40.3,0,0.0,0,0.0,86,5.2,4467,5.2
"27059","1","924120","78","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,180000,0,0,1731,90000,"",2.51,0.33,0.52,0.00,0.00,1.58,1.58,"",0,0.0,0,0.0,51700,40.3,0,0.0,0,0.0,86,5.2,4467,5.2
"27059","1","926","75","0","2021","A","","Isanti County, Minnesota","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,367453,0,0,932,48455,"",2.45,0.43,0.29,0.00,0.00,0.71,0.71,"",0,0.0,-5,-38.5,-91645,-20.0,0,0.0,0,0.0,226,32.0,11727,31.9
