"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27127","0","10","70","0","2021","A","","Redwood County, Minnesota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",570,5902,269693227,126718435,1062085,879,45693,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,83,1.4,14584566,5.7,5065575,4.2,37744,3.7,36,4.3,1852,4.2
"27127","1","10","71","0","2021","A","","Redwood County, Minnesota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,50,2372510,0,0,906,47136,"",4.69,0.42,0.33,0.00,0.00,0.78,0.78,"",0,0.0,-7,-12.3,-270834,-10.2,0,0.0,0,0.0,18,2.0,964,2.1
"27127","1","102","72","0","2021","A","","Redwood County, Minnesota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,50,2372510,0,0,906,47136,"",4.70,0.43,0.34,0.00,0.00,0.78,0.78,"",0,0.0,-7,-12.3,-270834,-10.2,0,0.0,0,0.0,18,2.0,964,2.1
"27127","1","1021","73","0","2021","A","","Redwood County, Minnesota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,37,1667264,0,0,876,45574,"",6.96,1.34,1.34,0.00,0.00,1.01,1.01,"",0,0.0,-2,-5.1,-28361,-1.7,0,0.0,0,0.0,38,4.5,2003,4.6
"27127","1","1028","73","0","2021","A","","Redwood County, Minnesota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,705246,0,0,986,51291,"",3.02,0.21,0.16,0.00,0.00,0.76,0.76,"",0,0.0,-4,-22.2,-242473,-25.6,0,0.0,0,0.0,-8,-0.8,-403,-0.8
"27127","1","48-49","74","0","2021","A","","Redwood County, Minnesota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,37,1667264,0,0,876,45574,"",7.16,1.46,1.44,0.00,0.00,1.00,1.00,"",0,0.0,-2,-5.1,-28361,-1.7,0,0.0,0,0.0,38,4.5,2003,4.6
"27127","1","491","75","0","2021","A","","Redwood County, Minnesota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,37,1667264,0,0,876,45574,"",7.20,1.49,1.50,0.00,0.00,1.02,1.02,"",0,0.0,-2,-5.1,-28361,-1.7,0,0.0,0,0.0,38,4.5,2003,4.6
"27127","1","4911","76","0","2021","A","","Redwood County, Minnesota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,37,1667264,0,0,876,45574,"",7.20,1.49,1.50,0.00,0.00,1.02,1.02,"",0,0.0,-2,-5.1,-28361,-1.7,0,0.0,0,0.0,38,4.5,2003,4.6
"27127","1","49111","77","0","2021","A","","Redwood County, Minnesota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,37,1667264,0,0,876,45574,"",7.20,1.49,1.50,0.00,0.00,1.02,1.02,"",0,0.0,-2,-5.1,-28361,-1.7,0,0.0,0,0.0,38,4.5,2003,4.6
"27127","1","491110","78","0","2021","A","","Redwood County, Minnesota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,37,1667264,0,0,876,45574,"",7.20,1.49,1.50,0.00,0.00,1.02,1.02,"",0,0.0,-2,-5.1,-28361,-1.7,0,0.0,0,0.0,38,4.5,2003,4.6
