"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28051","0","10","70","0","2021","A","","Holmes County, Mississippi","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",284,2992,113634374,26368278,198330,730,37979,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.4,-32,-1.1,980260,0.9,-1633060,-5.8,-19818,-9.1,14,2.0,727,2.0
"28051","1","10","71","0","2021","A","","Holmes County, Mississippi","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,54,2702890,0,0,972,50521,"",6.90,0.90,0.90,0.00,0.00,1.01,1.01,"",0,0.0,-7,-11.5,-89475,-3.2,0,0.0,0,0.0,88,10.0,4556,9.9
"28051","1","102","72","0","2021","A","","Holmes County, Mississippi","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,54,2702890,0,0,972,50521,"",6.92,0.92,0.92,0.00,0.00,1.01,1.01,"",0,0.0,-7,-11.5,-89475,-3.2,0,0.0,0,0.0,88,10.0,4556,9.9
"28051","1","1021","73","0","2021","A","","Holmes County, Mississippi","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,44,2117204,0,0,925,48118,"",8.88,3.14,4.04,0.00,0.00,1.28,1.28,"",0,0.0,1,2.3,60824,3.0,0,0.0,0,0.0,7,0.8,388,0.8
"28051","1","1028","73","0","2021","A","","Holmes County, Mississippi","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,585686,0,0,1186,61651,"",6.06,0.30,0.32,0.00,0.00,1.11,1.10,"",0,0.0,-8,-44.4,-150299,-20.4,0,0.0,0,0.0,385,48.1,19991,48.0
"28051","1","48-49","74","0","2021","A","","Holmes County, Mississippi","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,44,2117204,0,0,925,48118,"",9.14,3.42,4.33,0.00,0.00,1.27,1.27,"",0,0.0,1,2.3,60824,3.0,0,0.0,0,0.0,7,0.8,388,0.8
"28051","1","491","75","0","2021","A","","Holmes County, Mississippi","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,44,2117204,0,0,925,48118,"",9.20,3.49,4.52,0.00,0.00,1.29,1.29,"",0,0.0,1,2.3,60824,3.0,0,0.0,0,0.0,7,0.8,388,0.8
"28051","1","4911","76","0","2021","A","","Holmes County, Mississippi","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,44,2117204,0,0,925,48118,"",9.20,3.49,4.52,0.00,0.00,1.29,1.29,"",0,0.0,1,2.3,60824,3.0,0,0.0,0,0.0,7,0.8,388,0.8
"28051","1","49111","77","0","2021","A","","Holmes County, Mississippi","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,44,2117204,0,0,925,48118,"",9.20,3.49,4.52,0.00,0.00,1.29,1.29,"",0,0.0,1,2.3,60824,3.0,0,0.0,0,0.0,7,0.8,388,0.8
"28051","1","491110","78","0","2021","A","","Holmes County, Mississippi","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,44,2117204,0,0,925,48118,"",9.20,3.49,4.52,0.00,0.00,1.29,1.29,"",0,0.0,1,2.3,60824,3.0,0,0.0,0,0.0,7,0.8,388,0.8
