"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29059","0","10","70","0","2021","A","","Dallas County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",397,2517,76458436,22056936,276322,584,30376,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.8,40,1.6,3789999,5.2,1147945,5.5,7470,2.8,20,3.5,1040,3.5
"29059","1","10","71","0","2021","A","","Dallas County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,31,1419291,0,0,888,46156,"",3.14,0.61,0.70,0.00,0.00,1.15,1.15,"",-1,-12.5,-7,-18.4,-218838,-13.4,0,0.0,0,0.0,59,7.1,3047,7.1
"29059","1","102","72","0","2021","A","","Dallas County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,31,1419291,0,0,888,46156,"",3.15,0.63,0.71,0.00,0.00,1.15,1.15,"",-1,-12.5,-7,-18.4,-218838,-13.4,0,0.0,0,0.0,59,7.1,3047,7.1
"29059","1","1021","73","0","2021","A","","Dallas County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,30,1418507,0,0,902,46893,"",4.54,2.55,4.02,0.00,0.00,1.57,1.57,"",0,0.0,-1,-3.2,8047,0.6,0,0.0,0,0.0,34,3.9,1758,3.9
"29059","1","1028","73","0","2021","A","","Dallas County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,784,0,0,30,1568,"",2.17,0.04,0.00,0.00,0.00,0.03,0.04,"",-1,-33.3,-6,-85.7,-226885,-99.7,0,0.0,0,0.0,-619,-95.4,-32161,-95.4
"29059","1","48-49","74","0","2021","A","","Dallas County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,30,1418507,0,0,902,46893,"",4.67,2.77,4.31,0.00,0.00,1.55,1.55,"",0,0.0,-1,-3.2,8047,0.6,0,0.0,0,0.0,34,3.9,1758,3.9
"29059","1","491","75","0","2021","A","","Dallas County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,30,1418507,0,0,902,46893,"",4.70,2.83,4.50,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.2,8047,0.6,0,0.0,0,0.0,34,3.9,1758,3.9
"29059","1","4911","76","0","2021","A","","Dallas County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,30,1418507,0,0,902,46893,"",4.70,2.83,4.50,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.2,8047,0.6,0,0.0,0,0.0,34,3.9,1758,3.9
"29059","1","49111","77","0","2021","A","","Dallas County, Missouri","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,30,1418507,0,0,902,46893,"",4.70,2.83,4.50,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.2,8047,0.6,0,0.0,0,0.0,34,3.9,1758,3.9
"29059","1","491110","78","0","2021","A","","Dallas County, Missouri","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,30,1418507,0,0,902,46893,"",4.70,2.83,4.50,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.2,8047,0.6,0,0.0,0,0.0,34,3.9,1758,3.9
