"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29189","0","10","70","0","2021","A","","St. Louis County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",42182,577802,39479250067,6430793518,64294367,1314,68327,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",81,0.2,7673,1.3,1864602390,5.0,21146266,0.3,-1102044,-1.7,45,3.5,2351,3.6
"29189","1","10","71","0","2021","A","","St. Louis County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",72,5801,413922476,0,0,1372,71359,"",0.30,0.50,0.40,0.00,0.00,0.79,0.79,"",-1,-1.4,-48,-0.8,11439436,2.8,0,0.0,0,0.0,49,3.7,2544,3.7
"29189","1","102","72","0","2021","A","","St. Louis County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",72,5801,413922476,0,0,1372,71359,"",0.30,0.51,0.40,0.00,0.00,0.79,0.79,"",-1,-1.4,-48,-0.8,11439436,2.8,0,0.0,0,0.0,49,3.7,2544,3.7
"29189","1","1021","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",34,2669,175927455,0,0,1268,65915,"",0.29,0.99,0.97,0.00,0.00,0.98,0.98,"",0,0.0,115,4.5,8153179,4.9,0,0.0,0,0.0,5,0.4,228,0.3
"29189","1","1022","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,663,34315007,0,0,995,51744,"",1.92,25.18,14.96,0.00,0.00,0.59,0.59,"",0,0.0,-8,-1.2,1762228,5.4,0,0.0,0,0.0,62,6.6,3206,6.6
"29189","1","1024","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,482,44773658,0,0,1786,92859,"",0.53,1.73,1.69,0.00,0.00,0.98,0.98,"",0,0.0,-20,-4.0,445206,1.0,0,0.0,0,0.0,87,5.1,4526,5.1
"29189","1","1025","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,151,12806594,0,0,1627,84578,"",0.19,0.09,0.08,0.00,0.00,0.94,0.94,"",0,0.0,-18,-10.7,-835878,-6.1,0,0.0,0,0.0,76,4.9,3933,4.9
"29189","1","1026","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,18,1226757,0,0,1317,68470,"",0.17,0.10,0.12,0.00,0.00,1.25,1.25,"",0,0.0,5,38.5,439441,55.8,0,0.0,0,0.0,122,10.2,6313,10.2
"29189","1","1027","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,57,3424676,0,0,1154,59994,"",1.64,2.97,3.02,0.00,0.00,1.02,1.02,"",0,0.0,6,11.8,495613,16.9,0,0.0,0,0.0,46,4.2,2373,4.1
"29189","1","1028","73","0","2021","A","","St. Louis County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",31,1760,141448329,0,0,1546,80376,"",0.32,0.28,0.22,0.00,0.00,0.80,0.80,"",-1,-3.1,-129,-6.8,979647,0.7,0,0.0,0,0.0,116,8.1,6031,8.1
