"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30047","0","10","70","0","2021","A","","Lake County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1078,9282,385632866,161765184,1954641,799,41549,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,3.2,377,4.2,32881820,9.3,16829685,11.6,211692,12.1,37,4.9,1934,4.9
"30047","1","10","71","0","2021","A","","Lake County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,100,5782956,0,0,1108,57637,"",2.48,0.54,0.57,0.00,0.00,1.05,1.05,"",0,0.0,-15,-13.0,335196,6.2,0,0.0,0,0.0,200,22.0,10436,22.1
"30047","1","102","72","0","2021","A","","Lake County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,100,5782956,0,0,1108,57637,"",2.49,0.55,0.58,0.00,0.00,1.05,1.05,"",0,0.0,-15,-13.0,335196,6.2,0,0.0,0,0.0,200,22.0,10436,22.1
"30047","1","1021","73","0","2021","A","","Lake County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,38,2078152,0,0,1043,54213,"",3.01,0.88,1.17,0.00,0.00,1.32,1.32,"",0,0.0,-1,-2.6,208574,11.2,0,0.0,0,0.0,117,12.6,6069,12.6
"30047","1","1028","73","0","2021","A","","Lake County, Montana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,62,3704804,0,0,1149,59755,"",2.39,0.60,0.59,0.00,0.00,0.98,0.98,"",0,0.0,-15,-19.5,126622,3.5,0,0.0,0,0.0,250,27.8,13032,27.9
"30047","1","48-49","74","0","2021","A","","Lake County, Montana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,38,2078152,0,0,1043,54213,"",3.10,0.95,1.25,0.00,0.00,1.31,1.31,"",0,0.0,-1,-2.6,208574,11.2,0,0.0,0,0.0,117,12.6,6069,12.6
"30047","1","491","75","0","2021","A","","Lake County, Montana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,38,2078152,0,0,1043,54213,"",3.11,0.97,1.31,0.00,0.00,1.33,1.33,"",0,0.0,-1,-2.6,208574,11.2,0,0.0,0,0.0,117,12.6,6069,12.6
"30047","1","4911","76","0","2021","A","","Lake County, Montana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,38,2078152,0,0,1043,54213,"",3.11,0.97,1.31,0.00,0.00,1.33,1.33,"",0,0.0,-1,-2.6,208574,11.2,0,0.0,0,0.0,117,12.6,6069,12.6
"30047","1","49111","77","0","2021","A","","Lake County, Montana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,38,2078152,0,0,1043,54213,"",3.11,0.97,1.31,0.00,0.00,1.33,1.33,"",0,0.0,-1,-2.6,208574,11.2,0,0.0,0,0.0,117,12.6,6069,12.6
"30047","1","491110","78","0","2021","A","","Lake County, Montana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,38,2078152,0,0,1043,54213,"",3.11,0.97,1.31,0.00,0.00,1.33,1.33,"",0,0.0,-1,-2.6,208574,11.2,0,0.0,0,0.0,117,12.6,6069,12.6
