"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31073","0","10","70","0","2021","A","","Gosper County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",82,488,19593889,3540794,30073,773,40186,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,5.1,76,18.4,2802645,16.7,341131,10.7,6990,30.3,-11,-1.4,-561,-1.4
"31073","1","10","71","0","2021","A","","Gosper County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,7,344064,0,0,980,50972,"",8.70,0.72,0.66,0.00,0.00,0.96,0.96,"",0,0.0,1,16.7,74562,27.7,0,0.0,0,0.0,38,4.0,1972,4.0
"31073","1","102","72","0","2021","A","","Gosper County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,7,344064,0,0,980,50972,"",8.71,0.73,0.68,0.00,0.00,0.96,0.96,"",0,0.0,1,16.7,74562,27.7,0,0.0,0,0.0,38,4.0,1972,4.0
"31073","1","1021","73","0","2021","A","","Gosper County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,46398,0,0,892,46398,"",4.40,0.44,0.51,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,12876,38.4,0,0.0,0,0.0,-213,-19.3,-11068,-19.3
"31073","1","1028","73","0","2021","A","","Gosper County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,297666,0,0,996,51768,"",15.73,1.11,0.93,0.00,0.00,0.88,0.88,"",0,0.0,1,20.0,61686,26.1,0,0.0,0,0.0,73,7.9,3772,7.9
"31073","1","48-49","74","0","2021","A","","Gosper County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,46398,0,0,892,46398,"",4.52,0.48,0.55,0.00,0.00,1.15,1.16,"",0,0.0,0,0.0,12876,38.4,0,0.0,0,0.0,-213,-19.3,-11068,-19.3
"31073","1","491","75","0","2021","A","","Gosper County, Nebraska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,46398,0,0,892,46398,"",4.55,0.49,0.57,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,12876,38.4,0,0.0,0,0.0,-213,-19.3,-11068,-19.3
"31073","1","4911","76","0","2021","A","","Gosper County, Nebraska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,46398,0,0,892,46398,"",4.55,0.49,0.57,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,12876,38.4,0,0.0,0,0.0,-213,-19.3,-11068,-19.3
"31073","1","49111","77","0","2021","A","","Gosper County, Nebraska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,46398,0,0,892,46398,"",4.55,0.49,0.57,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,12876,38.4,0,0.0,0,0.0,-213,-19.3,-11068,-19.3
"31073","1","491110","78","0","2021","A","","Gosper County, Nebraska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,46398,0,0,892,46398,"",4.55,0.49,0.57,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,12876,38.4,0,0.0,0,0.0,-213,-19.3,-11068,-19.3
