"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"32015","0","10","70","0","2021","A","","Lander County, Nevada","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",126,3540,286332339,91964242,1129546,1555,80877,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-3.8,43,1.2,20462055,7.7,3398310,3.8,81859,7.8,93,6.4,4853,6.4
"32015","1","10","71","0","2021","A","","Lander County, Nevada","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,76,5562559,0,0,1414,73514,"",7.07,1.07,0.73,0.00,0.00,0.69,0.69,"",0,0.0,-6,-7.3,-282925,-4.8,0,0.0,0,0.0,38,2.8,1937,2.7
"32015","1","102","72","0","2021","A","","Lander County, Nevada","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,76,5562559,0,0,1414,73514,"",7.09,1.09,0.75,0.00,0.00,0.69,0.69,"",0,0.0,-6,-7.3,-282925,-4.8,0,0.0,0,0.0,38,2.8,1937,2.7
"32015","1","1021","73","0","2021","A","","Lander County, Nevada","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,9,364609,0,0,809,42070,"",5.72,0.54,0.28,0.00,0.00,0.53,0.53,"",0,0.0,0,0.0,4510,1.3,0,0.0,0,0.0,32,4.1,1685,4.2
"32015","1","1028","73","0","2021","A","","Lander County, Nevada","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,67,5197950,0,0,1492,77581,"",10.24,1.71,1.12,0.00,0.00,0.65,0.65,"",0,0.0,-6,-8.2,-287435,-5.2,0,0.0,0,0.0,42,2.9,2181,2.9
"32015","1","48-49","74","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,9,364609,0,0,809,42070,"",5.89,0.59,0.30,0.00,0.00,0.52,0.52,"",0,0.0,0,0.0,4510,1.3,0,0.0,0,0.0,32,4.1,1685,4.2
"32015","1","491","75","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,364609,0,0,809,42070,"",5.92,0.60,0.31,0.00,0.00,0.53,0.53,"",0,0.0,0,0.0,4510,1.3,0,0.0,0,0.0,32,4.1,1685,4.2
"32015","1","4911","76","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,364609,0,0,809,42070,"",5.92,0.60,0.31,0.00,0.00,0.53,0.53,"",0,0.0,0,0.0,4510,1.3,0,0.0,0,0.0,32,4.1,1685,4.2
"32015","1","49111","77","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,364609,0,0,809,42070,"",5.92,0.60,0.31,0.00,0.00,0.53,0.53,"",0,0.0,0,0.0,4510,1.3,0,0.0,0,0.0,32,4.1,1685,4.2
"32015","1","491110","78","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,364609,0,0,809,42070,"",5.92,0.60,0.31,0.00,0.00,0.53,0.53,"",0,0.0,0,0.0,4510,1.3,0,0.0,0,0.0,32,4.1,1685,4.2
"32015","1","92","74","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,67,5197950,0,0,1492,77581,"",10.24,1.71,1.12,0.00,0.00,0.65,0.65,"",0,0.0,-6,-8.2,-287435,-5.2,0,0.0,0,0.0,42,2.9,2181,2.9
"32015","1","924","75","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,67,5197950,0,0,1492,77581,"",33.15,28.58,20.30,0.00,0.00,0.71,0.71,"",0,0.0,-5,-6.9,-271777,-5.0,0,0.0,0,0.0,23,1.6,1170,1.5
"32015","1","9241","76","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,67,5197950,0,0,1492,77581,"",33.15,28.58,20.30,0.00,0.00,0.71,0.71,"",0,0.0,-5,-6.9,-271777,-5.0,0,0.0,0,0.0,23,1.6,1170,1.5
"32015","1","92412","77","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,67,5197950,0,0,1492,77581,"",34.98,34.74,26.60,0.00,0.00,0.77,0.77,"",0,0.0,-5,-6.9,-271777,-5.0,0,0.0,0,0.0,23,1.6,1170,1.5
"32015","1","924120","78","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,67,5197950,0,0,1492,77581,"",34.98,34.74,26.60,0.00,0.00,0.77,0.77,"",0,0.0,-5,-6.9,-271777,-5.0,0,0.0,0,0.0,23,1.6,1170,1.5
"32015","1","926","75","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",8.53,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-15658,-100.0,0,0.0,0,0.0,-258,-100.0,-13421,-100.0
"32015","1","9261","76","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",8.53,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-15658,-100.0,0,0.0,0,0.0,-258,-100.0,-13421,-100.0
"32015","1","92611","77","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",18.72,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-15658,-100.0,0,0.0,0,0.0,-258,-100.0,-13421,-100.0
"32015","1","926110","78","0","2021","A","","Lander County, Nevada","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",18.72,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-15658,-100.0,0,0.0,0,0.0,-258,-100.0,-13421,-100.0
"32015","2","10","71","0","2021","A","","Lander County, Nevada","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,15,661242,0,0,848,44083,"",6.16,0.13,0.07,0.00,0.00,0.54,0.54,"",-1,-16.7,-1,-6.2,-74474,-10.1,0,0.0,0,0.0,-36,-4.1,-1899,-4.1
"32015","2","102","72","0","2021","A","","Lander County, Nevada","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,15,661242,0,0,848,44083,"",6.33,0.14,0.07,0.00,0.00,0.53,0.53,"",-1,-16.7,-1,-6.2,-74474,-10.1,0,0.0,0,0.0,-36,-4.1,-1899,-4.1
"32015","2","1025","73","0","2021","A","N","Lander County, Nevada","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","1028","73","0","2021","A","N","Lander County, Nevada","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",6.92,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","61","74","0","2021","A","N","Lander County, Nevada","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","611","75","0","2021","A","N","Lander County, Nevada","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","6112","76","0","2021","A","N","Lander County, Nevada","State Government","NAICS 6112 Junior colleges","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",102.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","61121","77","0","2021","A","N","Lander County, Nevada","State Government","NAICS 61121 Junior colleges","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",102.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","611210","78","0","2021","A","N","Lander County, Nevada","State Government","NAICS 611210 Junior colleges","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",102.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","92","74","0","2021","A","N","Lander County, Nevada","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",6.92,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","922","75","0","2021","A","N","Lander County, Nevada","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",12.18,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","9221","76","0","2021","A","N","Lander County, Nevada","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",12.18,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"32015","2","92212","77","0","2021","A","N","Lander County, Nevada","State Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",66.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
