"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37033","0","10","70","0","2021","A","","Caswell County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",286,2791,116433443,43462091,278437,802,41719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-2.7,-24,-0.9,4920794,4.4,6506523,17.6,41090,17.3,40,5.2,2108,5.3
"37033","1","10","71","0","2021","A","","Caswell County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,1858564,0,0,924,48066,"",4.99,0.70,0.60,0.00,0.00,0.87,0.87,"",0,0.0,-5,-11.4,-65445,-3.4,0,0.0,0,0.0,83,9.9,4339,9.9
"37033","1","102","72","0","2021","A","","Caswell County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,1858564,0,0,924,48066,"",5.00,0.71,0.61,0.00,0.00,0.87,0.87,"",0,0.0,-5,-11.4,-65445,-3.4,0,0.0,0,0.0,83,9.9,4339,9.9
"37033","1","1021","73","0","2021","A","","Caswell County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,35,1689739,0,0,935,48626,"",7.56,2.68,3.15,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.8,-13627,-0.8,0,0.0,0,0.0,19,2.1,979,2.1
"37033","1","1028","73","0","2021","A","","Caswell County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,4,168825,0,0,829,43104,"",3.01,0.13,0.09,0.00,0.00,0.70,0.70,"",0,0.0,-4,-50.0,-51818,-23.5,0,0.0,0,0.0,315,61.3,16359,61.2
"37033","1","48-49","74","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,35,1689739,0,0,935,48626,"",7.78,2.91,3.37,0.00,0.00,1.17,1.17,"",0,0.0,-1,-2.8,-13627,-0.8,0,0.0,0,0.0,19,2.1,979,2.1
"37033","1","491","75","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,35,1689739,0,0,935,48626,"",7.83,2.98,3.52,0.00,0.00,1.19,1.19,"",0,0.0,-1,-2.8,-13627,-0.8,0,0.0,0,0.0,19,2.1,979,2.1
"37033","1","4911","76","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,35,1689739,0,0,935,48626,"",7.83,2.98,3.52,0.00,0.00,1.19,1.19,"",0,0.0,-1,-2.8,-13627,-0.8,0,0.0,0,0.0,19,2.1,979,2.1
"37033","1","49111","77","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,35,1689739,0,0,935,48626,"",7.83,2.98,3.52,0.00,0.00,1.19,1.19,"",0,0.0,-1,-2.8,-13627,-0.8,0,0.0,0,0.0,19,2.1,979,2.1
"37033","1","491110","78","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,35,1689739,0,0,935,48626,"",7.83,2.98,3.52,0.00,0.00,1.19,1.19,"",0,0.0,-1,-2.8,-13627,-0.8,0,0.0,0,0.0,19,2.1,979,2.1
"37033","1","92","74","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,168825,0,0,829,43104,"",3.01,0.13,0.09,0.00,0.00,0.70,0.70,"",0,0.0,-4,-50.0,-51818,-23.5,0,0.0,0,0.0,315,61.3,16359,61.2
"37033","1","926","75","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,168825,0,0,829,43104,"",7.52,0.85,0.57,0.00,0.00,0.69,0.69,"",0,0.0,-4,-50.0,-51818,-23.5,0,0.0,0,0.0,315,61.3,16359,61.2
"37033","1","9261","76","0","2021","A","","Caswell County, North Carolina","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,168825,0,0,829,43104,"",7.52,0.85,0.57,0.00,0.00,0.69,0.69,"",0,0.0,-4,-50.0,-51818,-23.5,0,0.0,0,0.0,315,61.3,16359,61.2
