"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39055","0","10","70","0","2021","A","","Geauga County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3030,34593,1692123531,321822305,9525399,941,48915,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",53,1.8,826,2.4,119150239,7.6,15706313,5.1,1737725,22.3,45,5.0,2332,5.0
"39055","1","10","71","0","2021","A","","Geauga County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,92,5739377,0,0,1205,62668,"",0.59,0.13,0.13,0.00,0.00,0.97,0.97,"",-1,-9.1,-14,-13.2,-39891,-0.7,0,0.0,0,0.0,159,15.2,8275,15.2
"39055","1","102","72","0","2021","A","","Geauga County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,92,5739377,0,0,1205,62668,"",0.59,0.14,0.13,0.00,0.00,0.97,0.97,"",-1,-9.1,-14,-13.2,-39891,-0.7,0,0.0,0,0.0,159,15.2,8275,15.2
"39055","1","1021","73","0","2021","A","","Geauga County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,91,5738439,0,0,1207,62772,"",1.07,0.56,0.74,0.00,0.00,1.30,1.30,"",-1,-10.0,-6,-6.2,124011,2.2,0,0.0,0,0.0,88,7.9,4591,7.9
"39055","1","1028","73","0","2021","A","","Geauga County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,938,0,0,108,5628,"",0.14,0.00,0.00,0.00,0.00,0.08,0.08,"",0,0.0,-10,-100.0,-163902,-99.4,0,0.0,0,0.0,-217,-66.8,-11279,-66.7
"39055","1","48-49","74","0","2021","A","","Geauga County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,91,5738439,0,0,1207,62772,"",1.10,0.61,0.79,0.00,0.00,1.28,1.28,"",-1,-10.0,-6,-6.2,124011,2.2,0,0.0,0,0.0,88,7.9,4591,7.9
"39055","1","491","75","0","2021","A","","Geauga County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,91,5738439,0,0,1207,62772,"",1.11,0.62,0.82,0.00,0.00,1.31,1.31,"",-1,-10.0,-6,-6.2,124011,2.2,0,0.0,0,0.0,88,7.9,4591,7.9
"39055","1","4911","76","0","2021","A","","Geauga County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,91,5738439,0,0,1207,62772,"",1.11,0.62,0.82,0.00,0.00,1.31,1.31,"",-1,-10.0,-6,-6.2,124011,2.2,0,0.0,0,0.0,88,7.9,4591,7.9
"39055","1","49111","77","0","2021","A","","Geauga County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,91,5738439,0,0,1207,62772,"",1.11,0.62,0.82,0.00,0.00,1.31,1.31,"",-1,-10.0,-6,-6.2,124011,2.2,0,0.0,0,0.0,88,7.9,4591,7.9
"39055","1","491110","78","0","2021","A","","Geauga County, Ohio","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,91,5738439,0,0,1207,62772,"",1.11,0.62,0.82,0.00,0.00,1.31,1.31,"",-1,-10.0,-6,-6.2,124011,2.2,0,0.0,0,0.0,88,7.9,4591,7.9
