"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39093","0","10","70","0","2021","A","","Lorain County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6478,94304,4637969252,797307498,22259055,946,49181,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",159,2.5,2350,2.6,286582300,6.6,46326959,6.2,4213116,23.3,36,4.0,1860,3.9
"39093","1","10","71","0","2021","A","","Lorain County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1089,125365354,0,0,2213,115076,"",0.66,0.58,1.02,0.00,0.00,1.77,1.77,"",0,0.0,-27,-2.4,5861795,4.9,0,0.0,0,0.0,154,7.5,7986,7.5
"39093","1","102","72","0","2021","A","","Lorain County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,1089,125365354,0,0,2213,115076,"",0.66,0.59,1.04,0.00,0.00,1.77,1.77,"",0,0.0,-27,-2.4,5861795,4.9,0,0.0,0,0.0,154,7.5,7986,7.5
"39093","1","1021","73","0","2021","A","","Lorain County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,383,25860337,0,0,1297,67447,"",0.72,0.87,1.21,0.00,0.00,1.39,1.39,"",0,0.0,-3,-0.8,1266351,5.1,0,0.0,0,0.0,73,6.0,3773,5.9
"39093","1","1025","73","0","2021","A","","Lorain County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,89,8437611,0,0,1820,94627,"",1.21,0.32,0.46,0.00,0.00,1.46,1.46,"",0,0.0,6,7.2,708050,9.2,0,0.0,0,0.0,27,1.5,1406,1.5
"39093","1","1028","73","0","2021","A","","Lorain County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,617,91067406,0,0,2839,147637,"",0.66,0.59,1.21,0.00,0.00,2.04,2.04,"",0,0.0,-30,-4.6,3887394,4.5,0,0.0,0,0.0,247,9.5,12840,9.5
"39093","1","48-49","74","0","2021","A","","Lorain County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,383,25860337,0,0,1297,67447,"",0.74,0.94,1.30,0.00,0.00,1.37,1.37,"",0,0.0,-3,-0.8,1266351,5.1,0,0.0,0,0.0,73,6.0,3773,5.9
"39093","1","491","75","0","2021","A","","Lorain County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,383,25860337,0,0,1297,67447,"",0.75,0.96,1.35,0.00,0.00,1.40,1.40,"",0,0.0,-3,-0.8,1266351,5.1,0,0.0,0,0.0,73,6.0,3773,5.9
"39093","1","4911","76","0","2021","A","","Lorain County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,383,25860337,0,0,1297,67447,"",0.75,0.96,1.35,0.00,0.00,1.40,1.40,"",0,0.0,-3,-0.8,1266351,5.1,0,0.0,0,0.0,73,6.0,3773,5.9
"39093","1","49111","77","0","2021","A","","Lorain County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,383,25860337,0,0,1297,67447,"",0.75,0.96,1.35,0.00,0.00,1.40,1.40,"",0,0.0,-3,-0.8,1266351,5.1,0,0.0,0,0.0,73,6.0,3773,5.9
