"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39099","0","10","70","0","2021","A","","Mahoning County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6007,91747,4168473738,820172524,22567664,874,45434,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",109,1.8,1160,1.3,248036931,6.3,28013274,3.5,5335935,31.0,42,5.0,2156,5.0
"39099","1","10","71","0","2021","A","","Mahoning County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,1151,81888968,0,0,1368,71141,"",1.07,0.63,0.74,0.00,0.00,1.19,1.19,"",0,0.0,-30,-2.5,2277741,2.9,0,0.0,0,0.0,71,5.5,3721,5.5
"39099","1","102","72","0","2021","A","","Mahoning County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,1151,81888968,0,0,1368,71141,"",1.07,0.64,0.76,0.00,0.00,1.19,1.19,"",0,0.0,-30,-2.5,2277741,2.9,0,0.0,0,0.0,71,5.5,3721,5.5
"39099","1","1021","73","0","2021","A","","Mahoning County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,551,33074155,0,0,1154,60026,"",1.38,1.28,1.72,0.00,0.00,1.34,1.34,"",0,0.0,-4,-0.7,1162905,3.6,0,0.0,0,0.0,49,4.4,2563,4.5
"39099","1","1025","73","0","2021","A","","Mahoning County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,108,9836089,0,0,1746,90795,"",1.30,0.39,0.60,0.00,0.00,1.52,1.52,"",0,0.0,3,2.9,495903,5.3,0,0.0,0,0.0,34,2.0,1770,2.0
"39099","1","1028","73","0","2021","A","","Mahoning County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,492,38978724,0,0,1524,79265,"",0.86,0.49,0.58,0.00,0.00,1.19,1.19,"",0,0.0,-29,-5.6,618933,1.6,0,0.0,0,0.0,107,7.6,5579,7.6
"39099","1","48-49","74","0","2021","A","","Mahoning County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,551,33074155,0,0,1154,60026,"",1.42,1.40,1.84,0.00,0.00,1.32,1.32,"",0,0.0,-4,-0.7,1162905,3.6,0,0.0,0,0.0,49,4.4,2563,4.5
"39099","1","491","75","0","2021","A","","Mahoning County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,551,33074155,0,0,1154,60026,"",1.43,1.43,1.92,0.00,0.00,1.35,1.35,"",0,0.0,-4,-0.7,1162905,3.6,0,0.0,0,0.0,49,4.4,2563,4.5
"39099","1","4911","76","0","2021","A","","Mahoning County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,551,33074155,0,0,1154,60026,"",1.43,1.43,1.92,0.00,0.00,1.35,1.35,"",0,0.0,-4,-0.7,1162905,3.6,0,0.0,0,0.0,49,4.4,2563,4.5
"39099","1","49111","77","0","2021","A","","Mahoning County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",23,551,33074155,0,0,1154,60026,"",1.43,1.43,1.92,0.00,0.00,1.35,1.35,"",0,0.0,-4,-0.7,1162905,3.6,0,0.0,0,0.0,49,4.4,2563,4.5
