"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39113","0","10","70","0","2021","A","","Montgomery County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",12525,241329,13286916524,2002040666,45629679,1059,55057,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",262,2.1,1317,0.5,609523922,4.8,45188404,2.3,7098341,18.4,43,4.2,2237,4.2
"39113","1","10","71","0","2021","A","","Montgomery County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,4371,365876561,0,0,1610,83702,"",0.71,0.90,1.04,0.00,0.00,1.15,1.15,"",0,0.0,-16,-0.4,14793856,4.2,0,0.0,0,0.0,71,4.6,3668,4.6
"39113","1","102","72","0","2021","A","","Montgomery County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,4371,365876561,0,0,1610,83702,"",0.71,0.92,1.06,0.00,0.00,1.15,1.15,"",0,0.0,-16,-0.4,14793856,4.2,0,0.0,0,0.0,71,4.6,3668,4.6
"39113","1","1021","73","0","2021","A","","Montgomery County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,1100,78841721,0,0,1378,71674,"",0.60,0.97,1.29,0.00,0.00,1.32,1.32,"",0,0.0,-22,-2.0,4468599,6.0,0,0.0,0,0.0,103,8.1,5358,8.1
"39113","1","1024","73","0","2021","A","","Montgomery County, Ohio","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,30,2403440,0,0,1520,79017,"",0.60,0.26,0.27,0.00,0.00,1.03,1.03,"",0,0.0,3,11.1,213680,9.8,0,0.0,0,0.0,-35,-2.3,-1836,-2.3
"39113","1","1025","73","0","2021","A","","Montgomery County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,2329,204404482,0,0,1688,87752,"",1.25,3.23,3.91,0.00,0.00,1.21,1.21,"",0,0.0,17,0.7,3043570,1.5,0,0.0,0,0.0,13,0.8,668,0.8
"39113","1","1026","73","0","2021","A","","Montgomery County, Ohio","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,19,1156650,0,0,1181,61415,"",0.57,0.25,0.35,0.00,0.00,1.40,1.40,"",0,0.0,2,11.8,55496,5.0,0,0.0,0,0.0,-96,-7.5,-4986,-7.5
"39113","1","1027","73","0","2021","A","","Montgomery County, Ohio","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,18,1113665,0,0,1195,62158,"",5.51,2.25,2.92,0.00,0.00,1.31,1.31,"",0,0.0,3,20.0,156898,16.4,0,0.0,0,0.0,2,0.2,97,0.2
"39113","1","1028","73","0","2021","A","","Montgomery County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",24,875,77956603,0,0,1714,89127,"",0.82,0.33,0.36,0.00,0.00,1.10,1.10,"",0,0.0,-19,-2.1,6855613,9.6,0,0.0,0,0.0,184,12.0,9581,12.0
"39113","1","48-49","74","0","2021","A","","Montgomery County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,1100,78841721,0,0,1378,71674,"",0.62,1.06,1.38,0.00,0.00,1.30,1.30,"",0,0.0,-22,-2.0,4468599,6.0,0,0.0,0,0.0,103,8.1,5358,8.1
"39113","1","488","75","0","2021","A","","Montgomery County, Ohio","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,34,3560203,0,0,2009,104456,"",5.51,1.78,1.57,0.00,0.00,0.88,0.88,"",0,0.0,-3,-8.1,-149782,-4.0,0,0.0,0,0.0,72,3.7,3732,3.7
