"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41003","0","10","70","0","2021","A","","Benton County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3044,36287,2254302807,746328644,15662633,1195,62125,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",137,4.7,660,1.9,185742561,9.0,58528678,8.5,5153536,49.0,78,7.0,4063,7.0
"41003","1","10","71","0","2021","A","","Benton County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,483,39653811,0,0,1579,82127,"",0.94,0.66,0.66,0.00,0.00,1.00,1.00,"",0,0.0,-14,-2.8,648739,1.7,0,0.0,0,0.0,69,4.6,3593,4.6
"41003","1","101","72","0","2021","A","","Benton County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",57.34,9.99,11.11,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","1011","73","0","2021","A","","Benton County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",96.86,145.80,180.86,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","102","72","0","2021","A","","Benton County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,346,27354844,0,0,1519,78965,"",0.82,0.48,0.47,0.00,0.00,0.96,0.96,"",0,0.0,-14,-3.9,565477,2.1,0,0.0,0,0.0,89,6.2,4619,6.2
"41003","1","1021","73","0","2021","A","","Benton County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,104,6119208,0,0,1127,58604,"",0.59,0.61,0.59,0.00,0.00,0.96,0.96,"",0,0.0,-4,-3.7,174894,2.9,0,0.0,0,0.0,69,6.5,3606,6.6
"41003","1","1024","73","0","2021","A","","Benton County, Oregon","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,239981,0,0,3077,159987,"",2.46,0.11,0.16,0.00,0.00,1.85,1.85,"",0,0.0,1,100.0,86599,56.5,0,0.0,0,0.0,127,4.3,6605,4.3
"41003","1","1028","73","0","2021","A","","Benton County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,241,20995655,0,0,1679,87300,"",1.13,0.60,0.57,0.00,0.00,0.96,0.96,"",0,0.0,-10,-4.0,303984,1.5,0,0.0,0,0.0,95,6.0,4945,6.0
"41003","1","11","74","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",96.86,145.80,180.86,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","113","75","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",100.95,146.75,181.89,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","1131","76","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",100.95,146.75,181.89,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","11311","77","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 11311 Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",100.95,146.75,181.89,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","113110","78","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 113110 Timber tract operations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,136,12298967,0,0,1734,90157,"",100.95,146.75,181.89,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,83262,0.7,0,0.0,0,0.0,11,0.6,555,0.6
"41003","1","48-49","74","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,104,6119208,0,0,1127,58604,"",0.61,0.67,0.63,0.00,0.00,0.94,0.94,"",0,0.0,-4,-3.7,174894,2.9,0,0.0,0,0.0,69,6.5,3606,6.6
"41003","1","491","75","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,104,6119208,0,0,1127,58604,"",0.61,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,-4,-3.7,174894,2.9,0,0.0,0,0.0,69,6.5,3606,6.6
"41003","1","4911","76","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,104,6119208,0,0,1127,58604,"",0.61,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,-4,-3.7,174894,2.9,0,0.0,0,0.0,69,6.5,3606,6.6
"41003","1","49111","77","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,104,6119208,0,0,1127,58604,"",0.61,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,-4,-3.7,174894,2.9,0,0.0,0,0.0,69,6.5,3606,6.6
"41003","1","491110","78","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,104,6119208,0,0,1127,58604,"",0.61,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,-4,-3.7,174894,2.9,0,0.0,0,0.0,69,6.5,3606,6.6
"41003","1","54","74","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,239981,0,0,3077,159987,"",2.75,0.12,0.16,0.00,0.00,1.83,1.83,"",0,0.0,1,100.0,86599,56.5,0,0.0,0,0.0,127,4.3,6605,4.3
"41003","1","541","75","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,239981,0,0,3077,159987,"",2.75,0.12,0.16,0.00,0.00,1.83,1.83,"",0,0.0,1,100.0,86599,56.5,0,0.0,0,0.0,127,4.3,6605,4.3
"41003","1","5419","76","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 5419 Other professional and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,239981,0,0,3077,159987,"",22.40,1.65,2.05,0.00,0.00,1.65,1.66,"",0,0.0,1,100.0,86599,56.5,0,0.0,0,0.0,127,4.3,6605,4.3
"41003","1","54199","77","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 54199 All other professional and technical services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,239981,0,0,3077,159987,"",22.68,1.82,2.11,0.00,0.00,1.54,1.54,"",0,0.0,1,100.0,86599,56.5,0,0.0,0,0.0,127,4.3,6605,4.3
"41003","1","541990","78","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 541990 All other professional and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,239981,0,0,3077,159987,"",22.68,1.82,2.11,0.00,0.00,1.54,1.54,"",0,0.0,1,100.0,86599,56.5,0,0.0,0,0.0,127,4.3,6605,4.3
"41003","1","92","74","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,241,20995655,0,0,1679,87300,"",1.13,0.60,0.57,0.00,0.00,0.96,0.96,"",0,0.0,-10,-4.0,303984,1.5,0,0.0,0,0.0,95,6.0,4945,6.0
"41003","1","922","75","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,99039,0,0,1905,99039,"",1.08,0.01,0.01,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,-13397,-11.9,0,0.0,0,0.0,-257,-11.9,-13397,-11.9
"41003","1","9221","76","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,99039,0,0,1905,99039,"",1.08,0.01,0.01,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,-13397,-11.9,0,0.0,0,0.0,-257,-11.9,-13397,-11.9
"41003","1","92219","77","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 92219 Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,99039,0,0,1905,99039,"",6.21,0.14,0.14,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-13397,-11.9,0,0.0,0,0.0,-257,-11.9,-13397,-11.9
"41003","1","922190","78","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 922190 Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,99039,0,0,1905,99039,"",6.21,0.14,0.14,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-13397,-11.9,0,0.0,0,0.0,-257,-11.9,-13397,-11.9
"41003","1","924","75","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,128,13166540,0,0,1977,102797,"",2.74,5.33,6.53,0.00,0.00,1.22,1.23,"",0,0.0,0,0.0,103667,0.8,0,0.0,0,0.0,9,0.5,477,0.5
"41003","1","9241","76","0","2021","A","","Benton County, Oregon","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,128,13166540,0,0,1977,102797,"",2.74,5.33,6.53,0.00,0.00,1.22,1.23,"",0,0.0,0,0.0,103667,0.8,0,0.0,0,0.0,9,0.5,477,0.5
