"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42045","0","10","70","0","2021","A","","Delaware County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14155,212170,14461998599,2064309445,67541185,1311,68162,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",76,0.5,5063,2.4,862875773,6.3,90063591,4.6,-67970,-0.1,48,3.8,2500,3.8
"42045","1","10","71","0","2021","A","","Delaware County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",59,1842,171220971,0,0,1788,92962,"",0.74,0.43,0.45,0.00,0.00,1.03,1.03,"",0,0.0,-140,-7.1,-4291894,-2.4,0,0.0,0,0.0,85,5.0,4401,5.0
"42045","1","102","72","0","2021","A","","Delaware County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",59,1842,171220971,0,0,1788,92962,"",0.74,0.44,0.46,0.00,0.00,1.03,1.03,"",0,0.0,-140,-7.1,-4291894,-2.4,0,0.0,0,0.0,85,5.0,4401,5.0
"42045","1","1021","73","0","2021","A","","Delaware County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",34,862,75727881,0,0,1690,87894,"",0.87,0.87,1.14,0.00,0.00,1.31,1.31,"",0,0.0,-23,-2.6,-1221988,-1.6,0,0.0,0,0.0,19,1.1,986,1.1
"42045","1","1024","73","0","2021","A","","Delaware County, Pennsylvania","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,132799,0,0,2554,132799,"",0.53,0.01,0.01,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,1715,1.3,0,0.0,0,0.0,33,1.3,1715,1.3
"42045","1","1028","73","0","2021","A","","Delaware County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",24,979,95360291,0,0,1873,97381,"",0.73,0.42,0.41,0.00,0.00,0.97,0.97,"",0,0.0,-116,-10.6,-3071621,-3.1,0,0.0,0,0.0,145,8.4,7523,8.4
"42045","1","48-49","74","0","2021","A","","Delaware County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",34,862,75727881,0,0,1690,87894,"",0.89,0.94,1.22,0.00,0.00,1.29,1.29,"",0,0.0,-23,-2.6,-1221988,-1.6,0,0.0,0,0.0,19,1.1,986,1.1
"42045","1","488","75","0","2021","A","","Delaware County, Pennsylvania","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,105,19605216,0,0,3608,187610,"",4.88,6.24,7.96,0.00,0.00,1.28,1.28,"",0,0.0,3,2.9,862558,4.6,0,0.0,0,0.0,66,1.9,3407,1.8
"42045","1","4881","76","0","2021","A","","Delaware County, Pennsylvania","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,105,19605216,0,0,3608,187610,"",4.88,6.24,7.96,0.00,0.00,1.28,1.28,"",0,0.0,3,2.9,862558,4.6,0,0.0,0,0.0,66,1.9,3407,1.8
"42045","1","48811","77","0","2021","A","","Delaware County, Pennsylvania","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,105,19605216,0,0,3608,187610,"",4.88,6.24,7.96,0.00,0.00,1.28,1.28,"",0,0.0,3,2.9,862558,4.6,0,0.0,0,0.0,66,1.9,3407,1.8
