"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42079","0","10","70","0","2021","A","","Luzerne County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7408,137812,7063515139,1373167229,51294503,986,51255,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.1,2255,1.7,503605028,7.7,75359205,5.8,1185596,2.4,55,5.9,2863,5.9
"42079","1","10","71","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",52,3385,245915037,0,0,1397,72650,"",1.25,1.22,1.32,0.00,0.00,1.07,1.07,"",-1,-1.9,-45,-1.3,6265190,2.6,0,0.0,0,0.0,54,4.0,2788,4.0
"42079","1","102","72","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",52,3385,245915037,0,0,1397,72650,"",1.25,1.25,1.34,0.00,0.00,1.07,1.07,"",-1,-1.9,-45,-1.3,6265190,2.6,0,0.0,0,0.0,54,4.0,2788,4.0
"42079","1","1021","73","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",32,650,49052342,0,0,1451,75475,"",1.56,1.01,1.51,0.00,0.00,1.49,1.49,"",-1,-3.0,-9,-1.4,2578240,5.5,0,0.0,0,0.0,94,6.9,4917,7.0
"42079","1","1022","73","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1229,75976126,0,0,1189,61832,"",10.91,195.73,185.07,0.00,0.00,0.95,0.95,"",0,0.0,-20,-1.6,-71458,-0.1,0,0.0,0,0.0,18,1.5,961,1.6
"42079","1","1024","73","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,142280,0,0,912,47427,"",1.01,0.05,0.03,0.00,0.00,0.67,0.67,"",0,0.0,-1,-25.0,-41861,-22.7,0,0.0,0,0.0,79,9.5,4100,9.5
"42079","1","1025","73","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1330,107946413,0,0,1560,81142,"",1.05,3.23,3.88,0.00,0.00,1.20,1.20,"",0,0.0,36,2.8,4657251,4.5,0,0.0,0,0.0,24,1.6,1290,1.6
"42079","1","1028","73","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,173,12797876,0,0,1423,74012,"",0.99,0.11,0.11,0.00,0.00,0.98,0.98,"",0,0.0,-52,-23.1,-856982,-6.3,0,0.0,0,0.0,254,21.7,13211,21.7
"42079","1","48-49","74","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",32,650,49052342,0,0,1451,75475,"",1.60,1.10,1.61,0.00,0.00,1.47,1.47,"",-1,-3.0,-9,-1.4,2578240,5.5,0,0.0,0,0.0,94,6.9,4917,7.0
"42079","1","488","75","0","2021","A","","Luzerne County, Pennsylvania","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,44,4142156,0,0,1824,94859,"",9.32,4.03,3.45,0.00,0.00,0.86,0.86,"",0,0.0,1,2.3,190316,4.8,0,0.0,0,0.0,60,3.4,3134,3.4
