"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45021","0","10","70","0","2021","A","","Cherokee County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",902,20211,802809782,272699042,2387860,764,39722,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,0.8,701,3.6,44987769,5.9,15959663,6.2,277757,13.2,17,2.3,879,2.3
"45021","1","10","71","0","2021","A","","Cherokee County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,92,6113525,0,0,1284,66754,"",0.99,0.23,0.29,0.00,0.00,1.27,1.27,"",0,0.0,-8,-8.0,193195,3.3,0,0.0,0,0.0,145,12.7,7551,12.8
"45021","1","102","72","0","2021","A","","Cherokee County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,92,6113525,0,0,1284,66754,"",0.99,0.23,0.29,0.00,0.00,1.27,1.27,"",0,0.0,-8,-8.0,193195,3.3,0,0.0,0,0.0,145,12.7,7551,12.8
"45021","1","1021","73","0","2021","A","","Cherokee County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,68,4355249,0,0,1232,64048,"",0.80,0.72,1.18,0.00,0.00,1.64,1.64,"",0,0.0,-1,-1.4,195709,4.7,0,0.0,0,0.0,78,6.8,4055,6.8
"45021","1","1026","73","0","2021","A","","Cherokee County, South Carolina","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,657023,0,0,998,51870,"",7.98,2.07,3.29,0.00,0.00,1.63,1.63,"",0,0.0,3,30.0,125050,23.5,0,0.0,0,0.0,-79,-7.3,-4127,-7.4
"45021","1","1028","73","0","2021","A","","Cherokee County, South Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,11,1101253,0,0,1940,100878,"",0.95,0.05,0.08,0.00,0.00,1.73,1.73,"",0,0.0,-10,-47.6,-127564,-10.4,0,0.0,0,0.0,824,73.8,42824,73.8
"45021","1","48-49","74","0","2021","A","","Cherokee County, South Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,68,4355249,0,0,1232,64048,"",0.82,0.78,1.26,0.00,0.00,1.61,1.61,"",0,0.0,-1,-1.4,195709,4.7,0,0.0,0,0.0,78,6.8,4055,6.8
"45021","1","491","75","0","2021","A","","Cherokee County, South Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,68,4355249,0,0,1232,64048,"",0.83,0.80,1.31,0.00,0.00,1.65,1.65,"",0,0.0,-1,-1.4,195709,4.7,0,0.0,0,0.0,78,6.8,4055,6.8
"45021","1","4911","76","0","2021","A","","Cherokee County, South Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,68,4355249,0,0,1232,64048,"",0.83,0.80,1.31,0.00,0.00,1.65,1.65,"",0,0.0,-1,-1.4,195709,4.7,0,0.0,0,0.0,78,6.8,4055,6.8
"45021","1","49111","77","0","2021","A","","Cherokee County, South Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,68,4355249,0,0,1232,64048,"",0.83,0.80,1.31,0.00,0.00,1.65,1.65,"",0,0.0,-1,-1.4,195709,4.7,0,0.0,0,0.0,78,6.8,4055,6.8
