"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45075","0","10","70","0","2021","A","","Orangeburg County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1726,27289,1199565907,311128797,3784682,845,43959,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,1.2,48,0.2,40011353,3.5,17380957,5.9,630965,20.0,26,3.2,1392,3.3
"45075","1","10","71","0","2021","A","","Orangeburg County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,237,14885970,0,0,1210,62943,"",2.58,0.43,0.47,0.00,0.00,1.09,1.09,"",0,0.0,-20,-7.8,51444,0.3,0,0.0,0,0.0,99,8.9,5146,8.9
"45075","1","102","72","0","2021","A","","Orangeburg County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,237,14885970,0,0,1210,62943,"",2.59,0.44,0.48,0.00,0.00,1.08,1.09,"",0,0.0,-20,-7.8,51444,0.3,0,0.0,0,0.0,99,8.9,5146,8.9
"45075","1","1021","73","0","2021","A","","Orangeburg County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,138,7726463,0,0,1080,56158,"",3.13,1.08,1.40,0.00,0.00,1.30,1.30,"",0,0.0,2,1.5,240085,3.2,0,0.0,0,0.0,20,1.9,1044,1.9
"45075","1","1023","73","0","2021","A","","Orangeburg County, South Carolina","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,445268,0,0,1427,74211,"",8.24,2.55,2.30,0.00,0.00,0.90,0.90,"",0,0.0,0,0.0,61808,16.1,0,0.0,0,0.0,198,16.1,10301,16.1
"45075","1","1025","73","0","2021","A","","Orangeburg County, South Carolina","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,31,2640471,0,0,1629,84721,"",4.53,0.38,0.56,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,-92851,-3.4,0,0.0,0,0.0,-76,-4.5,-3927,-4.4
"45075","1","1028","73","0","2021","A","","Orangeburg County, South Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,62,4073768,0,0,1269,65972,"",1.99,0.21,0.21,0.00,0.00,1.02,1.02,"",0,0.0,-22,-26.2,-157598,-3.7,0,0.0,0,0.0,300,31.0,15599,31.0
"45075","1","48-49","74","0","2021","A","","Orangeburg County, South Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,138,7726463,0,0,1080,56158,"",3.22,1.17,1.50,0.00,0.00,1.28,1.28,"",0,0.0,2,1.5,240085,3.2,0,0.0,0,0.0,20,1.9,1044,1.9
"45075","1","491","75","0","2021","A","","Orangeburg County, South Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,138,7726463,0,0,1080,56158,"",3.24,1.20,1.56,0.00,0.00,1.31,1.30,"",0,0.0,2,1.5,240085,3.2,0,0.0,0,0.0,20,1.9,1044,1.9
"45075","1","4911","76","0","2021","A","","Orangeburg County, South Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,138,7726463,0,0,1080,56158,"",3.24,1.20,1.56,0.00,0.00,1.31,1.30,"",0,0.0,2,1.5,240085,3.2,0,0.0,0,0.0,20,1.9,1044,1.9
"45075","1","49111","77","0","2021","A","","Orangeburg County, South Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,138,7726463,0,0,1080,56158,"",3.24,1.20,1.56,0.00,0.00,1.31,1.30,"",0,0.0,2,1.5,240085,3.2,0,0.0,0,0.0,20,1.9,1044,1.9
