"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45083","0","10","70","0","2021","A","","Spartanburg County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7069,147039,7637992561,1924707920,16312914,999,51945,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",166,2.4,2586,1.8,470147280,6.6,73992455,4.0,1832806,12.7,45,4.7,2324,4.7
"45083","1","10","71","0","2021","A","","Spartanburg County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,588,40262650,0,0,1318,68532,"",1.16,0.20,0.20,0.00,0.00,1.00,1.00,"",0,0.0,-37,-5.9,24853,0.1,0,0.0,0,0.0,81,6.5,4186,6.5
"45083","1","102","72","0","2021","A","","Spartanburg County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,588,40262650,0,0,1318,68532,"",1.16,0.20,0.20,0.00,0.00,1.00,1.00,"",0,0.0,-37,-5.9,24853,0.1,0,0.0,0,0.0,81,6.5,4186,6.5
"45083","1","1021","73","0","2021","A","","Spartanburg County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,411,25246711,0,0,1182,61465,"",1.58,0.60,0.72,0.00,0.00,1.20,1.20,"",0,0.0,-1,-0.2,839606,3.4,0,0.0,0,0.0,43,3.8,2236,3.8
"45083","1","1023","73","0","2021","A","","Spartanburg County, South Carolina","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,497880,0,0,1473,76597,"",2.01,0.55,0.40,0.00,0.00,0.79,0.79,"",0,0.0,1,16.7,44772,9.9,0,0.0,0,0.0,79,5.7,4100,5.7
"45083","1","1025","73","0","2021","A","","Spartanburg County, South Carolina","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,33,3092841,0,0,1807,93960,"",1.11,0.08,0.10,0.00,0.00,1.37,1.37,"",0,0.0,0,0.0,-105361,-3.3,0,0.0,0,0.0,-57,-3.1,-2955,-3.0
"45083","1","1028","73","0","2021","A","","Spartanburg County, South Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,137,11425218,0,0,1600,83193,"",0.79,0.08,0.09,0.00,0.00,1.09,1.09,"",0,0.0,-37,-21.3,-754164,-6.2,0,0.0,0,0.0,254,18.9,13197,18.9
"45083","1","48-49","74","0","2021","A","","Spartanburg County, South Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",31,411,25246711,0,0,1182,61465,"",1.63,0.65,0.77,0.00,0.00,1.18,1.18,"",0,0.0,-1,-0.2,839606,3.4,0,0.0,0,0.0,43,3.8,2236,3.8
"45083","1","491","75","0","2021","A","","Spartanburg County, South Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",31,411,25246711,0,0,1182,61465,"",1.64,0.66,0.80,0.00,0.00,1.21,1.21,"",0,0.0,-1,-0.2,839606,3.4,0,0.0,0,0.0,43,3.8,2236,3.8
"45083","1","4911","76","0","2021","A","","Spartanburg County, South Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",31,411,25246711,0,0,1182,61465,"",1.64,0.66,0.80,0.00,0.00,1.21,1.21,"",0,0.0,-1,-0.2,839606,3.4,0,0.0,0,0.0,43,3.8,2236,3.8
