"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46033","0","10","70","0","2021","A","","Custer County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",391,2516,102821347,29100142,252705,786,40874,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,5.7,288,12.9,15470288,17.7,5618655,23.9,98230,63.6,32,4.2,1666,4.2
"46033","1","10","71","0","2021","A","","Custer County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,150,11215851,0,0,1441,74939,"",3.65,2.97,4.12,0.00,0.00,1.39,1.39,"",0,0.0,-2,-1.3,355284,3.3,0,0.0,0,0.0,71,5.2,3683,5.2
"46033","1","102","72","0","2021","A","","Custer County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,150,11215851,0,0,1441,74939,"",3.65,3.03,4.20,0.00,0.00,1.39,1.39,"",0,0.0,-2,-1.3,355284,3.3,0,0.0,0,0.0,71,5.2,3683,5.2
"46033","1","1021","73","0","2021","A","","Custer County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,13,736907,0,0,1063,55268,"",4.61,1.10,1.55,0.00,0.00,1.37,1.37,"",0,0.0,-1,-7.1,83392,12.8,0,0.0,0,0.0,132,14.2,6859,14.2
"46033","1","1026","73","0","2021","A","","Custer County, South Dakota","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,20,1485908,0,0,1405,73077,"",18.42,25.52,58.06,0.00,0.00,2.24,2.24,"",0,0.0,0,0.0,182125,14.0,0,0.0,0,0.0,135,10.6,7063,10.7
"46033","1","1028","73","0","2021","A","","Custer County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,116,8993036,0,0,1491,77526,"",2.20,4.17,5.38,0.00,0.00,1.29,1.29,"",0,0.0,-3,-2.5,89767,1.0,0,0.0,0,0.0,54,3.8,2813,3.8
"46033","1","48-49","74","0","2021","A","","Custer County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,13,736907,0,0,1063,55268,"",4.74,1.20,1.67,0.00,0.00,1.35,1.35,"",0,0.0,-1,-7.1,83392,12.8,0,0.0,0,0.0,132,14.2,6859,14.2
"46033","1","491","75","0","2021","A","","Custer County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,13,736907,0,0,1063,55268,"",4.77,1.23,1.74,0.00,0.00,1.38,1.38,"",0,0.0,-1,-7.1,83392,12.8,0,0.0,0,0.0,132,14.2,6859,14.2
"46033","1","4911","76","0","2021","A","","Custer County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,13,736907,0,0,1063,55268,"",4.77,1.23,1.74,0.00,0.00,1.38,1.38,"",0,0.0,-1,-7.1,83392,12.8,0,0.0,0,0.0,132,14.2,6859,14.2
"46033","1","49111","77","0","2021","A","","Custer County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,13,736907,0,0,1063,55268,"",4.77,1.23,1.74,0.00,0.00,1.38,1.38,"",0,0.0,-1,-7.1,83392,12.8,0,0.0,0,0.0,132,14.2,6859,14.2
