"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46053","0","10","70","0","2021","A","","Gregory County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",234,1517,55285083,15089067,80952,701,36444,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,50,3.4,2280939,4.3,699841,4.9,-6480,-7.4,6,0.9,305,0.8
"46053","1","10","71","0","2021","A","","Gregory County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,29,1353165,0,0,890,46262,"",6.09,0.95,0.93,0.00,0.00,0.96,0.96,"",0,0.0,-2,-6.5,8644,0.6,0,0.0,0,0.0,51,6.1,2656,6.1
"46053","1","102","72","0","2021","A","","Gregory County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,29,1353165,0,0,890,46262,"",6.11,0.97,0.94,0.00,0.00,0.96,0.96,"",0,0.0,-2,-6.5,8644,0.6,0,0.0,0,0.0,51,6.1,2656,6.1
"46053","1","1021","73","0","2021","A","","Gregory County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,887493,0,0,816,42430,"",7.70,2.96,3.48,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,16513,1.9,0,0.0,0,0.0,22,2.8,1119,2.7
"46053","1","1028","73","0","2021","A","","Gregory County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,465672,0,0,1075,55881,"",5.51,0.48,0.52,0.00,0.00,1.04,1.04,"",0,0.0,-2,-20.0,-7869,-1.7,0,0.0,0,0.0,141,15.1,7313,15.1
"46053","1","48-49","74","0","2021","A","","Gregory County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,887493,0,0,816,42430,"",7.92,3.22,3.73,0.00,0.00,1.16,1.17,"",0,0.0,0,0.0,16513,1.9,0,0.0,0,0.0,22,2.8,1119,2.7
"46053","1","491","75","0","2021","A","","Gregory County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,21,887493,0,0,816,42430,"",7.97,3.29,3.89,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,16513,1.9,0,0.0,0,0.0,22,2.8,1119,2.7
"46053","1","4911","76","0","2021","A","","Gregory County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,21,887493,0,0,816,42430,"",7.97,3.29,3.89,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,16513,1.9,0,0.0,0,0.0,22,2.8,1119,2.7
"46053","1","49111","77","0","2021","A","","Gregory County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,21,887493,0,0,816,42430,"",7.97,3.29,3.89,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,16513,1.9,0,0.0,0,0.0,22,2.8,1119,2.7
"46053","1","491110","78","0","2021","A","","Gregory County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,21,887493,0,0,816,42430,"",7.97,3.29,3.89,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,16513,1.9,0,0.0,0,0.0,22,2.8,1119,2.7
