"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46071","0","10","70","0","2021","A","","Jackson County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",85,669,24579022,4311377,55033,707,36767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.2,7,1.1,2349189,10.6,209328,5.1,12919,30.7,61,9.4,3191,9.5
"46071","1","10","71","0","2021","A","","Jackson County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,101,6617834,0,0,1260,65523,"",14.68,7.53,10.18,0.00,0.00,1.35,1.35,"",0,0.0,8,8.6,581268,9.6,0,0.0,0,0.0,12,1.0,614,0.9
"46071","1","102","72","0","2021","A","","Jackson County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,101,6617834,0,0,1260,65523,"",14.71,7.67,10.37,0.00,0.00,1.35,1.35,"",0,0.0,8,8.6,581268,9.6,0,0.0,0,0.0,12,1.0,614,0.9
"46071","1","1021","73","0","2021","A","","Jackson County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,5,212672,0,0,818,42534,"",12.72,1.60,1.88,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,8019,3.9,0,0.0,0,0.0,31,3.9,1603,3.9
"46071","1","1026","73","0","2021","A","","Jackson County, South Dakota","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,55,3216896,0,0,1123,58401,"",84.71,263.94,525.82,0.00,0.00,1.99,1.99,"",0,0.0,-1,-1.8,-100423,-3.0,0,0.0,0,0.0,-20,-1.7,-1014,-1.7
"46071","1","1028","73","0","2021","A","","Jackson County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,41,3188266,0,0,1498,77921,"",15.17,5.54,7.98,0.00,0.00,1.44,1.44,"",0,0.0,9,28.1,673672,26.8,0,0.0,0,0.0,-5,-0.3,-253,-0.3
"46071","1","48-49","74","0","2021","A","","Jackson County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,5,212672,0,0,818,42534,"",13.09,1.74,2.01,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,8019,3.9,0,0.0,0,0.0,31,3.9,1603,3.9
"46071","1","491","75","0","2021","A","","Jackson County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,212672,0,0,818,42534,"",13.17,1.77,2.10,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,8019,3.9,0,0.0,0,0.0,31,3.9,1603,3.9
"46071","1","4911","76","0","2021","A","","Jackson County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,5,212672,0,0,818,42534,"",13.17,1.77,2.10,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,8019,3.9,0,0.0,0,0.0,31,3.9,1603,3.9
"46071","1","49111","77","0","2021","A","","Jackson County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,5,212672,0,0,818,42534,"",13.17,1.77,2.10,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,8019,3.9,0,0.0,0,0.0,31,3.9,1603,3.9
