"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46099","0","10","70","0","2021","A","","Minnehaha County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8567,128421,7392760830,1553081135,8234611,1107,57566,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",636,8.0,3521,2.8,484260226,7.0,91429696,6.3,1364677,19.9,43,4.0,2254,4.1
"46099","1","10","71","0","2021","A","","Minnehaha County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",52,2633,206197378,0,0,1506,78320,"",1.08,1.02,1.05,0.00,0.00,1.03,1.03,"",0,0.0,-61,-2.3,888889,0.4,0,0.0,0,0.0,41,2.8,2120,2.8
"46099","1","102","72","0","2021","A","","Minnehaha County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",52,2633,206197378,0,0,1506,78320,"",1.08,1.04,1.07,0.00,0.00,1.03,1.03,"",0,0.0,-61,-2.3,888889,0.4,0,0.0,0,0.0,41,2.8,2120,2.8
"46099","1","1021","73","0","2021","A","","Minnehaha County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,650,43195791,0,0,1277,66412,"",0.67,1.08,1.27,0.00,0.00,1.17,1.17,"",1,6.7,2,0.3,379346,0.9,0,0.0,0,0.0,6,0.5,346,0.5
"46099","1","1023","73","0","2021","A","","Minnehaha County, South Dakota","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,45,5018516,0,0,2133,110906,"",4.98,4.07,4.21,0.00,0.00,1.03,1.03,"",0,0.0,2,4.7,264265,5.6,0,0.0,0,0.0,3,0.1,127,0.1
"46099","1","1024","73","0","2021","A","","Minnehaha County, South Dakota","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,2384409,0,0,1958,101825,"",0.87,0.37,0.48,0.00,0.00,1.27,1.27,"",0,0.0,-1,-4.2,-22836,-0.9,0,0.0,0,0.0,22,1.1,1174,1.2
"46099","1","1025","73","0","2021","A","","Minnehaha County, South Dakota","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,1191,92862158,0,0,1499,77964,"",1.82,3.11,3.19,0.00,0.00,1.03,1.03,"",0,0.0,19,1.6,3475829,3.9,0,0.0,0,0.0,32,2.2,1680,2.2
"46099","1","1028","73","0","2021","A","","Minnehaha County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,723,62736504,0,0,1670,86823,"",1.51,0.51,0.52,0.00,0.00,1.03,1.03,"",-1,-3.2,-85,-10.5,-3207715,-4.9,0,0.0,0,0.0,100,6.4,5175,6.3
"46099","1","48-49","74","0","2021","A","","Minnehaha County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,650,43195791,0,0,1277,66412,"",0.69,1.18,1.36,0.00,0.00,1.15,1.15,"",1,6.7,2,0.3,379346,0.9,0,0.0,0,0.0,6,0.5,346,0.5
"46099","1","491","75","0","2021","A","","Minnehaha County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,650,43195791,0,0,1277,66412,"",0.70,1.20,1.42,0.00,0.00,1.18,1.18,"",1,6.7,2,0.3,379346,0.9,0,0.0,0,0.0,6,0.5,346,0.5
