"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46101","0","10","70","0","2021","A","","Moody County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",208,2383,106811256,32032469,415355,862,44825,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,77,3.3,7292764,7.3,1549564,5.1,-583,-0.1,32,3.9,1661,3.8
"46101","1","10","71","0","2021","A","","Moody County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,87,4876001,0,0,1075,55885,"",6.86,1.82,1.73,0.00,0.00,0.95,0.94,"",0,0.0,-3,-3.3,88594,1.9,0,0.0,0,0.0,48,4.7,2494,4.7
"46101","1","102","72","0","2021","A","","Moody County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,87,4876001,0,0,1075,55885,"",6.87,1.86,1.76,0.00,0.00,0.94,0.94,"",0,0.0,-3,-3.3,88594,1.9,0,0.0,0,0.0,48,4.7,2494,4.7
"46101","1","1021","73","0","2021","A","","Moody County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,15,770693,0,0,972,50537,"",5.20,1.35,1.56,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,57538,8.1,0,0.0,0,0.0,37,4.0,1913,3.9
"46101","1","1025","73","0","2021","A","","Moody County, South Dakota","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,63,3602606,0,0,1094,56883,"",37.57,8.86,8.57,0.00,0.00,0.96,0.96,"",0,0.0,-2,-3.1,87416,2.5,0,0.0,0,0.0,51,4.9,2664,4.9
"46101","1","1028","73","0","2021","A","","Moody County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,502702,0,0,1115,58004,"",8.27,0.34,0.29,0.00,0.00,0.88,0.88,"",0,0.0,-1,-10.0,-56360,-10.1,0,0.0,0,0.0,58,5.5,3014,5.5
"46101","1","48-49","74","0","2021","A","","Moody County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,770693,0,0,972,50537,"",5.35,1.46,1.68,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,57538,8.1,0,0.0,0,0.0,37,4.0,1913,3.9
"46101","1","491","75","0","2021","A","","Moody County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,15,770693,0,0,972,50537,"",5.38,1.49,1.75,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,57538,8.1,0,0.0,0,0.0,37,4.0,1913,3.9
"46101","1","4911","76","0","2021","A","","Moody County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,15,770693,0,0,972,50537,"",5.38,1.49,1.75,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,57538,8.1,0,0.0,0,0.0,37,4.0,1913,3.9
"46101","1","49111","77","0","2021","A","","Moody County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,15,770693,0,0,972,50537,"",5.38,1.49,1.75,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,57538,8.1,0,0.0,0,0.0,37,4.0,1913,3.9
