"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46103","0","10","70","0","2021","A","","Pennington County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5176,58242,2933739450,739393374,4446343,969,50372,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",346,7.2,2767,5.0,278946139,10.5,66317679,9.9,820771,22.6,49,5.3,2517,5.3
"46103","1","10","71","0","2021","A","","Pennington County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,1778,122736601,0,0,1328,69034,"",2.10,1.52,1.58,0.00,0.00,1.04,1.04,"",2,3.4,-11,-0.6,4255580,3.6,0,0.0,0,0.0,55,4.3,2816,4.3
"46103","1","102","72","0","2021","A","","Pennington County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,1778,122736601,0,0,1328,69034,"",2.11,1.55,1.61,0.00,0.00,1.04,1.04,"",2,3.4,-11,-0.6,4255580,3.6,0,0.0,0,0.0,55,4.3,2816,4.3
"46103","1","1021","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,198,12158106,0,0,1184,61560,"",0.91,0.73,0.90,0.00,0.00,1.24,1.24,"",0,0.0,2,1.0,882429,7.8,0,0.0,0,0.0,76,6.9,3958,6.9
"46103","1","1022","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,5,177540,0,0,683,35508,"",15.61,1.88,1.04,0.00,0.00,0.55,0.55,"",0,0.0,0,0.0,3705,2.1,0,0.0,0,0.0,14,2.1,741,2.1
"46103","1","1023","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,29,1348855,0,0,882,45853,"",8.24,5.78,2.85,0.00,0.00,0.49,0.49,"",0,0.0,-90,-75.6,-4792527,-78.0,0,0.0,0,0.0,-114,-11.4,-5937,-11.5
"46103","1","1024","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,37,3707084,0,0,1940,100873,"",2.89,1.31,1.88,0.00,0.00,1.44,1.44,"",0,0.0,-1,-2.6,-87205,-2.3,0,0.0,0,0.0,11,0.6,583,0.6
"46103","1","1025","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,158,10776688,0,0,1311,68171,"",3.02,0.91,0.93,0.00,0.00,1.03,1.03,"",0,0.0,-14,-8.1,-821831,-7.1,0,0.0,0,0.0,12,0.9,640,0.9
"46103","1","1026","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",8,103,5086305,0,0,946,49183,"",11.13,5.68,6.97,0.00,0.00,1.22,1.22,"",0,0.0,-14,-12.0,-198272,-3.8,0,0.0,0,0.0,76,8.7,3919,8.7
"46103","1","1028","73","0","2021","A","","Pennington County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",32,1248,89482023,0,0,1379,71715,"",2.66,1.94,1.88,0.00,0.00,0.97,0.97,"",2,6.7,104,9.1,9269281,11.6,0,0.0,0,0.0,30,2.2,1573,2.2
"46103","1","44-45","74","0","2021","A","","Pennington County, South Dakota","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,9,238350,0,0,509,26483,"",9.28,0.53,0.55,0.00,0.00,1.04,1.04,"",0,0.0,-1,-10.0,-4643,-1.9,0,0.0,0,0.0,60,13.4,3156,13.5
"46103","1","441","75","0","2021","A","","Pennington County, South Dakota","Federal Government","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,117532,0,0,554,28783,"",52.69,82.98,118.62,0.00,0.00,1.40,1.40,"",0,0.0,-1,-20.0,-3693,-3.0,0,0.0,0,0.0,54,10.8,2806,10.8
"46103","1","4413","76","0","2021","A","","Pennington County, South Dakota","Federal Government","NAICS 4413 Auto parts, accessories, and tire stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,117532,0,0,554,28783,"",52.69,82.98,118.62,0.00,0.00,1.40,1.40,"",0,0.0,-1,-20.0,-3693,-3.0,0,0.0,0,0.0,54,10.8,2806,10.8
"46103","1","44131","77","0","2021","A","","Pennington County, South Dakota","Federal Government","NAICS 44131 Automotive parts and accessories stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,117532,0,0,554,28783,"",52.69,82.98,118.62,0.00,0.00,1.40,1.40,"",0,0.0,-1,-20.0,-3693,-3.0,0,0.0,0,0.0,54,10.8,2806,10.8
