"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46105","0","10","70","0","2021","A","","Perkins County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",146,1073,39429709,11010734,37719,707,36739,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.7,25,2.4,2660236,7.2,122578,1.1,-2091,-5.3,32,4.7,1645,4.7
"46105","1","10","71","0","2021","A","","Perkins County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,26,1402830,0,0,1051,54656,"",7.33,1.21,1.34,0.00,0.00,1.13,1.13,"",0,0.0,1,4.0,58491,4.4,0,0.0,0,0.0,30,2.9,1590,3.0
"46105","1","102","72","0","2021","A","","Perkins County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,26,1402830,0,0,1051,54656,"",7.34,1.23,1.37,0.00,0.00,1.13,1.13,"",0,0.0,1,4.0,58491,4.4,0,0.0,0,0.0,30,2.9,1590,3.0
"46105","1","1021","73","0","2021","A","","Perkins County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,8,416707,0,0,1045,54353,"",7.41,1.59,2.29,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,14197,3.5,0,0.0,0,0.0,77,8.0,4039,8.0
"46105","1","1028","73","0","2021","A","","Perkins County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,18,986123,0,0,1054,54785,"",8.83,1.52,1.54,0.00,0.00,1.01,1.01,"",0,0.0,1,5.9,44294,4.7,0,0.0,0,0.0,9,0.9,449,0.8
"46105","1","48-49","74","0","2021","A","","Perkins County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,416707,0,0,1045,54353,"",7.62,1.73,2.46,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,14197,3.5,0,0.0,0,0.0,77,8.0,4039,8.0
"46105","1","491","75","0","2021","A","","Perkins County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,416707,0,0,1045,54353,"",7.67,1.77,2.56,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,14197,3.5,0,0.0,0,0.0,77,8.0,4039,8.0
"46105","1","4911","76","0","2021","A","","Perkins County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,416707,0,0,1045,54353,"",7.67,1.77,2.56,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,14197,3.5,0,0.0,0,0.0,77,8.0,4039,8.0
"46105","1","49111","77","0","2021","A","","Perkins County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,416707,0,0,1045,54353,"",7.67,1.77,2.56,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,14197,3.5,0,0.0,0,0.0,77,8.0,4039,8.0
"46105","1","491110","78","0","2021","A","","Perkins County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,416707,0,0,1045,54353,"",7.67,1.77,2.56,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,14197,3.5,0,0.0,0,0.0,77,8.0,4039,8.0
