"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46117","0","10","70","0","2021","A","","Stanley County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",157,1202,49358020,16539800,321446,790,41072,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,4.0,14,1.2,3946415,8.7,717989,4.5,6698,2.1,55,7.5,2833,7.4
"46117","1","10","71","0","2021","A","","Stanley County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,10,705605,0,0,1368,71153,"",3.41,0.41,0.54,0.00,0.00,1.31,1.31,"",0,0.0,-3,-23.1,-21453,-3.0,0,0.0,0,0.0,249,22.3,12988,22.3
"46117","1","102","72","0","2021","A","","Stanley County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,10,705605,0,0,1368,71153,"",3.41,0.42,0.55,0.00,0.00,1.31,1.31,"",0,0.0,-3,-23.1,-21453,-3.0,0,0.0,0,0.0,249,22.3,12988,22.3
"46117","1","1021","73","0","2021","A","","Stanley County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,155962,0,0,1000,51987,"",2.30,0.53,0.68,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,-1683,-1.1,0,0.0,0,0.0,-11,-1.1,-561,-1.1
"46117","1","1028","73","0","2021","A","","Stanley County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,549643,0,0,1528,79466,"",5.48,0.53,0.69,0.00,0.00,1.32,1.32,"",0,0.0,-3,-30.0,-19770,-3.5,0,0.0,0,0.0,375,32.5,19528,32.6
"46117","1","48-49","74","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,155962,0,0,1000,51987,"",2.36,0.58,0.73,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,-1683,-1.1,0,0.0,0,0.0,-11,-1.1,-561,-1.1
"46117","1","491","75","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,155962,0,0,1000,51987,"",2.38,0.59,0.77,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-1683,-1.1,0,0.0,0,0.0,-11,-1.1,-561,-1.1
"46117","1","4911","76","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,155962,0,0,1000,51987,"",2.38,0.59,0.77,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-1683,-1.1,0,0.0,0,0.0,-11,-1.1,-561,-1.1
"46117","1","49111","77","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,155962,0,0,1000,51987,"",2.38,0.59,0.77,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-1683,-1.1,0,0.0,0,0.0,-11,-1.1,-561,-1.1
"46117","1","491110","78","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,155962,0,0,1000,51987,"",2.38,0.59,0.77,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-1683,-1.1,0,0.0,0,0.0,-11,-1.1,-561,-1.1
"46117","1","92","74","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,549643,0,0,1528,79466,"",5.48,0.53,0.69,0.00,0.00,1.32,1.32,"",0,0.0,-3,-30.0,-19770,-3.5,0,0.0,0,0.0,375,32.5,19528,32.6
"46117","1","924","75","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,549643,0,0,1528,79466,"",13.30,8.79,12.45,0.00,0.00,1.43,1.43,"",0,0.0,-1,-12.5,-1069,-0.2,0,0.0,0,0.0,270,21.5,14035,21.5
"46117","1","9241","76","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,549643,0,0,1528,79466,"",13.30,8.79,12.45,0.00,0.00,1.43,1.43,"",0,0.0,-1,-12.5,-1069,-0.2,0,0.0,0,0.0,270,21.5,14035,21.5
"46117","1","92412","77","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,549643,0,0,1528,79466,"",14.04,10.69,16.32,0.00,0.00,1.54,1.54,"",0,0.0,-1,-12.5,-1069,-0.2,0,0.0,0,0.0,270,21.5,14035,21.5
"46117","1","924120","78","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,549643,0,0,1528,79466,"",14.04,10.69,16.32,0.00,0.00,1.54,1.54,"",0,0.0,-1,-12.5,-1069,-0.2,0,0.0,0,0.0,270,21.5,14035,21.5
"46117","1","926","75","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",6.85,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18701,-100.0,0,0.0,0,0.0,-332,-100.0,-17262,-100.0
"46117","1","9261","76","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",6.85,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18701,-100.0,0,0.0,0,0.0,-332,-100.0,-17262,-100.0
"46117","1","92611","77","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",15.03,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18701,-100.0,0,0.0,0,0.0,-332,-100.0,-17262,-100.0
"46117","1","926110","78","0","2021","A","","Stanley County, South Dakota","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",15.03,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18701,-100.0,0,0.0,0,0.0,-332,-100.0,-17262,-100.0
"46117","2","10","71","0","2021","A","","Stanley County, South Dakota","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,1888312,0,0,929,48315,"",7.91,1.03,1.19,0.00,0.00,1.15,1.16,"",0,0.0,0,0.0,39341,2.1,0,0.0,0,0.0,5,0.5,290,0.6
"46117","2","101","72","0","2021","A","N","Stanley County, South Dakota","State Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",36.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","1012","73","0","2021","A","N","Stanley County, South Dakota","State Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",40.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","102","72","0","2021","A","N","Stanley County, South Dakota","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",7.11,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","1025","73","0","2021","A","N","Stanley County, South Dakota","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","1026","73","0","2021","A","N","Stanley County, South Dakota","State Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",74.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","1028","73","0","2021","A","N","Stanley County, South Dakota","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",6.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","23","74","0","2021","A","N","Stanley County, South Dakota","State Government","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",40.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"46117","2","237","75","0","2021","A","N","Stanley County, South Dakota","State Government","NAICS 237 Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",40.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
