"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48135","0","10","70","0","2021","A","","Ector County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4262,68736,4238957683,734473954,16141362,1186,61670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,0.0,-693,-1.0,16055203,0.4,-24877817,-3.3,3998692,32.9,16,1.4,847,1.4
"48135","1","10","71","0","2021","A","","Ector County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,201,13119033,0,0,1258,65404,"",0.42,0.15,0.12,0.00,0.00,0.80,0.80,"",0,0.0,-31,-13.4,-766363,-5.5,0,0.0,0,0.0,108,9.4,5596,9.4
"48135","1","102","72","0","2021","A","","Ector County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,201,13119033,0,0,1258,65404,"",0.42,0.15,0.12,0.00,0.00,0.80,0.80,"",0,0.0,-31,-13.4,-766363,-5.5,0,0.0,0,0.0,108,9.4,5596,9.4
"48135","1","1021","73","0","2021","A","","Ector County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,172,11061916,0,0,1239,64438,"",0.51,0.53,0.57,0.00,0.00,1.06,1.06,"",0,0.0,8,4.9,706801,6.8,0,0.0,0,0.0,28,2.3,1457,2.3
"48135","1","1028","73","0","2021","A","","Ector County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,29,2057117,0,0,1368,71139,"",0.40,0.04,0.03,0.00,0.00,0.78,0.78,"",0,0.0,-39,-57.4,-1473164,-41.7,0,0.0,0,0.0,366,36.5,19032,36.5
"48135","1","48-49","74","0","2021","A","","Ector County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,172,11061916,0,0,1239,64438,"",0.52,0.58,0.61,0.00,0.00,1.05,1.05,"",0,0.0,8,4.9,706801,6.8,0,0.0,0,0.0,28,2.3,1457,2.3
"48135","1","491","75","0","2021","A","","Ector County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,172,11061916,0,0,1239,64438,"",0.53,0.59,0.63,0.00,0.00,1.07,1.07,"",0,0.0,8,4.9,706801,6.8,0,0.0,0,0.0,28,2.3,1457,2.3
"48135","1","4911","76","0","2021","A","","Ector County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,172,11061916,0,0,1239,64438,"",0.53,0.59,0.63,0.00,0.00,1.07,1.07,"",0,0.0,8,4.9,706801,6.8,0,0.0,0,0.0,28,2.3,1457,2.3
"48135","1","49111","77","0","2021","A","","Ector County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,172,11061916,0,0,1239,64438,"",0.53,0.59,0.63,0.00,0.00,1.07,1.07,"",0,0.0,8,4.9,706801,6.8,0,0.0,0,0.0,28,2.3,1457,2.3
"48135","1","491110","78","0","2021","A","","Ector County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,172,11061916,0,0,1239,64438,"",0.53,0.59,0.63,0.00,0.00,1.07,1.07,"",0,0.0,8,4.9,706801,6.8,0,0.0,0,0.0,28,2.3,1457,2.3
