"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48275","0","10","70","0","2021","A","","Knox County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",155,1097,48753315,8920559,116978,855,44439,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.6,10,0.9,-926661,-1.9,18451,0.2,34067,41.1,-24,-2.7,-1282,-2.8
"48275","1","10","71","0","2021","A","","Knox County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,27,1483397,0,0,1053,54772,"",9.20,1.23,1.15,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,111385,8.1,0,0.0,0,0.0,64,6.5,3322,6.5
"48275","1","102","72","0","2021","A","","Knox County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,27,1483397,0,0,1053,54772,"",9.22,1.25,1.17,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,111385,8.1,0,0.0,0,0.0,64,6.5,3322,6.5
"48275","1","1021","73","0","2021","A","","Knox County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,635942,0,0,863,44890,"",9.30,2.73,2.83,0.00,0.00,1.02,1.02,"",0,0.0,1,7.7,58798,10.2,0,0.0,0,0.0,15,1.8,777,1.8
"48275","1","1024","73","0","2021","A","","Knox County, Texas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,283440,0,0,1363,70860,"",48.27,7.55,8.65,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,36061,14.6,0,0.0,0,0.0,4,0.3,180,0.3
"48275","1","1028","73","0","2021","A","","Knox County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,564015,0,0,1216,63254,"",8.32,0.74,0.71,0.00,0.00,0.97,0.97,"",0,0.0,-1,-10.0,16526,3.0,0,0.0,0,0.0,172,16.5,8958,16.5
"48275","1","48-49","74","0","2021","A","","Knox County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,635942,0,0,863,44890,"",9.57,2.96,3.03,0.00,0.00,1.01,1.01,"",0,0.0,1,7.7,58798,10.2,0,0.0,0,0.0,15,1.8,777,1.8
"48275","1","491","75","0","2021","A","","Knox County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,635942,0,0,863,44890,"",9.63,3.03,3.16,0.00,0.00,1.03,1.03,"",0,0.0,1,7.7,58798,10.2,0,0.0,0,0.0,15,1.8,777,1.8
"48275","1","4911","76","0","2021","A","","Knox County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,635942,0,0,863,44890,"",9.63,3.03,3.16,0.00,0.00,1.03,1.03,"",0,0.0,1,7.7,58798,10.2,0,0.0,0,0.0,15,1.8,777,1.8
"48275","1","49111","77","0","2021","A","","Knox County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,14,635942,0,0,863,44890,"",9.63,3.03,3.16,0.00,0.00,1.03,1.03,"",0,0.0,1,7.7,58798,10.2,0,0.0,0,0.0,15,1.8,777,1.8
