"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48481","0","10","70","0","2021","A","","Wharton County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1168,15405,692994419,128484139,1822742,865,44985,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-1.1,-271,-1.7,6498209,0.9,-4628971,-3.5,95932,5.6,23,2.7,1191,2.7
"48481","1","10","71","0","2021","A","","Wharton County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,83,5294071,0,0,1222,63529,"",1.83,0.27,0.29,0.00,0.00,1.07,1.07,"",0,0.0,-7,-7.8,166339,3.2,0,0.0,0,0.0,124,11.3,6448,11.3
"48481","1","102","72","0","2021","A","","Wharton County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,83,5294071,0,0,1222,63529,"",1.84,0.27,0.29,0.00,0.00,1.07,1.07,"",0,0.0,-7,-7.8,166339,3.2,0,0.0,0,0.0,124,11.3,6448,11.3
"48481","1","1021","73","0","2021","A","","Wharton County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,59,3463009,0,0,1126,58530,"",2.47,0.82,1.08,0.00,0.00,1.32,1.32,"",0,0.0,2,3.5,177206,5.4,0,0.0,0,0.0,14,1.3,715,1.2
"48481","1","1028","73","0","2021","A","","Wharton County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,24,1831062,0,0,1457,75768,"",1.47,0.14,0.16,0.00,0.00,1.15,1.15,"",0,0.0,-9,-27.3,-10867,-0.6,0,0.0,0,0.0,384,35.8,19952,35.7
"48481","1","48-49","74","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,59,3463009,0,0,1126,58530,"",2.54,0.89,1.16,0.00,0.00,1.30,1.30,"",0,0.0,2,3.5,177206,5.4,0,0.0,0,0.0,14,1.3,715,1.2
"48481","1","491","75","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,59,3463009,0,0,1126,58530,"",2.56,0.91,1.21,0.00,0.00,1.33,1.33,"",0,0.0,2,3.5,177206,5.4,0,0.0,0,0.0,14,1.3,715,1.2
"48481","1","4911","76","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,59,3463009,0,0,1126,58530,"",2.56,0.91,1.21,0.00,0.00,1.33,1.33,"",0,0.0,2,3.5,177206,5.4,0,0.0,0,0.0,14,1.3,715,1.2
"48481","1","49111","77","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,59,3463009,0,0,1126,58530,"",2.56,0.91,1.21,0.00,0.00,1.33,1.33,"",0,0.0,2,3.5,177206,5.4,0,0.0,0,0.0,14,1.3,715,1.2
"48481","1","491110","78","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,59,3463009,0,0,1126,58530,"",2.56,0.91,1.21,0.00,0.00,1.33,1.33,"",0,0.0,2,3.5,177206,5.4,0,0.0,0,0.0,14,1.3,715,1.2
"48481","1","92","74","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,24,1831062,0,0,1457,75768,"",1.47,0.14,0.16,0.00,0.00,1.15,1.15,"",0,0.0,-9,-27.3,-10867,-0.6,0,0.0,0,0.0,384,35.8,19952,35.7
"48481","1","924","75","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,793066,0,0,1262,65633,"",3.58,1.18,1.28,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,32321,4.2,0,0.0,0,0.0,34,2.8,1794,2.8
"48481","1","9241","76","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,793066,0,0,1262,65633,"",3.58,1.18,1.28,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,32321,4.2,0,0.0,0,0.0,34,2.8,1794,2.8
"48481","1","92412","77","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,793066,0,0,1262,65633,"",3.77,1.43,1.68,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,32321,4.2,0,0.0,0,0.0,34,2.8,1794,2.8
"48481","1","924120","78","0","2021","A","","Wharton County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,793066,0,0,1262,65633,"",3.77,1.43,1.68,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,32321,4.2,0,0.0,0,0.0,34,2.8,1794,2.8
