"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49005","0","10","70","0","2021","A","","Cache County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4139,61737,2899058943,1388050695,5387184,903,46958,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",191,4.8,3441,5.9,430940973,17.5,186763493,15.5,1790619,49.8,89,10.9,4620,10.9
"49005","1","10","71","0","2021","A","","Cache County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,339,23088724,0,0,1310,68142,"",1.16,0.27,0.30,0.00,0.00,1.10,1.10,"",1,3.8,-23,-6.4,1015133,4.6,0,0.0,0,0.0,138,11.8,7207,11.8
"49005","1","102","72","0","2021","A","","Cache County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,339,23088724,0,0,1310,68142,"",1.17,0.28,0.31,0.00,0.00,1.10,1.10,"",1,3.8,-23,-6.4,1015133,4.6,0,0.0,0,0.0,138,11.8,7207,11.8
"49005","1","1021","73","0","2021","A","","Cache County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,142,8662159,0,0,1174,61037,"",1.31,0.49,0.65,0.00,0.00,1.32,1.32,"",0,0.0,0,0.0,890369,11.5,0,0.0,0,0.0,118,11.2,6145,11.2
"49005","1","1023","73","0","2021","A","","Cache County, Utah","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,192486,0,0,3702,192486,"",3.44,0.19,0.41,0.00,0.00,2.19,2.19,"",0,0.0,0,0.0,2431,1.3,0,0.0,0,0.0,47,1.3,2431,1.3
"49005","1","1028","73","0","2021","A","","Cache County, Utah","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,196,14234079,0,0,1397,72654,"",1.14,0.29,0.30,0.00,0.00,1.05,1.05,"",1,10.0,-24,-10.9,122333,0.9,0,0.0,0,0.0,162,13.1,8412,13.1
"49005","1","48-49","74","0","2021","A","","Cache County, Utah","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,142,8662159,0,0,1174,61037,"",1.34,0.53,0.69,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,890369,11.5,0,0.0,0,0.0,118,11.2,6145,11.2
"49005","1","491","75","0","2021","A","","Cache County, Utah","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,142,8662159,0,0,1174,61037,"",1.35,0.55,0.72,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,890369,11.5,0,0.0,0,0.0,118,11.2,6145,11.2
"49005","1","4911","76","0","2021","A","","Cache County, Utah","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,142,8662159,0,0,1174,61037,"",1.35,0.55,0.72,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,890369,11.5,0,0.0,0,0.0,118,11.2,6145,11.2
"49005","1","49111","77","0","2021","A","","Cache County, Utah","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,142,8662159,0,0,1174,61037,"",1.35,0.55,0.72,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,890369,11.5,0,0.0,0,0.0,118,11.2,6145,11.2
"49005","1","491110","78","0","2021","A","","Cache County, Utah","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,142,8662159,0,0,1174,61037,"",1.35,0.55,0.72,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,890369,11.5,0,0.0,0,0.0,118,11.2,6145,11.2
"49005","1","52","74","0","2021","A","","Cache County, Utah","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,192486,0,0,3702,192486,"",3.47,0.19,0.41,0.00,0.00,2.18,2.18,"",0,0.0,0,0.0,2431,1.3,0,0.0,0,0.0,47,1.3,2431,1.3
"49005","1","522","75","0","2021","A","","Cache County, Utah","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,192486,0,0,3702,192486,"",4.21,0.39,1.08,0.00,0.00,2.75,2.75,"",0,0.0,0,0.0,2431,1.3,0,0.0,0,0.0,47,1.3,2431,1.3
