"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49055","0","10","70","0","2021","A","","Wayne County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",147,1126,41500801,22373969,317204,709,36862,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.8,67,6.3,3477961,9.1,2873006,14.7,89523,39.3,19,2.8,966,2.7
"49055","1","10","71","0","2021","A","","Wayne County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,82,4966379,0,0,1165,60566,"",13.34,3.63,4.52,0.00,0.00,1.25,1.25,"",-1,-8.3,-3,-3.5,103436,2.1,0,0.0,0,0.0,58,5.2,3016,5.2
"49055","1","102","72","0","2021","A","","Wayne County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,82,4966379,0,0,1165,60566,"",13.37,3.70,4.61,0.00,0.00,1.24,1.25,"",-1,-8.3,-3,-3.5,103436,2.1,0,0.0,0,0.0,58,5.2,3016,5.2
"49055","1","1021","73","0","2021","A","","Wayne County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,10,365903,0,0,741,38516,"",12.26,1.90,1.91,0.00,0.00,1.06,1.06,"",0,0.0,1,11.1,9267,2.6,0,0.0,0,0.0,0,0.0,-39,-0.1
"49055","1","1026","73","0","2021","A","","Wayne County, Utah","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,40,2360774,0,0,1135,59019,"",48.98,114.05,228.54,0.00,0.00,2.00,2.00,"",-1,-50.0,0,0.0,22499,1.0,0,0.0,0,0.0,18,1.6,925,1.6
"49055","1","1028","73","0","2021","A","","Wayne County, Utah","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,33,2239702,0,0,1325,68914,"",14.62,2.65,3.32,0.00,0.00,1.27,1.27,"",0,0.0,-2,-5.7,71670,3.3,0,0.0,0,0.0,134,11.3,6970,11.3
"49055","1","48-49","74","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,10,365903,0,0,741,38516,"",12.61,2.06,2.05,0.00,0.00,1.05,1.05,"",0,0.0,1,11.1,9267,2.6,0,0.0,0,0.0,0,0.0,-39,-0.1
"49055","1","491","75","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,10,365903,0,0,741,38516,"",12.69,2.11,2.14,0.00,0.00,1.07,1.07,"",0,0.0,1,11.1,9267,2.6,0,0.0,0,0.0,0,0.0,-39,-0.1
"49055","1","4911","76","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,10,365903,0,0,741,38516,"",12.69,2.11,2.14,0.00,0.00,1.07,1.07,"",0,0.0,1,11.1,9267,2.6,0,0.0,0,0.0,0,0.0,-39,-0.1
"49055","1","49111","77","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,10,365903,0,0,741,38516,"",12.69,2.11,2.14,0.00,0.00,1.07,1.07,"",0,0.0,1,11.1,9267,2.6,0,0.0,0,0.0,0,0.0,-39,-0.1
"49055","1","491110","78","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,10,365903,0,0,741,38516,"",12.69,2.11,2.14,0.00,0.00,1.07,1.07,"",0,0.0,1,11.1,9267,2.6,0,0.0,0,0.0,0,0.0,-39,-0.1
"49055","1","71","74","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,40,2360774,0,0,1135,59019,"",66.80,137.93,251.42,0.00,0.00,1.82,1.82,"",-1,-50.0,0,0.0,22499,1.0,0,0.0,0,0.0,18,1.6,925,1.6
"49055","1","712","75","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,40,2360774,0,0,1135,59019,"",134.93,227.60,322.61,0.00,0.00,1.42,1.42,"",-1,-50.0,0,0.0,22499,1.0,0,0.0,0,0.0,18,1.6,925,1.6
"49055","1","7121","76","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,40,2360774,0,0,1135,59019,"",134.93,227.60,322.61,0.00,0.00,1.42,1.42,"",-1,-50.0,0,0.0,22499,1.0,0,0.0,0,0.0,18,1.6,925,1.6
"49055","1","71219","77","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,40,2360774,0,0,1135,59019,"",151.14,321.07,493.25,0.00,0.00,1.54,1.54,"",-1,-50.0,0,0.0,22499,1.0,0,0.0,0,0.0,18,1.6,925,1.6
"49055","1","712190","78","0","2021","A","","Wayne County, Utah","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,40,2360774,0,0,1135,59019,"",151.14,321.07,493.25,0.00,0.00,1.54,1.54,"",-1,-50.0,0,0.0,22499,1.0,0,0.0,0,0.0,18,1.6,925,1.6
