"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"50013","0","10","70","0","2021","A","","Grand Isle County, Vermont","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",257,1112,48486473,13222468,252588,838,43587,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,4.0,20,1.8,3373405,7.5,-986103,-6.9,-131566,-34.2,44,5.5,2284,5.5
"50013","1","10","71","0","2021","A","","Grand Isle County, Vermont","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,1154547,0,0,1017,52880,"",4.86,0.99,0.90,0.00,0.00,0.92,0.92,"",1,16.7,-2,-8.3,151170,15.1,0,0.0,0,0.0,202,24.8,10484,24.7
"50013","1","102","72","0","2021","A","","Grand Isle County, Vermont","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,22,1154547,0,0,1017,52880,"",4.87,1.01,0.92,0.00,0.00,0.92,0.92,"",1,16.7,-2,-8.3,151170,15.1,0,0.0,0,0.0,202,24.8,10484,24.7
"50013","1","1021","73","0","2021","A","","Grand Isle County, Vermont","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,20,1034248,0,0,974,50657,"",7.01,3.84,4.62,0.00,0.00,1.18,1.18,"",0,0.0,-1,-4.8,90537,9.6,0,0.0,0,0.0,120,14.1,6247,14.1
"50013","1","1028","73","0","2021","A","","Grand Isle County, Vermont","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,120299,0,0,1633,84917,"",3.35,0.08,0.15,0.00,0.00,1.33,1.33,"",1,100.0,-1,-50.0,60633,101.6,0,0.0,0,0.0,1158,243.8,60228,243.9
"50013","1","48-49","74","0","2021","A","","Grand Isle County, Vermont","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,20,1034248,0,0,974,50657,"",7.21,4.18,4.96,0.00,0.00,1.16,1.16,"",0,0.0,-1,-4.8,90537,9.6,0,0.0,0,0.0,120,14.1,6247,14.1
"50013","1","491","75","0","2021","A","","Grand Isle County, Vermont","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,20,1034248,0,0,974,50657,"",7.26,4.27,5.17,0.00,0.00,1.19,1.19,"",0,0.0,-1,-4.8,90537,9.6,0,0.0,0,0.0,120,14.1,6247,14.1
"50013","1","4911","76","0","2021","A","","Grand Isle County, Vermont","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,20,1034248,0,0,974,50657,"",7.26,4.27,5.17,0.00,0.00,1.19,1.19,"",0,0.0,-1,-4.8,90537,9.6,0,0.0,0,0.0,120,14.1,6247,14.1
"50013","1","49111","77","0","2021","A","","Grand Isle County, Vermont","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,20,1034248,0,0,974,50657,"",7.26,4.27,5.17,0.00,0.00,1.19,1.19,"",0,0.0,-1,-4.8,90537,9.6,0,0.0,0,0.0,120,14.1,6247,14.1
"50013","1","491110","78","0","2021","A","","Grand Isle County, Vermont","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,20,1034248,0,0,974,50657,"",7.26,4.27,5.17,0.00,0.00,1.19,1.19,"",0,0.0,-1,-4.8,90537,9.6,0,0.0,0,0.0,120,14.1,6247,14.1
