"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51047","0","10","70","0","2021","A","","Culpeper County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1540,15896,781318762,120895474,1519787,945,49151,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",69,4.7,379,2.4,58645389,8.1,7825890,6.9,452213,42.4,49,5.5,2577,5.5
"51047","1","10","71","0","2021","A","","Culpeper County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,224,17352446,0,0,1489,77437,"",1.97,0.70,0.84,0.00,0.00,1.19,1.19,"",1,6.2,-6,-2.6,-72581,-0.4,0,0.0,0,0.0,29,2.0,1539,2.0
"51047","1","102","72","0","2021","A","","Culpeper County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,224,17352446,0,0,1489,77437,"",1.97,0.72,0.86,0.00,0.00,1.19,1.19,"",1,6.2,-6,-2.6,-72581,-0.4,0,0.0,0,0.0,29,2.0,1539,2.0
"51047","1","1021","73","0","2021","A","","Culpeper County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,91,4779971,0,0,1016,52817,"",2.57,1.22,1.33,0.00,0.00,1.09,1.09,"",1,10.0,2,2.2,-117243,-2.4,0,0.0,0,0.0,-44,-4.2,-2311,-4.2
"51047","1","1022","73","0","2021","A","","Culpeper County, Virginia","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,106,10445535,0,0,1895,98543,"",52.47,146.36,230.03,0.00,0.00,1.57,1.57,"",0,0.0,-3,-2.8,49976,0.5,0,0.0,0,0.0,57,3.1,2952,3.1
"51047","1","1023","73","0","2021","A","","Culpeper County, Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,376409,0,0,1639,85225,"",9.24,2.92,2.98,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,4244,1.1,0,0.0,0,0.0,-270,-14.1,-14019,-14.1
"51047","1","1027","73","0","2021","A","","Culpeper County, Virginia","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,613754,0,0,1265,65759,"",44.83,17.06,27.38,0.00,0.00,1.55,1.55,"",0,0.0,-1,-10.0,-32578,-5.0,0,0.0,0,0.0,22,1.8,1126,1.7
"51047","1","1028","73","0","2021","A","","Culpeper County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,1136777,0,0,1580,82177,"",0.84,0.08,0.09,0.00,0.00,1.14,1.14,"",0,0.0,-4,-22.2,23020,2.1,0,0.0,0,0.0,406,34.6,21149,34.7
"51047","1","48-49","74","0","2021","A","","Culpeper County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,91,4779971,0,0,1016,52817,"",2.65,1.33,1.42,0.00,0.00,1.08,1.08,"",1,10.0,2,2.2,-117243,-2.4,0,0.0,0,0.0,-44,-4.2,-2311,-4.2
"51047","1","491","75","0","2021","A","","Culpeper County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,91,4779971,0,0,1016,52817,"",2.66,1.36,1.48,0.00,0.00,1.10,1.10,"",1,10.0,2,2.2,-117243,-2.4,0,0.0,0,0.0,-44,-4.2,-2311,-4.2
