"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53071","0","10","70","0","2021","A","","Walla Walla County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2275,28125,1414671737,705663485,7053233,967,50300,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-34,-1.5,663,2.4,85353713,6.4,60316307,9.3,1581994,28.9,36,3.9,1894,3.9
"53071","1","10","71","0","2021","A","","Walla Walla County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,1826,99486703,0,0,1048,54481,"",1.65,3.24,2.66,0.00,0.00,0.82,0.82,"",0,0.0,-118,-6.1,8911231,9.8,0,0.0,0,0.0,152,17.0,7881,16.9
"53071","1","102","72","0","2021","A","","Walla Walla County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,1826,99486703,0,0,1048,54481,"",1.65,3.30,2.71,0.00,0.00,0.82,0.82,"",0,0.0,-118,-6.1,8911231,9.8,0,0.0,0,0.0,152,17.0,7881,16.9
"53071","1","1021","73","0","2021","A","","Walla Walla County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,92,6546103,0,0,1372,71347,"",1.43,0.70,1.00,0.00,0.00,1.44,1.44,"",0,0.0,4,4.5,356900,5.8,0,0.0,0,0.0,17,1.3,882,1.3
"53071","1","1024","73","0","2021","A","","Walla Walla County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1064,41282202,0,0,746,38811,"",3.29,78.28,43.44,0.00,0.00,0.56,0.56,"",0,0.0,-67,-5.9,4189515,11.3,0,0.0,0,0.0,116,18.4,6027,18.4
"53071","1","1025","73","0","2021","A","","Walla Walla County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,507,40593848,0,0,1540,80093,"",3.43,6.04,7.29,0.00,0.00,1.21,1.21,"",0,0.0,-44,-8.0,3892579,10.6,0,0.0,0,0.0,259,20.2,13474,20.2
"53071","1","1026","73","0","2021","A","","Walla Walla County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,7,357270,0,0,1044,54269,"",3.17,0.80,1.01,0.00,0.00,1.35,1.35,"",0,0.0,-1,-12.5,-34576,-8.8,0,0.0,0,0.0,82,8.5,4246,8.5
"53071","1","1028","73","0","2021","A","","Walla Walla County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,157,10707280,0,0,1309,68091,"",1.70,0.50,0.47,0.00,0.00,0.92,0.92,"",0,0.0,-9,-5.4,506813,5.0,0,0.0,0,0.0,125,10.6,6519,10.6
"53071","1","22","74","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,1520913,0,0,3250,168990,"",29.42,3.98,6.52,0.00,0.00,1.64,1.64,"",0,0.0,0,0.0,14407,1.0,0,0.0,0,0.0,31,1.0,1600,1.0
"53071","1","221","75","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,1520913,0,0,3250,168990,"",29.42,3.98,6.52,0.00,0.00,1.64,1.64,"",0,0.0,0,0.0,14407,1.0,0,0.0,0,0.0,31,1.0,1600,1.0
"53071","1","2211","76","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,1520913,0,0,3250,168990,"",30.54,4.27,6.85,0.00,0.00,1.60,1.60,"",0,0.0,0,0.0,14407,1.0,0,0.0,0,0.0,31,1.0,1600,1.0
"53071","1","22112","77","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,1520913,0,0,3250,168990,"",57.77,16.77,25.63,0.00,0.00,1.53,1.53,"",0,0.0,0,0.0,14407,1.0,0,0.0,0,0.0,31,1.0,1600,1.0
"53071","1","221121","78","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 221121 Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,1520913,0,0,3250,168990,"",119.88,22.92,34.34,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,14407,1.0,0,0.0,0,0.0,31,1.0,1600,1.0
"53071","1","48-49","74","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,83,5025190,0,0,1168,60727,"",1.30,0.69,0.83,0.00,0.00,1.21,1.21,"",0,0.0,4,5.1,342493,7.3,0,0.0,0,0.0,26,2.3,1327,2.2
"53071","1","491","75","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,83,5025190,0,0,1168,60727,"",1.31,0.70,0.86,0.00,0.00,1.23,1.23,"",0,0.0,4,5.1,342493,7.3,0,0.0,0,0.0,26,2.3,1327,2.2
"53071","1","4911","76","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,83,5025190,0,0,1168,60727,"",1.31,0.70,0.86,0.00,0.00,1.23,1.23,"",0,0.0,4,5.1,342493,7.3,0,0.0,0,0.0,26,2.3,1327,2.2
"53071","1","49111","77","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,83,5025190,0,0,1168,60727,"",1.31,0.70,0.86,0.00,0.00,1.23,1.23,"",0,0.0,4,5.1,342493,7.3,0,0.0,0,0.0,26,2.3,1327,2.2
"53071","1","491110","78","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,83,5025190,0,0,1168,60727,"",1.31,0.70,0.86,0.00,0.00,1.23,1.23,"",0,0.0,4,5.1,342493,7.3,0,0.0,0,0.0,26,2.3,1327,2.2
"53071","1","54","74","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1064,41282202,0,0,746,38811,"",3.68,80.23,43.93,0.00,0.00,0.55,0.55,"",0,0.0,-67,-5.9,4189515,11.3,0,0.0,0,0.0,116,18.4,6027,18.4
"53071","1","541","75","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1064,41282202,0,0,746,38811,"",3.68,80.23,43.93,0.00,0.00,0.55,0.55,"",0,0.0,-67,-5.9,4189515,11.3,0,0.0,0,0.0,116,18.4,6027,18.4
"53071","1","5413","76","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1064,41282202,0,0,746,38811,"",6.07,100.81,57.48,0.00,0.00,0.57,0.57,"",0,0.0,-67,-5.9,4189515,11.3,0,0.0,0,0.0,116,18.4,6027,18.4
"53071","1","54133","77","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1064,41282202,0,0,746,38811,"",6.10,105.76,60.18,0.00,0.00,0.57,0.57,"",0,0.0,-67,-5.9,4189515,11.3,0,0.0,0,0.0,116,18.4,6027,18.4
"53071","1","541330","78","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1064,41282202,0,0,746,38811,"",6.10,105.76,60.18,0.00,0.00,0.57,0.57,"",0,0.0,-67,-5.9,4189515,11.3,0,0.0,0,0.0,116,18.4,6027,18.4
"53071","1","62","74","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,507,40593848,0,0,1540,80093,"",3.92,6.22,7.50,0.00,0.00,1.21,1.21,"",0,0.0,-44,-8.0,3892579,10.6,0,0.0,0,0.0,259,20.2,13474,20.2
"53071","1","622","75","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,507,40593848,0,0,1540,80093,"",12.49,7.20,8.49,0.00,0.00,1.18,1.18,"",0,0.0,-44,-8.0,3892579,10.6,0,0.0,0,0.0,259,20.2,13474,20.2
"53071","1","6221","76","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,507,40593848,0,0,1540,80093,"",12.72,7.34,8.63,0.00,0.00,1.18,1.18,"",0,0.0,-44,-8.0,3892579,10.6,0,0.0,0,0.0,259,20.2,13474,20.2
"53071","1","62211","77","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,507,40593848,0,0,1540,80093,"",12.72,7.34,8.63,0.00,0.00,1.18,1.18,"",0,0.0,-44,-8.0,3892579,10.6,0,0.0,0,0.0,259,20.2,13474,20.2
"53071","1","622110","78","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,507,40593848,0,0,1540,80093,"",12.72,7.34,8.63,0.00,0.00,1.18,1.18,"",0,0.0,-44,-8.0,3892579,10.6,0,0.0,0,0.0,259,20.2,13474,20.2
"53071","1","71","74","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,357270,0,0,1044,54269,"",4.32,0.97,1.12,0.00,0.00,1.23,1.23,"",0,0.0,-1,-12.5,-34576,-8.8,0,0.0,0,0.0,82,8.5,4246,8.5
"53071","1","712","75","0","2021","A","","Walla Walla County, Washington","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,357270,0,0,1044,54269,"",8.72,1.59,1.43,0.00,0.00,0.96,0.96,"",0,0.0,-1,-12.5,-34576,-8.8,0,0.0,0,0.0,82,8.5,4246,8.5
